head,relation,tail,confidence_score
1,23,263,0.04462578095116664
1,28,264,0.07971014492753623
1,31,222,0.03787878787878787
1,31,452,0.010597468064386778
1,31,576,0.010527515962298572
1,31,646,0.07530684418556272
1,31,1002,0.02678067274340566
1,31,1126,0.06609063333026932
1,31,1144,0.02528876779615488
1,31,1247,0.010321637974636122
1,31,1452,0.03516246599250552
1,31,1560,0.020142292490118577
1,31,1663,0.010811439200186002
1,31,1721,0.036205533596837945
1,31,1808,0.010121532267001587
1,31,1810,0.012967979748634364
1,31,1877,0.011652911179831658
1,31,1906,0.010321637974636122
1,31,1913,0.010321637974636122
1,31,1945,0.013764240874215298
1,34,247,0.026470235956401966
1,34,260,0.015862284168920323
1,34,484,0.011336048634658213
1,34,789,0.024461182787679916
1,34,1030,0.012779973649538867
1,34,1927,0.011182394184360537
2,0,1600,0.04385469602860907
2,3,121,0.018031793658578807
2,3,513,0.09990459315796647
2,3,539,0.017109372840598137
2,3,594,0.008596837944664032
2,3,1494,0.012240214203748568
2,3,1879,0.011983185896229374
2,12,518,5.789382272911513e-05
2,35,917,0.5984189723320158
2,35,1673,0.5984189723320158
2,35,1901,0.11652173913043479
2,36,596,0.22772879294618423
2,37,200,0.37252964426877466
2,37,461,0.4263128176171654
2,37,485,0.19683794466403165
2,37,1734,0.22772879294618423
3,23,263,0.04462578095116664
3,27,1370,0.16337285902503293
3,31,46,0.011182394184360537
3,31,65,0.009926959436075846
3,31,452,0.010739419647160898
3,31,1002,0.02742094861660079
3,31,1144,0.02586780417172152
3,31,1247,0.01045823325831647
3,31,1452,0.036205533596837945
3,31,1663,0.010957617500880522
3,31,1721,0.03730575559044886
3,31,1808,0.01025430680885972
3,31,1810,0.013160258713618398
3,31,1877,0.01181631935103367
3,31,1906,0.01045823325831647
3,31,1913,0.01045823325831647
3,31,1945,0.013975155279503104
3,34,353,0.015354211006384918
3,34,484,0.011031797534068787
3,34,789,0.02342795544376572
3,34,977,0.03027308659719727
3,34,1030,0.012416222718680186
3,34,1331,0.043107707509881424
3,34,1830,0.04168163851958318
3,34,1927,0.01088416830545766
3,34,1949,0.023679152917286145
3,34,1969,0.03787878787878787
4,23,263,0.04462578095116664
4,27,1370,0.16337285902503293
4,31,46,0.011031797534068787
4,31,65,0.00980020575017597
4,31,222,0.03787878787878787
4,31,452,0.010597468064386778
4,31,576,0.010527515962298572
4,31,646,0.07530684418556272
4,31,1002,0.02678067274340566
4,31,1126,0.06609063333026932
4,31,1144,0.02528876779615488
4,31,1247,0.010321637974636122
4,31,1452,0.03516246599250552
4,31,1560,0.020142292490118577
4,31,1663,0.010811439200186002
4,31,1721,0.036205533596837945
4,31,1810,0.012967979748634364
4,31,1877,0.011652911179831658
4,31,1906,0.010321637974636122
4,31,1913,0.010321637974636122
4,31,1945,0.013764240874215298
4,34,484,0.011336048634658213
4,34,789,0.024461182787679916
4,34,1030,0.012779973649538867
4,34,1142,0.057513914656771796
4,34,1927,0.011182394184360537
5,15,624,0.21118012422360244
5,23,263,0.04462578095116664
5,27,1370,0.16337285902503293
5,28,1518,0.24703557312252966
5,31,65,0.00980020575017597
5,31,222,0.03787878787878787
5,31,452,0.010597468064386778
5,31,576,0.010527515962298572
5,31,646,0.07530684418556272
5,31,1002,0.02678067274340566
5,31,1126,0.06609063333026932
5,31,1247,0.010321637974636122
5,31,1452,0.03516246599250552
5,31,1495,0.047976011994003
5,31,1663,0.010811439200186002
5,31,1721,0.036205533596837945
5,31,1810,0.012967979748634364
5,31,1877,0.011652911179831658
5,31,1906,0.010321637974636122
5,31,1913,0.010321637974636122
5,34,353,0.015862284168920323
5,34,484,0.011336048634658213
5,34,789,0.024461182787679916
5,34,1331,0.046245059288537546
6,23,263,0.04462578095116664
6,28,264,0.07971014492753623
6,31,46,0.011031797534068787
6,31,65,0.00980020575017597
6,31,222,0.03787878787878787
6,31,576,0.010527515962298572
6,31,646,0.07530684418556272
6,31,1002,0.02678067274340566
6,31,1126,0.06609063333026932
6,31,1144,0.02528876779615488
6,31,1247,0.010321637974636122
6,31,1452,0.03516246599250552
6,31,1560,0.020142292490118577
6,31,1663,0.010811439200186002
6,31,1721,0.036205533596837945
6,31,1808,0.010121532267001587
6,31,1810,0.012967979748634364
6,31,1877,0.011652911179831658
6,31,1906,0.010321637974636122
6,31,1913,0.010321637974636122
6,31,1945,0.013764240874215298
6,34,113,0.09320413107229376
6,34,260,0.015231237884242592
6,34,282,0.08731584620912684
6,34,353,0.015231237884242592
6,34,484,0.010957617500880522
6,34,1030,0.012327742762525372
6,34,1673,0.022939017504234892
6,34,1927,0.010811439200186002
6,34,1949,0.02342795544376572
6,34,2008,0.02528876779615488
7,23,263,0.04462578095116664
7,28,264,0.07744899049246876
7,31,222,0.036205533596837945
7,31,576,0.010321637974636122
7,31,646,0.06950737491564639
7,31,826,0.02342795544376572
7,31,1002,0.02586780417172152
7,31,1126,0.06152259838460216
7,31,1144,0.024461182787679916
7,31,1247,0.010121532267001587
7,31,1264,0.040339455940478955
7,31,1452,0.03369565217391304
7,31,1560,0.019577569169960476
7,31,1663,0.010597468064386778
7,31,1721,0.03466099118273031
7,31,1806,0.03516246599250552
7,31,1808,0.009926959436075846
7,31,1810,0.012687528661585831
7,31,1877,0.011414051786722593
7,31,1906,0.010121532267001587
7,31,1913,0.010121532267001587
7,31,1945,0.0134570129543741
7,34,31,0.08463148105091839
7,34,247,0.026470235956401966
7,34,484,0.011336048634658213
7,34,789,0.024461182787679916
7,34,1299,0.019762845849802372
7,34,1927,0.011182394184360537
8,1,1004,0.047976011994003
8,3,85,0.004603844771828962
8,3,86,0.0028615885393379007
8,3,764,0.015604948411272523
8,3,875,0.011983185896229374
8,3,897,0.0732745515354211
8,3,984,0.004367479745812679
8,3,1105,0.008493123836278706
8,3,1141,0.0009368102253477751
8,3,1573,0.02318128405084927
8,3,1646,0.0020591228609973724
8,3,1995,0.02914476827520306
8,7,435,0.0009288857854850383
8,9,130,0.16337285902503293
8,12,518,5.789382272911513e-05
8,16,1747,0.04168163851958318
