head,relation,tail,confidence_score
1,23,263,0.29170847
1,28,264,0.30284795
1,31,222,0.38572904
1,31,452,0.316762
1,31,576,0.29721186
1,31,646,0.4067386
1,31,1002,0.3803264
1,31,1126,0.34091592
1,31,1144,0.3195953
1,31,1247,0.33156654
1,31,1452,0.35581818
1,31,1560,0.36169854
1,31,1663,0.347576
1,31,1721,0.35198483
1,31,1808,0.37729648
1,31,1810,0.3908153
1,31,1877,0.31181526
1,31,1906,0.35854197
1,31,1913,0.3571402
1,31,1945,0.34549844
1,34,247,0.16398169
1,34,260,0.19037487
1,34,484,0.17346253
1,34,789,0.20100202
1,34,1030,0.14515407
1,34,1927,0.20198178
2,0,1600,0.039481845
2,3,121,0.20744954
2,3,513,0.12881574
2,3,539,0.17660546
2,3,594,0.20694709
2,3,1494,0.22171748
2,3,1879,0.22374809
2,12,518,0.14491446
2,35,917,0.09206459
2,35,1673,0.10068064
2,35,1901,0.06175995
2,36,596,0.08348417
2,37,200,0.022966482
2,37,461,0.022313261
2,37,485,0.03518421
2,37,1734,0.009925428
3,23,263,0.32371745
3,27,1370,0.29806423
3,31,46,0.31536475
3,31,65,0.32637203
3,31,452,0.3300208
3,31,1002,0.31594855
3,31,1144,0.33461258
3,31,1247,0.2987294
3,31,1452,0.36715114
3,31,1663,0.30490676
3,31,1721,0.33860752
3,31,1808,0.3359468
3,31,1810,0.3426534
3,31,1877,0.29280666
3,31,1906,0.31931463
3,31,1913,0.30764982
3,31,1945,0.3374432
3,34,353,0.19207557
3,34,484,0.19550465
3,34,789,0.21804278
3,34,977,0.18941791
3,34,1030,0.15869899
3,34,1331,0.22331859
3,34,1830,0.18779321
3,34,1927,0.22642197
3,34,1949,0.21054672
3,34,1969,0.20274018
4,23,263,0.31201717
4,27,1370,0.24137759
4,31,46,0.3242495
4,31,65,0.34449044
4,31,222,0.32532772
4,31,452,0.32601726
4,31,576,0.35091117
4,31,646,0.341478
4,31,1002,0.304762
4,31,1126,0.4586253
4,31,1144,0.38752213
4,31,1247,0.3547354
4,31,1452,0.3234044
4,31,1560,0.31242737
4,31,1663,0.29593793
4,31,1721,0.3122253
4,31,1810,0.35385585
4,31,1877,0.35713544
4,31,1906,0.34005263
4,31,1913,0.31686518
4,31,1945,0.3487743
4,34,484,0.17987652
4,34,789,0.19646807
4,34,1030,0.14141151
4,34,1142,0.18702243
4,34,1927,0.20456673
5,15,624,0.14160979
5,23,263,0.27688253
5,27,1370,0.2728542
5,28,1518,0.26439688
5,31,65,0.378486
5,31,222,0.33700833
5,31,452,0.27163264
5,31,576,0.3136477
5,31,646,0.2907547
5,31,1002,0.3417484
5,31,1126,0.42986813
5,31,1247,0.40100572
5,31,1452,0.32052806
5,31,1495,0.4163579
5,31,1663,0.33691916
5,31,1721,0.30176726
5,31,1810,0.37238464
5,31,1877,0.40863064
5,31,1906,0.38696566
5,31,1913,0.34065413
5,34,353,0.16216703
5,34,484,0.16018143
5,34,789,0.18466933
5,34,1331,0.1922186
6,23,263,0.34394026
6,28,264,0.34201202
6,31,46,0.46228954
6,31,65,0.473982
6,31,222,0.4214139
6,31,576,0.3772336
6,31,646,0.44583216
6,31,1002,0.44923976
6,31,1126,0.36550656
6,31,1144,0.47347668
6,31,1247,0.49949476
6,31,1452,0.47201452
6,31,1560,0.41284955
6,31,1663,0.45262003
6,31,1721,0.4279202
6,31,1808,0.49375618
6,31,1810,0.48686683
6,31,1877,0.47204694
6,31,1906,0.46810016
6,31,1913,0.47001624
6,31,1945,0.47744918
6,34,113,0.20148617
6,34,260,0.21932161
6,34,282,0.18442266
6,34,353,0.18830909
6,34,484,0.18464614
6,34,1030,0.15951566
6,34,1673,0.21773751
6,34,1927,0.21925634
6,34,1949,0.21691091
6,34,2008,0.2033478
7,23,263,0.2794505
7,28,264,0.43911648
7,31,222,0.3452939
7,31,576,0.3082483
7,31,646,0.3423659
7,31,826,0.3626208
7,31,1002,0.3509766
7,31,1126,0.34962097
7,31,1144,0.37684247
7,31,1247,0.36755207
7,31,1264,0.38031876
7,31,1452,0.31925085
7,31,1560,0.31389615
7,31,1663,0.31925523
7,31,1721,0.31602526
7,31,1806,0.2899374
7,31,1808,0.37584886
7,31,1810,0.36066154
7,31,1877,0.3519975
7,31,1906,0.3422188
7,31,1913,0.33158672
7,31,1945,0.34104136
7,34,31,0.18199532
7,34,247,0.15824147
7,34,484,0.16624156
7,34,789,0.19492523
7,34,1299,0.16725786
7,34,1927,0.19069551
8,1,1004,0.22379035
8,3,85,0.14435712
8,3,86,0.14565945
8,3,764,0.13716143
8,3,875,0.14271908
8,3,897,0.06834909
8,3,984,0.16911374
8,3,1105,0.13736789
8,3,1141,0.13012806
8,3,1573,0.071821
8,3,1646,0.11945514
8,3,1995,0.14323303
8,7,435,0.018154474
8,9,130,0.11226427
8,12,518,0.1735154
8,16,1747,0.014352051
8,18,1653,0.15285042
8,19,1692,0.34201995
8,22,1030,0.3036336
8,33,142,0.19210203
9,3,213,0.094207965
9,3,235,0.05382141
9,3,456,0.12560132
9,3,706,0.09649826
9,3,1141,0.13868639
9,3,1158,0.19389117
9,3,1464,0.18659222
9,3,1478,0.13835189
9,3,1558,0.15904844
9,3,1646,0.124028236
9,3,1918,0.10020724
9,7,435,0.0417576
9,7,1665,0.02797536
9,9,1804,0.023145981
9,12,1655,0.24446677
9,22,439,0.19723491
9,22,1254,0.22798675
10,15,624,0.14722988
10,23,263,0.27990726
10,27,1370,0.2607732
10,28,1518,0.2901629
10,31,46,0.3018484
10,31,65,0.29262364
10,31,222,0.29368103
10,31,452,0.29989076
10,31,576,0.28723928
10,31,1002,0.28325254
10,31,1126,0.46684268
10,31,1144,0.35362065
10,31,1247,0.34742865
10,31,1495,0.34296986
10,31,1663,0.30166653
10,31,1721,0.28619078
10,31,1808,0.33672634
10,31,1877,0.34014252
10,31,1906,0.30827764
10,31,1913,0.30418146
10,31,1945,0.32011595
10,34,39,0.17410631
10,34,247,0.167165
10,34,260,0.19319506
10,34,321,0.18422328
10,34,353,0.17379284
10,34,484,0.17554812
10,34,878,0.18902425
10,34,1030,0.14851041
10,34,1397,0.17995787
10,34,1408,0.06165761
10,34,1927,0.20575492
10,34,1960,0.1887302
11,23,263,0.26348606
11,31,46,0.34921655
11,31,65,0.332958
11,31,452,0.27821538
11,31,576,0.28323677
11,31,1002,0.33732876
11,31,1144,0.4373723
11,31,1247,0.41372696
11,31,1264,0.40254053
11,31,1663,0.34721386
11,31,1806,0.30989197
11,31,1810,0.3542985
11,31,1862,0.29762152
11,31,1877,0.42172948
11,31,1906,0.344566
11,31,1913,0.36175552
11,31,1945,0.39116737
11,34,353,0.17069371
11,34,789,0.19442032
11,34,917,0.18015093
11,34,1030,0.14511085
11,34,1673,0.18495166
11,34,1927,0.20107321
12,23,263,0.2752012
12,27,1370,0.23604588
12,28,518,0.25463608
12,31,46,0.3172962
12,31,65,0.34227672
12,31,1002,0.2723652
12,31,1144,0.4190875
12,31,1247,0.3823861
12,31,1663,0.31724688
12,31,1721,0.3022677
12,31,1877,0.39227834
12,31,1906,0.35513934
12,31,1913,0.3310974
12,31,1945,0.36249962
12,34,48,0.15941226
12,34,484,0.15699776
12,34,977,0.15592031
12,34,1030,0.13178913
12,34,1673,0.17273265
12,34,1927,0.17361717
12,34,1949,0.17169142
13,23,263,0.2996857
13,28,243,0.34032187
13,31,46,0.31982473
13,31,65,0.32258004
13,31,102,0.2885529
13,31,576,0.379154
13,31,1144,0.35533345
13,31,1247,0.29859105
13,31,1452,0.37189338
13,31,1458,0.35982367
13,31,1639,0.29709312
13,31,1663,0.33621028
13,31,1721,0.34506628
13,31,1808,0.30914888
13,31,1877,0.31860772
13,31,1906,0.32184675
13,31,1913,0.32813406
13,34,22,0.20338722
13,34,104,0.203902
13,34,257,0.19243892
13,34,260,0.20868842
13,34,321,0.20719491
13,34,353,0.19322574
13,34,484,0.194028
13,34,496,0.2058843
13,34,690,0.20630677
13,34,759,0.21761377
13,34,789,0.22099207
13,34,819,0.20070897
13,34,917,0.23431873
13,34,924,0.2018528
13,34,1030,0.16706061
13,34,1179,0.22254485
13,34,1254,0.1991666
13,34,1273,0.21255617
13,34,1291,0.2391061
13,34,1664,0.20345522
13,34,1673,0.2171287
13,34,1688,0.2039752
13,34,1825,0.21696413
13,34,1847,0.263302
13,34,1927,0.22042815
13,34,1949,0.20865823
13,34,1969,0.2052223
13,34,2001,0.21511297
14,0,1199,0.05769961
14,3,121,0.12471682
14,3,634,0.11948702
14,3,1120,0.14075328
14,3,1212,0.12449797
14,3,1365,0.013905683
14,3,1475,0.13016075
14,3,1494,0.04384404
14,3,1667,0.13202249
14,11,1649,0.28535244
14,12,518,0.17740692
14,12,533,0.15397415
14,22,374,0.20651053
14,29,1442,0.30280814
14,35,1946,0.20711185
14,37,168,0.024900386
15,3,140,0.118079744
15,3,431,0.14229031
15,3,536,0.18484563
15,3,1212,0.17321879
15,3,1856,0.12615485
15,3,1947,0.10796704
15,4,1488,0.017169679
15,12,264,0.37295628
15,22,247,0.26357123
15,22,1030,0.3228701
15,22,1207,0.32817793
15,31,950,0.40676478
15,31,1421,0.35758767
15,35,1946,0.14214785
15,36,679,0.08504402
16,23,263,0.32462087
16,27,964,0.31212577
16,31,46,0.3099756
16,31,65,0.31462464
16,31,222,0.31755558
16,31,452,0.28983763
16,31,576,0.283919
16,31,1002,0.28019544
16,31,1126,0.4197987
16,31,1144,0.3314635
16,31,1247,0.3326757
16,31,1264,0.32901147
16,31,1560,0.3077386
16,31,1721,0.3183684
16,31,1808,0.3512375
16,31,1810,0.31954542
16,31,1862,0.28577822
16,31,1877,0.31946644
16,31,1906,0.3171929
16,31,1913,0.31373087
16,31,1945,0.31515566
16,34,260,0.20647001
16,34,353,0.17915647
16,34,484,0.18028145
16,34,907,0.20053685
16,34,1030,0.15071444
16,34,1331,0.21626799
16,34,1673,0.21776658
16,34,1927,0.20720422
17,23,263,0.31583372
17,27,964,0.30406877
17,28,518,0.20546074
17,31,46,0.3441962
17,31,65,0.36346522
17,31,452,0.3084676
17,31,1002,0.31559676
17,31,1144,0.43297648
17,31,1247,0.3877062
17,31,1264,0.4339216
17,31,1663,0.32325578
17,31,1721,0.32612762
17,31,1806,0.3109256
17,31,1808,0.39013624
17,31,1810,0.37531504
17,31,1862,0.40461564
17,31,1877,0.39096096
17,31,1906,0.36312723
17,31,1913,0.33993062
17,31,1945,0.37396953
17,34,26,0.19457155
17,34,31,0.19953094
17,34,33,0.20942765
17,34,260,0.2098602
17,34,484,0.18718691
17,34,917,0.19240306
17,34,1030,0.15600733
17,34,1299,0.18839437
17,34,1838,0.21348722
17,34,1886,0.210365
17,34,1927,0.21465214
17,34,1949,0.2067622
17,34,2001,0.19831681
18,0,1856,0.019350769
18,3,377,0.037751917
18,3,556,0.023097932
