head,relation,tail,confidence_score
1,23,263,0.71253556
1,28,264,0.60516834
1,31,222,0.4216856
1,31,452,0.37044206
1,31,576,0.33958802
1,31,646,0.2448949
1,31,1002,0.2512665
1,31,1126,0.4233918
1,31,1144,0.29810983
1,31,1247,0.45742515
1,31,1452,0.3474357
1,31,1560,0.3184797
1,31,1663,0.26942807
1,31,1721,0.30828604
1,31,1808,0.4034049
1,31,1810,0.38251165
1,31,1877,0.39110214
1,31,1906,0.36151946
1,31,1913,0.3306781
1,31,1945,0.32195213
1,34,247,0.43425715
1,34,260,0.43425712
1,34,484,0.43425712
1,34,789,0.43425715
1,34,1030,0.43425715
1,34,1927,0.43425715
2,0,1600,0.13682337
2,3,121,0.19431733
2,3,513,0.24005924
2,3,539,0.24409364
2,3,594,0.19045503
2,3,1494,0.24057457
2,3,1879,0.22943072
2,12,518,0.3540244
2,35,917,0.23199257
2,35,1673,0.23199257
2,35,1901,0.44157523
2,36,596,0.5990198
2,37,200,0.41321832
2,37,461,0.36997727
2,37,485,0.39147246
2,37,1734,0.15343317
3,23,263,0.5374421
3,27,1370,0.8204547
3,31,46,0.66392106
3,31,65,0.7264637
3,31,452,0.7346015
3,31,1002,0.37511185
3,31,1144,0.43856093
3,31,1247,0.8446278
3,31,1452,0.6304279
3,31,1663,0.47051066
3,31,1721,0.6016801
3,31,1808,0.791692
3,31,1810,0.7418155
3,31,1877,0.7184087
3,31,1906,0.58517194
3,31,1913,0.7154757
3,31,1945,0.6463341
3,34,353,0.46100944
3,34,484,0.46100944
3,34,789,0.46100944
3,34,977,0.46100944
3,34,1030,0.46100944
3,34,1331,0.46100944
3,34,1830,0.46100944
3,34,1927,0.46100944
3,34,1949,0.46100944
3,34,1969,0.46100944
4,23,263,0.5654125
4,27,1370,0.54496276
4,31,46,0.5710559
4,31,65,0.59832966
4,31,222,0.30542904
4,31,452,0.57286614
4,31,576,0.51054007
4,31,646,0.17233315
4,31,1002,0.2090327
4,31,1126,0.30391145
4,31,1144,0.25297156
4,31,1247,0.67726755
4,31,1452,0.46260026
4,31,1560,0.4541677
4,31,1663,0.28672305
4,31,1721,0.5039153
4,31,1810,0.5630952
4,31,1877,0.5921728
4,31,1906,0.45847565
4,31,1913,0.5544407
4,31,1945,0.46977204
4,34,484,0.37744918
4,34,789,0.37744918
4,34,1030,0.37744918
4,34,1142,0.37744918
4,34,1927,0.37744918
5,15,624,0.40572083
5,23,263,0.59128875
5,27,1370,0.649466
5,28,1518,0.5626357
5,31,65,0.5207546
5,31,222,0.23330115
5,31,452,0.4353549
5,31,576,0.4402389
5,31,646,0.2241145
5,31,1002,0.3134605
5,31,1126,0.36658952
5,31,1247,0.52027667
5,31,1452,0.3971777
5,31,1495,0.3717156
5,31,1663,0.35219672
5,31,1721,0.38601536
5,31,1810,0.5055817
5,31,1877,0.5382677
5,31,1906,0.28583464
5,31,1913,0.46766692
5,34,353,0.40572083
5,34,484,0.40572083
5,34,789,0.40572083
5,34,1331,0.40572083
6,23,263,0.5492398
6,28,264,0.6620345
6,31,46,0.5100438
6,31,65,0.5448952
6,31,222,0.2887337
6,31,576,0.45885846
6,31,646,0.16326828
6,31,1002,0.1644654
6,31,1126,0.31480718
6,31,1144,0.27547923
6,31,1247,0.6870646
6,31,1452,0.450416
6,31,1560,0.45058835
6,31,1663,0.2291336
6,31,1721,0.44666025
6,31,1808,0.6724081
6,31,1810,0.5816026
6,31,1877,0.56981784
6,31,1906,0.43842912
6,31,1913,0.5333795
6,31,1945,0.44085836
6,34,113,0.4516135
6,34,260,0.4516135
6,34,282,0.4516135
6,34,353,0.4516135
6,34,484,0.4516135
6,34,1030,0.4516135
6,34,1673,0.4516135
6,34,1927,0.4516135
6,34,1949,0.4516135
6,34,2008,0.4516135
7,23,263,0.5544004
7,28,264,0.6102361
7,31,222,0.3813166
7,31,576,0.35370755
7,31,646,0.3143361
7,31,826,0.5280283
7,31,1002,0.45411274
7,31,1126,0.5886392
7,31,1144,0.4478013
7,31,1247,0.42001975
7,31,1264,0.21565124
7,31,1452,0.3541179
7,31,1560,0.28681812
7,31,1663,0.45623377
7,31,1721,0.32621682
7,31,1806,0.5106678
7,31,1808,0.42212063
7,31,1810,0.40403235
7,31,1877,0.44554254
7,31,1906,0.3240545
7,31,1913,0.41221863
7,31,1945,0.46445566
7,34,31,0.4600922
7,34,247,0.47831425
7,34,484,0.47831425
7,34,789,0.47831425
7,34,1299,0.47831425
7,34,1927,0.47831425
8,1,1004,0.36557627
8,3,85,0.2908669
8,3,86,0.34703487
8,3,764,0.27243948
