head,relation,tail,confidence_score
1,23,263,0.55586785
1,28,264,0.56078494
1,31,222,4.210329e-05
1,31,452,2.550151e-05
1,31,576,5.816034e-05
1,31,646,9.447949e-06
1,31,1002,8.355398e-05
1,31,1126,4.3332107e-05
1,31,1144,3.457229e-05
1,31,1247,9.07964e-05
1,31,1452,2.4188254e-05
1,31,1560,6.0535633e-05
1,31,1663,8.727247e-05
1,31,1721,3.470416e-05
1,31,1808,0.0001559911
1,31,1810,1.946798e-05
1,31,1877,3.369165e-05
1,31,1906,3.061823e-05
1,31,1913,0.00010766279
1,31,1945,4.3721466e-05
1,34,247,0.5036366
1,34,260,0.5036366
1,34,484,0.5036366
1,34,789,0.5036366
1,34,1030,0.5036366
1,34,1927,0.5036366
2,0,1600,0.5586192
2,3,121,6.5131057e-06
2,3,513,2.9919265e-05
2,3,539,1.6006485e-05
2,3,594,1.5412223e-05
2,3,1494,6.693564e-05
2,3,1879,6.420789e-05
2,12,518,0.32792997
2,35,917,0.079400286
2,35,1673,0.079400286
2,35,1901,0.009935764
2,36,596,0.36813843
2,37,200,0.0388821
2,37,461,0.009935764
2,37,485,0.047117133
2,37,1734,0.037442427
3,23,263,0.64490515
3,27,1370,0.5718224
3,31,46,6.1839506e-05
3,31,65,5.0456678e-05
3,31,452,2.7508459e-05
3,31,1002,0.000117836826
3,31,1144,1.3071376e-05
3,31,1247,0.00010543551
3,31,1452,4.8522834e-05
3,31,1663,9.535843e-05
3,31,1721,7.042578e-05
3,31,1808,0.00016170688
3,31,1810,2.7829159e-05
3,31,1877,7.461152e-05
3,31,1906,2.6739772e-05
3,31,1913,0.00012967431
3,31,1945,5.1007664e-05
3,34,353,0.5256681
3,34,484,0.5256681
3,34,789,0.5256681
3,34,977,0.5256681
3,34,1030,0.5256681
3,34,1331,0.5256681
3,34,1830,0.5256681
3,34,1927,0.5256681
3,34,1949,0.5256681
3,34,1969,0.5256681
4,23,263,0.63579684
4,27,1370,0.55689913
4,31,46,4.687643e-05
4,31,65,7.0672744e-05
4,31,222,5.4737928e-05
4,31,452,1.7455245e-06
4,31,576,4.2391162e-05
4,31,646,1.5191585e-05
4,31,1002,0.00011739538
4,31,1126,4.444777e-05
4,31,1144,3.2551092e-05
4,31,1247,0.0001059488
4,31,1452,5.5198507e-05
4,31,1560,9.268818e-05
4,31,1663,9.026273e-05
4,31,1721,5.6934015e-05
4,31,1810,4.030534e-06
4,31,1877,5.191775e-05
4,31,1906,5.601403e-05
4,31,1913,0.000119371274
4,31,1945,4.1061267e-05
4,34,484,0.4497016
4,34,789,0.4497016
4,34,1030,0.4497016
4,34,1142,0.4497016
4,34,1927,0.4497016
5,15,624,0.27331752
5,23,263,0.5825586
5,27,1370,0.61564183
5,28,1518,0.38736707
5,31,65,6.694351e-05
5,31,222,5.3869266e-05
5,31,452,6.985829e-06
5,31,576,6.546521e-05
5,31,646,3.9535378e-05
5,31,1002,0.00012673424
5,31,1126,3.219362e-05
5,31,1247,0.0001019572
5,31,1452,6.1824874e-05
5,31,1495,2.4716373e-05
5,31,1663,9.839771e-05
5,31,1721,8.7654196e-05
5,31,1810,4.106417e-05
5,31,1877,6.2771134e-05
5,31,1906,4.3099983e-05
5,31,1913,0.00013182714
5,34,353,0.40794986
5,34,484,0.40794986
5,34,789,0.40794986
5,34,1331,0.40794986
6,23,263,0.6176506
6,28,264,0.5718013
6,31,46,4.6349807e-05
6,31,65,2.269625e-05
6,31,222,3.976874e-05
6,31,576,5.376484e-05
6,31,646,8.449093e-06
6,31,1002,0.000113874725
6,31,1126,3.8513816e-05
6,31,1144,3.832303e-05
6,31,1247,9.634284e-05
6,31,1452,2.974076e-05
6,31,1560,8.058775e-05
6,31,1663,0.00010455402
6,31,1721,2.588408e-05
6,31,1808,0.00019031407
6,31,1810,1.0632908e-06
6,31,1877,6.622538e-05
6,31,1906,6.0785493e-05
6,31,1913,0.00011855445
6,31,1945,2.8163535e-05
6,34,113,0.4863045
6,34,260,0.5669688
6,34,282,0.5669688
6,34,353,0.5669688
6,34,484,0.5669688
6,34,1030,0.5669688
6,34,1673,0.5669688
6,34,1927,0.5669688
6,34,1949,0.5669688
6,34,2008,0.5669688
7,23,263,0.4876443
7,28,264,0.4796691
7,31,222,7.520623e-05
7,31,576,5.781794e-05
7,31,646,1.1923385e-05
7,31,826,4.2809042e-05
7,31,1002,9.3876915e-05
7,31,1126,2.6505217e-05
7,31,1144,2.3313518e-05
7,31,1247,8.313693e-05
7,31,1264,0.000113627546
7,31,1452,3.4811066e-05
7,31,1560,7.08661e-05
7,31,1663,7.125074e-05
7,31,1721,4.7373916e-05
7,31,1806,3.7868016e-05
7,31,1808,0.00014266821
7,31,1810,1.1397343e-05
7,31,1877,4.072723e-05
7,31,1906,6.131031e-05
7,31,1913,9.8011835e-05
7,31,1945,2.5516461e-05
7,34,31,0.36828247
7,34,247,0.36828247
7,34,484,0.36828247
7,34,789,0.36828247
7,34,1299,0.36828247
7,34,1927,0.36828247
8,1,1004,0.0031890932
8,3,85,4.209693e-06
8,3,86,8.867125e-06
8,3,764,1.698828e-05
8,3,875,4.0428154e-06
8,3,897,2.228234e-05
8,3,984,7.1161567e-06
8,3,1105,5.917292e-07
8,3,1141,1.8435796e-05
8,3,1573,4.6653354e-06
8,3,1646,1.6519043e-05
8,3,1995,1.1821585e-05
8,7,435,2.7832315e-05
8,9,130,1.2107476e-05
8,12,518,0.23643441
8,16,1747,0.00068883406
8,18,1653,0.0075239413
8,19,1692,0.6729503
8,22,1030,0.24394779
8,33,142,0.3462697
9,3,213,4.2587806e-05
9,3,235,3.3571174e-05
9,3,456,1.852912e-05
9,3,706,3.0198914e-06
9,3,1141,3.0453637e-05
9,3,1158,1.9491206e-05
9,3,1464,9.269217e-06
9,3,1478,7.989e-05
9,3,1558,4.5612924e-05
9,3,1646,5.0614875e-05
9,3,1918,5.1595856e-05
9,7,435,0.00016096544
9,7,1665,1.4540151e-05
9,9,1804,0.00010475837
9,12,1655,0.33901262
9,22,439,0.21426229
9,22,1254,0.3985327
10,15,624,0.27331752
10,23,263,0.63937104
10,27,1370,0.5432194
10,28,1518,0.4550611
10,31,46,6.860713e-05
10,31,65,6.395753e-05
10,31,222,3.485694e-05
10,31,452,2.380991e-05
10,31,576,7.350502e-05
10,31,1002,0.000110600646
10,31,1126,3.9302504e-05
10,31,1144,1.30317e-05
10,31,1247,9.762201e-05
10,31,1495,2.5878326e-05
10,31,1663,9.7569566e-05
10,31,1721,6.88244e-05
10,31,1808,0.00016574579
10,31,1877,5.6895526e-05
10,31,1906,2.2208076e-05
