head,relation,tail,confidence_score
1,23,263,0.058958106
1,28,264,0.0529052
1,31,222,0.018668666
1,31,452,0.036854003
1,31,576,0.031687807
1,31,646,0.023595456
1,31,1002,0.012520718
1,31,1126,0.057428345
1,31,1144,0.024847833
1,31,1247,0.045400042
1,31,1452,0.022281319
1,31,1560,0.035204995
1,31,1663,0.04073127
1,31,1721,0.040128622
1,31,1808,0.041736275
1,31,1810,0.014649807
1,31,1877,0.02438261
1,31,1906,0.064303346
1,31,1913,0.05738655
1,31,1945,0.01870778
1,34,247,0.021158494
1,34,260,0.012691823
1,34,484,0.028915398
1,34,789,0.04044416
1,34,1030,0.01541251
1,34,1927,0.009504388
2,0,1600,0.039394416
2,3,121,0.0376156
2,3,513,0.04550173
2,3,539,0.02796882
2,3,594,0.01346186
2,3,1494,0.017004123
2,3,1879,0.017037518
2,12,518,0.021530082
2,35,917,0.110274576
2,35,1673,0.03535317
2,35,1901,0.04852761
2,36,596,0.09164853
2,37,200,0.073141746
2,37,461,0.07850978
2,37,485,0.11645588
2,37,1734,0.07012607
3,23,263,0.19267267
3,27,1370,0.28861225
3,31,46,0.030713327
3,31,65,0.05657258
3,31,452,0.0135117555
3,31,1002,0.02475655
3,31,1144,0.026338514
3,31,1247,0.032408673
3,31,1452,0.04732321
3,31,1663,0.049912483
3,31,1721,0.117573634
3,31,1808,0.03821013
3,31,1810,0.032404162
3,31,1877,0.030725686
3,31,1906,0.07324747
3,31,1913,0.035025526
3,31,1945,0.011612703
3,34,353,0.03430443
3,34,484,0.021513635
3,34,789,0.024784094
3,34,977,0.01917681
3,34,1030,0.037939306
3,34,1331,0.014447501
3,34,1830,0.017772939
3,34,1927,0.028182464
3,34,1949,0.04303584
3,34,1969,0.039159477
4,23,263,0.039798755
4,27,1370,0.11705425
4,31,46,0.014393631
4,31,65,0.02789738
4,31,222,0.01197916
4,31,452,0.03636665
4,31,576,0.02666905
4,31,646,0.021125905
4,31,1002,0.0053323857
4,31,1126,0.023949852
4,31,1144,0.027975922
4,31,1247,0.036331628
4,31,1452,0.016964247
4,31,1560,0.035160754
4,31,1663,0.045539275
4,31,1721,0.029860672
4,31,1810,0.0025459882
4,31,1877,0.020359192
4,31,1906,0.05101553
4,31,1913,0.048376814
4,31,1945,0.012617571
4,34,484,0.016266916
4,34,789,0.019633332
4,34,1030,0.022959204
4,34,1142,0.015487158
4,34,1927,0.00421544
5,15,624,0.30732077
5,23,263,0.19862762
5,27,1370,0.33621284
5,28,1518,0.14323623
5,31,65,0.04620741
5,31,222,0.03717278
5,31,452,0.0157582
5,31,576,0.033595752
5,31,646,0.058827046
5,31,1002,0.033339426
5,31,1126,0.06770924
5,31,1247,0.08268388
5,31,1452,0.048062995
5,31,1495,0.10051596
5,31,1663,0.074641295
5,31,1721,0.1714492
5,31,1810,0.022909192
5,31,1877,0.048629507
5,31,1906,0.118686944
5,31,1913,0.044480566
5,34,353,0.03957826
5,34,484,0.03319911
5,34,789,0.065930374
5,34,1331,0.020872355
6,23,263,0.061695796
6,28,264,0.15249863
6,31,46,0.019638505
6,31,65,0.01401532
6,31,222,0.017291144
6,31,576,0.025169143
6,31,646,0.016727056
6,31,1002,0.02709194
6,31,1126,0.038460035
6,31,1144,0.044941805
6,31,1247,0.057465643
6,31,1452,0.032486927
6,31,1560,0.02921373
6,31,1663,0.013274903
6,31,1721,0.085805856
6,31,1808,0.08227298
6,31,1810,0.005614713
6,31,1877,0.03552017
6,31,1906,0.053132713
6,31,1913,0.016680779
6,31,1945,0.03880953
6,34,113,0.03971757
6,34,260,0.024818437
6,34,282,0.028366826
6,34,353,0.008246339
6,34,484,0.036526896
6,34,1030,0.013266068
6,34,1673,0.015123964
6,34,1927,0.0028372565
6,34,1949,0.027176412
6,34,2008,0.014991345
7,23,263,0.048701685
7,28,264,0.09556964
7,31,222,0.023118092
7,31,576,0.03655703
7,31,646,0.02322094
7,31,826,0.04911129
7,31,1002,0.021044351
7,31,1126,0.023200529
7,31,1144,0.06709479
7,31,1247,0.0633091
7,31,1264,0.03434106
7,31,1452,0.019047797
7,31,1560,0.06904506
7,31,1663,0.07066924
7,31,1721,0.011663922
7,31,1806,0.036992557
7,31,1808,0.014986443
7,31,1810,0.017257018
7,31,1877,0.015147525
7,31,1906,0.07269789
7,31,1913,0.05973802
7,31,1945,0.011075427
7,34,31,0.019931193
7,34,247,0.021988505
7,34,484,0.032308176
7,34,789,0.005839441
7,34,1299,0.025600929
7,34,1927,0.014602963
8,1,1004,0.07436231
8,3,85,0.018370546
8,3,86,0.021859627
8,3,764,0.0053874888
8,3,875,0.019987052
8,3,897,0.043740503
8,3,984,0.018004974
8,3,1105,0.003930848
8,3,1141,0.013855948
8,3,1573,0.048221406
8,3,1646,0.034865342
8,3,1995,0.028961243
8,7,435,0.03494245
8,9,130,0.19233727
8,12,518,0.020995637
8,16,1747,0.09954227
8,18,1653,0.029663062
8,19,1692,0.103796974
8,22,1030,0.017566985
8,33,142,0.04347917
9,3,213,0.0033364722
9,3,235,0.022963949
9,3,456,0.017017778
9,3,706,0.008598178
9,3,1141,0.009262688
9,3,1158,0.014476998
9,3,1464,0.02251485
9,3,1478,0.019162213
9,3,1558,0.017079616
9,3,1646,0.0052142036
9,3,1918,0.016074732
9,7,435,0.007454995
9,7,1665,0.017306449
9,9,1804,0.029903965
9,12,1655,0.029393898
9,22,439,0.015746402
9,22,1254,0.016105453
10,15,624,0.18948056
10,23,263,0.023240404
10,27,1370,0.32619148
10,28,1518,0.13255692
10,31,46,0.06006342
10,31,65,0.025593255
10,31,222,0.02537428
10,31,452,0.030177308
10,31,576,0.04211822
10,31,1002,0.038470402
10,31,1126,0.014381059
10,31,1144,0.064630635
10,31,1247,0.03700007
10,31,1495,0.10892411
10,31,1663,0.044711847
10,31,1721,0.016154828
10,31,1808,0.018365135
10,31,1877,0.02640194
10,31,1906,0.05373345
10,31,1913,0.02929377
10,31,1945,0.030859167
10,34,39,0.033161264
10,34,247,0.014617884
10,34,260,0.018508168
10,34,321,0.032079212
10,34,353,0.034015063
10,34,484,0.017177058
10,34,878,0.017066544
10,34,1030,0.018719058
10,34,1397,0.044101164
10,34,1408,0.016173668
10,34,1927,0.030681778
10,34,1960,0.031027386
11,23,263,0.03931067
11,31,46,0.008638005
11,31,65,0.028102148
11,31,452,0.032012485
11,31,576,0.021883892
11,31,1002,0.0056780195
11,31,1144,0.024022318
11,31,1247,0.023413692
11,31,1264,0.019773318
11,31,1663,0.015371742
11,31,1806,0.005065164
11,31,1810,0.018556846
11,31,1862,0.03127335
11,31,1877,0.023089835
11,31,1906,0.039594714
11,31,1913,0.03489945
11,31,1945,0.027492506
11,34,353,0.023612889
11,34,789,0.017823346
11,34,917,0.036034398
11,34,1030,0.029375771
11,34,1673,0.036485393
11,34,1927,0.007124714
12,23,263,0.032341514
12,27,1370,0.18137984
12,28,518,0.040031392
12,31,46,0.03631557
12,31,65,0.022418719
12,31,1002,0.025152965
12,31,1144,0.03747276
12,31,1247,0.011441111
12,31,1663,0.034865227
12,31,1721,0.034859132
12,31,1877,0.014310638
12,31,1906,0.033001654
12,31,1913,0.033577275
12,31,1945,0.016677955
12,34,48,0.008000255
12,34,484,0.0027680828
12,34,977,0.018133072
12,34,1030,0.006635763
12,34,1673,0.024555774
12,34,1927,0.017478881
12,34,1949,0.02636653
13,23,263,0.029745242
13,28,243,0.0939106
13,31,46,0.04329251
13,31,65,0.011000026
13,31,102,0.04144345
13,31,576,0.023638323
13,31,1144,0.029082136
13,31,1247,0.031260338
13,31,1452,0.010472592
13,31,1458,0.015525748
13,31,1639,0.021154586
13,31,1663,0.026398454
13,31,1721,0.034344792
13,31,1808,0.02346098
13,31,1877,0.014943802
13,31,1906,0.037212327
13,31,1913,0.010498631
13,34,22,0.0049706833
13,34,104,0.00207647
13,34,257,0.02433758
13,34,260,0.015818864
13,34,321,0.010898199
13,34,353,0.02215123
13,34,484,0.010614782
13,34,496,0.019438831
13,34,690,0.026568046
13,34,759,0.044343386
13,34,789,0.019871375
13,34,819,0.02483502
13,34,917,0.031034134
13,34,924,0.030201005
13,34,1030,0.010411844
13,34,1179,0.036576938
13,34,1254,0.014721038
13,34,1273,0.017408352
13,34,1291,0.029562512
13,34,1664,0.013915442
13,34,1673,0.0013871198
13,34,1688,0.018037094
13,34,1825,0.0038741562
13,34,1847,0.021113768
13,34,1927,0.020842409
13,34,1949,0.011913129
13,34,1969,0.0245957
13,34,2001,0.02761265
14,0,1199,0.06955252
14,3,121,0.01948237
14,3,634,0.030411324
14,3,1120,0.015001577
14,3,1212,0.017853018
14,3,1365,0.01544697
14,3,1475,0.004819587
14,3,1494,0.0035973443
14,3,1667,0.036598638
14,11,1649,0.041774374
14,12,518,0.032884188
14,12,533,0.1739186
14,22,374,0.01950522
14,29,1442,0.41343436
14,35,1946,0.07011657
14,37,168,0.08537257
15,3,140,0.013883897
15,3,431,0.018853216
15,3,536,0.021184469
15,3,1212,0.02474313
15,3,1856,0.033525173
15,3,1947,0.016003197
15,4,1488,0.13296293
15,12,264,0.033609852
15,22,247,0.026826188
15,22,1030,0.015500271
15,22,1207,0.033836767
15,31,950,0.03612965
15,31,1421,0.018500403
15,35,1946,0.05709636
15,36,679,0.05545102
16,23,263,0.16096014
16,27,964,0.0637409
16,31,46,0.030424617
16,31,65,0.052029565
16,31,222,0.028061122
16,31,452,0.024789613
16,31,576,0.010997473
16,31,1002,0.037194002
16,31,1126,0.036176663
