head,relation,tail,confidence_score
1,23,263,0.75609285
1,28,264,0.49598625
1,31,222,0.7759945
1,31,452,0.8104318
1,31,576,0.8153072
1,31,646,0.74811304
1,31,1002,0.8107374
1,31,1126,0.7443717
1,31,1144,0.79665107
1,31,1247,0.8050223
1,31,1452,0.7997603
1,31,1560,0.7940157
1,31,1663,0.82597536
1,31,1721,0.7704909
1,31,1808,0.81930494
1,31,1810,0.8185713
1,31,1877,0.81881475
1,31,1906,0.8032446
1,31,1913,0.8072483
1,31,1945,0.820448
1,34,247,0.4774447
1,34,260,0.6784697
1,34,484,0.54527986
1,34,789,0.6754369
1,34,1030,0.3958845
1,34,1927,0.67218363
2,0,1600,0.30509305
2,3,121,1.5746142e-05
2,3,513,1.4064805e-05
2,3,539,1.13011165e-05
2,3,594,1.8214972e-05
2,3,1494,2.2470824e-05
2,3,1879,2.8308763e-05
2,12,518,0.11484518
2,35,917,0.3473813
2,35,1673,0.3119421
2,35,1901,0.23831742
2,36,596,0.48592234
2,37,200,0.009425647
2,37,461,0.02653113
2,37,485,0.019746156
2,37,1734,0.03669761
3,23,263,0.79894704
3,27,1370,0.7348605
3,31,46,0.84032816
3,31,65,0.77946913
3,31,452,0.85454994
3,31,1002,0.8634855
3,31,1144,0.85877347
3,31,1247,0.8526817
3,31,1452,0.8476094
3,31,1663,0.85532117
3,31,1721,0.8297269
3,31,1808,0.86204123
3,31,1810,0.8533073
3,31,1877,0.8519497
3,31,1906,0.8469862
3,31,1913,0.86106366
3,31,1945,0.8647224
3,34,353,0.5586449
3,34,484,0.5680944
3,34,789,0.7029116
3,34,977,0.6711899
3,34,1030,0.41565448
3,34,1331,0.6926973
3,34,1830,0.64558387
3,34,1927,0.6974848
3,34,1949,0.69441897
3,34,1969,0.6511851
4,23,263,0.7472543
4,27,1370,0.70296705
4,31,46,0.79934835
4,31,65,0.75437593
4,31,222,0.7859926
4,31,452,0.8134829
4,31,576,0.8076833
4,31,646,0.7571585
4,31,1002,0.8124777
4,31,1126,0.746012
4,31,1144,0.8132395
4,31,1247,0.8122624
4,31,1452,0.80638146
4,31,1560,0.7975165
4,31,1663,0.81813896
4,31,1721,0.7702853
4,31,1810,0.81577164
4,31,1877,0.8061525
4,31,1906,0.80209404
4,31,1913,0.8146716
4,31,1945,0.8215655
4,34,484,0.5340707
4,34,789,0.6643585
4,34,1030,0.39242026
4,34,1142,0.593444
4,34,1927,0.6580701
5,15,624,0.37871
5,23,263,0.72117084
5,27,1370,0.65681297
5,28,1518,0.72813976
5,31,65,0.71943617
5,31,222,0.7529426
5,31,452,0.7824775
5,31,576,0.7758592
5,31,646,0.7053727
5,31,1002,0.77635175
5,31,1126,0.7142644
5,31,1247,0.7802064
5,31,1452,0.76303655
5,31,1495,0.7391119
5,31,1663,0.78169024
5,31,1721,0.7382837
5,31,1810,0.78304285
5,31,1877,0.7773589
5,31,1906,0.7742147
5,31,1913,0.78633225
5,34,353,0.5072881
5,34,484,0.5122002
5,34,789,0.63731605
5,34,1331,0.6243706
6,23,263,0.7885246
6,28,264,0.5067813
6,31,46,0.8034269
6,31,65,0.7589748
6,31,222,0.80443144
6,31,576,0.8226409
6,31,646,0.7601792
6,31,1002,0.83142567
6,31,1126,0.77287006
6,31,1144,0.8030571
6,31,1247,0.8028431
6,31,1452,0.81164974
6,31,1560,0.79924875
6,31,1663,0.82901305
6,31,1721,0.8013355
6,31,1808,0.8253583
6,31,1810,0.8193859
6,31,1877,0.82304126
6,31,1906,0.8071169
6,31,1913,0.81164914
6,31,1945,0.8203199
6,34,113,0.66206944
6,34,260,0.68813074
6,34,282,0.4345563
6,34,353,0.5464484
6,34,484,0.55486435
6,34,1030,0.40894344
6,34,1673,0.6379246
6,34,1927,0.68235207
6,34,1949,0.6782405
6,34,2008,0.64939743
7,23,263,0.7527375
7,28,264,0.49702817
7,31,222,0.76480174
7,31,576,0.7733032
7,31,646,0.7227134
7,31,826,0.77263874
7,31,1002,0.78152174
7,31,1126,0.72701484
7,31,1144,0.7556695
7,31,1247,0.7535309
7,31,1264,0.76737225
7,31,1452,0.7586006
7,31,1560,0.7548978
7,31,1663,0.77978915
7,31,1721,0.75811833
7,31,1806,0.7737077
7,31,1808,0.7773818
7,31,1810,0.7717407
7,31,1877,0.77682316
7,31,1906,0.75984085
7,31,1913,0.76209646
7,31,1945,0.76790756
7,34,31,0.6241003
7,34,247,0.45811704
7,34,484,0.52514344
7,34,789,0.64820504
7,34,1299,0.6150717
7,34,1927,0.64370954
8,1,1004,0.7425826
8,3,85,4.5693487e-05
8,3,86,3.5730725e-05
8,3,764,2.969231e-05
8,3,875,4.1113584e-05
8,3,897,2.3930752e-05
8,3,984,5.4854696e-05
8,3,1105,7.840247e-06
8,3,1141,3.1666674e-05
8,3,1573,7.3406254e-06
8,3,1646,1.761565e-05
8,3,1995,3.1640445e-06
8,7,435,8.931662e-05
8,9,130,8.69925e-05
8,12,518,0.48985997
8,16,1747,0.30008727
8,18,1653,0.08192041
8,19,1692,0.51638865
8,22,1030,0.6122955
8,33,142,0.5386883
9,3,213,2.7298756e-05
9,3,235,2.9437297e-05
9,3,456,5.9073323e-06
9,3,706,2.008935e-05
9,3,1141,1.4930612e-05
9,3,1158,3.3369354e-06
9,3,1464,3.779552e-05
9,3,1478,1.5165426e-05
9,3,1558,3.899339e-05
9,3,1646,3.010407e-06
9,3,1918,1.1207723e-05
9,7,435,0.0003952465
9,7,1665,9.349951e-05
9,9,1804,0.000105274594
9,12,1655,0.5769243
9,22,439,0.4766561
