head,relation,tail,confidence_score
1,23,263,0.044795703
1,28,264,0.41822258
1,31,222,0.30883953
1,31,452,0.4219726
1,31,576,0.46352172
1,31,646,0.015906762
1,31,1002,0.32041106
1,31,1126,0.84568954
1,31,1144,0.6499856
1,31,1247,0.48891878
1,31,1452,0.749357
1,31,1560,0.3127881
1,31,1663,0.4807258
1,31,1721,0.5068758
1,31,1808,0.34311545
1,31,1810,0.47091866
1,31,1877,0.45897272
1,31,1906,0.30675778
1,31,1913,0.42110237
1,31,1945,0.6471895
1,34,247,0.0025343157
1,34,260,0.008422993
1,34,484,0.010622568
1,34,789,0.0062393877
1,34,1030,0.008443461
1,34,1927,0.001908093
2,0,1600,0.2544369
2,3,121,0.42210382
2,3,513,0.104235016
2,3,539,0.25572792
2,3,594,0.35312602
2,3,1494,0.33139694
2,3,1879,0.28033862
2,12,518,0.15494157
2,35,917,0.13470793
2,35,1673,0.14454073
2,35,1901,0.005843143
2,36,596,0.17512248
2,37,200,0.08559244
2,37,461,0.14425382
2,37,485,0.18846151
2,37,1734,0.17574923
3,23,263,0.35013464
3,27,1370,0.063211255
3,31,46,0.1067459
3,31,65,0.16138627
3,31,452,0.15747295
3,31,1002,0.17794982
3,31,1144,0.15321976
3,31,1247,0.122947775
3,31,1452,0.00062227366
3,31,1663,0.1905727
3,31,1721,0.1895492
3,31,1808,0.1093384
3,31,1810,0.1359536
3,31,1877,0.19737107
3,31,1906,0.012271134
3,31,1913,0.12362834
3,31,1945,0.124085456
3,34,353,0.007598244
3,34,484,0.028594643
3,34,789,0.019890299
3,34,977,0.011910158
3,34,1030,0.009798719
3,34,1331,0.007507245
3,34,1830,0.017623503
3,34,1927,0.0071942694
3,34,1949,0.0036924249
3,34,1969,0.029014517
4,23,263,0.4556575
4,27,1370,0.019492343
4,31,46,0.05548331
4,31,65,0.12445926
4,31,222,0.3224405
4,31,452,0.13346697
4,31,576,0.039549377
4,31,646,0.103913866
4,31,1002,0.14471272
4,31,1126,0.28254065
4,31,1144,0.07989065
4,31,1247,0.048752043
4,31,1452,0.017812604
4,31,1560,0.21276386
4,31,1663,0.061619878
4,31,1721,0.023636488
4,31,1810,0.08851507
4,31,1877,0.12944604
4,31,1906,0.03182343
4,31,1913,0.08842406
4,31,1945,0.098992705
4,34,484,0.00035788576
4,34,789,0.0069856383
4,34,1030,0.007667286
4,34,1142,0.009504322
4,34,1927,0.01594777
5,15,624,0.17590569
5,23,263,0.02601778
5,27,1370,0.013111895
5,28,1518,0.3448187
5,31,65,0.42701617
5,31,222,0.36288986
5,31,452,0.36877567
5,31,576,0.44515368
5,31,646,0.10081413
5,31,1002,0.2700631
5,31,1126,0.4636712
5,31,1247,0.42314062
5,31,1452,0.5755515
5,31,1495,0.53793293
5,31,1663,0.37554637
5,31,1721,0.37992936
5,31,1810,0.40862608
5,31,1877,0.35418913
5,31,1906,0.36397153
5,31,1913,0.3921929
5,34,353,0.019937977
5,34,484,0.041977424
5,34,789,0.031216724
5,34,1331,0.021779506
6,23,263,0.4586675
6,28,264,0.20846471
6,31,46,0.3099562
6,31,65,0.33817798
6,31,222,0.15996273
6,31,576,0.26854792
6,31,646,0.17005429
6,31,1002,0.33064666
6,31,1126,0.5135888
6,31,1144,0.48399445
6,31,1247,0.34625348
6,31,1452,0.20759444
6,31,1560,0.07491501
6,31,1663,0.4208508
6,31,1721,0.4535713
6,31,1808,0.16311681
6,31,1810,0.35440463
6,31,1877,0.35633373
6,31,1906,0.14906433
6,31,1913,0.3047019
6,31,1945,0.41526428
6,34,113,0.024933169
6,34,260,0.0071479375
6,34,282,0.0073390617
6,34,353,0.00032896266
6,34,484,0.010817552
6,34,1030,0.012371606
6,34,1673,0.0061527328
6,34,1927,0.003911158
6,34,1949,0.0012966914
6,34,2008,0.005326199
7,23,263,0.23385178
7,28,264,0.047508035
7,31,222,0.11686918
7,31,576,0.019045632
7,31,646,0.12437208
7,31,826,0.17267442
7,31,1002,0.09964216
7,31,1126,0.05117741
7,31,1144,0.100159466
7,31,1247,0.07417743
7,31,1264,0.18441068
7,31,1452,0.23296672
7,31,1560,0.032657284
7,31,1663,0.12300247
7,31,1721,0.20536748
7,31,1806,0.076148495
7,31,1808,5.568821e-05
7,31,1810,0.073527
7,31,1877,0.04714257
7,31,1906,0.025446974
7,31,1913,0.04931107
7,31,1945,0.034583956
7,34,31,0.026180368
7,34,247,0.006040057
7,34,484,0.015304736
7,34,789,0.017106978
7,34,1299,0.001871569
7,34,1927,0.0072663
8,1,1004,0.012691975
8,3,85,0.1220519
8,3,86,0.12062988
8,3,764,0.18598615
8,3,875,0.15720741
8,3,897,0.09883044
8,3,984,0.25631484
8,3,1105,0.14325449
8,3,1141,0.14416683
8,3,1573,0.22285305
8,3,1646,0.10719831
8,3,1995,0.011086026
8,7,435,0.32542107
8,9,130,0.020266254
8,12,518,0.1686526
8,16,1747,0.051045816
8,18,1653,0.21847378
8,19,1692,0.14133091
8,22,1030,0.07452766
8,33,142,0.07738189
9,3,213,0.0029646892
9,3,235,0.08668208
9,3,456,0.19070552
9,3,706,0.12670608
9,3,1141,0.15991452
9,3,1158,0.21552119
9,3,1464,0.19616115
9,3,1478,0.18685386
9,3,1558,0.049054723
9,3,1646,0.18775776
9,3,1918,0.1721561
9,7,435,0.12667614
9,7,1665,0.1543917
9,9,1804,0.44214717
9,12,1655,0.15384202
9,22,439,0.20222707
9,22,1254,0.119934045
10,15,624,0.19078685
10,23,263,0.4023419
10,27,1370,0.045210037
10,28,1518,0.18924844
