head,relation,tail,confidence_score
1,23,263,0.7085823930335271
1,28,264,0.91986935015489
1,31,222,0.8341112364924045
1,31,452,0.8965082212544637
1,31,576,0.9537285552876207
1,31,646,0.8648439353380977
1,31,1002,0.5601817755852965
1,31,1126,0.7836901177023932
1,31,1144,0.8255460410470615
1,31,1247,0.9143476728751329
1,31,1452,0.6542380268795456
1,31,1560,0.9665202904418387
1,31,1663,0.919168522348554
1,31,1721,0.8213318624764534
1,31,1808,0.5206937799422799
1,31,1810,0.7200831178641098
1,31,1877,0.5225349301163194
1,31,1906,0.7996204836718637
1,31,1913,0.6246563982013021
1,31,1945,0.9604012857590155
1,34,247,0.7095528377692494
1,34,260,0.8630055208214933
1,34,484,0.5894045494377707
1,34,789,0.7579677939726366
1,34,1030,0.7106190798822527
1,34,1927,0.7405231306234996
2,0,1600,0.7822582299613442
2,3,121,0.5811902639375983
2,3,513,0.5905551077810629
2,3,539,0.879318469289809
2,3,594,0.5794127739025668
2,3,1494,0.8005604206457049
2,3,1879,0.9042921984973105
2,12,518,0.6597127487292511
2,35,917,0.6272729052117977
2,35,1673,0.9865383658926326
2,35,1901,0.7692253678261589
2,36,596,0.9495341590254583
2,37,200,0.8734057397208388
2,37,461,0.7795420880289343
2,37,485,0.5121202665880875
2,37,1734,0.7284633327652446
3,23,263,0.9432706292280044
3,27,1370,0.9818051123902296
3,31,46,0.6386814221615502
3,31,65,0.7093282235797791
3,31,452,0.6387868082584736
3,31,1002,0.6068261221631641
3,31,1144,0.8258037892554625
3,31,1247,0.7662008516779116
3,31,1452,0.6427354206869815
3,31,1663,0.8736973084696394
3,31,1721,0.7521933904407915
3,31,1808,0.8377479391484073
3,31,1810,0.8907139306913275
3,31,1877,0.6493709699147687
3,31,1906,0.825818091262916
3,31,1913,0.9395981591360245
3,31,1945,0.776925889674639
3,34,353,0.5611726958289136
3,34,484,0.841285984068368
3,34,789,0.5430821025283725
3,34,977,0.6638660503040144
3,34,1030,0.8832510331848908
3,34,1331,0.8579964230189585
3,34,1830,0.6143267547673019
3,34,1927,0.6188461053193606
3,34,1949,0.7686694500559159
3,34,1969,0.9913269544839858
4,23,263,0.7173237083040034
4,27,1370,0.6784669204541423
4,31,46,0.7206925765802197
4,31,65,0.8361723246697759
4,31,222,0.8374322928000064
4,31,452,0.6631071213910513
4,31,576,0.8030601429099745
4,31,646,0.5612348281872166
4,31,1002,0.9717488375028798
4,31,1126,0.6458910143354335
4,31,1144,0.5407107099648003
4,31,1247,0.9134503315116091
4,31,1452,0.7963729771113756
4,31,1560,0.5293110771538692
4,31,1663,0.7572619266292526
4,31,1721,0.6893520786102028
4,31,1810,0.9215099028779199
4,31,1877,0.5679948549475697
4,31,1906,0.5014766219546413
4,31,1913,0.8264464549845345
4,31,1945,0.7901669231854477
4,34,484,0.8590765317881939
4,34,789,0.798002270272911
4,34,1030,0.8969968604698402
4,34,1142,0.5828700093143151
4,34,1927,0.835254304606131
5,15,624,0.8031190736218472
5,23,263,0.873913984419701
5,27,1370,0.9545535720158229
5,28,1518,0.6009956017561957
5,31,65,0.8636123219474543
5,31,222,0.842853743553169
5,31,452,0.6418315713139446
5,31,576,0.8866849519101996
5,31,646,0.6128425107810388
5,31,1002,0.6730535090720529
5,31,1126,0.8339300576878351
5,31,1247,0.7160003121668826
5,31,1452,0.5095903451315413
5,31,1495,0.5259134413453677
5,31,1663,0.9064380481317091
5,31,1721,0.733320749133882
5,31,1810,0.7837135387780739
5,31,1877,0.7921183840187762
5,31,1906,0.7190842400523735
5,31,1913,0.9091758160978746
5,34,353,0.6232707828072023
5,34,484,0.7747463850881525
5,34,789,0.9703915898649068
5,34,1331,0.8631316177928973
6,23,263,0.5758515854685137
6,28,264,0.9603761158112201
6,31,46,0.997224250745808
6,31,65,0.6602546267654585
6,31,222,0.98864803906056
6,31,576,0.9529784795983093
6,31,646,0.6591068348177824
6,31,1002,0.6734349144476559
6,31,1126,0.7510664688936095
6,31,1144,0.7733985568068933
6,31,1247,0.5564532644437534
6,31,1452,0.517859417708511
6,31,1560,0.9191715543666485
6,31,1663,0.8904444121782228
6,31,1721,0.9816284585649714
6,31,1808,0.5771900561225567
6,31,1810,0.5406241339379891
6,31,1877,0.7172634771023008
6,31,1906,0.6582972524708359
6,31,1913,0.500090695501328
6,31,1945,0.6223874668065876
6,34,113,0.8728419685994937
6,34,260,0.761003595807055
6,34,282,0.6856197550147369
6,34,353,0.5582121541422764
6,34,484,0.7695925047044011
6,34,1030,0.5433942601454635
6,34,1673,0.9384429327178831
6,34,1927,0.7175897483760596
6,34,1949,0.5417751106252131
6,34,2008,0.9601887567402827
7,23,263,0.6534189479273804
7,28,264,0.5910676777227664
7,31,222,0.5974350833375341
7,31,576,0.9477460333677548
7,31,646,0.9840908195722107
7,31,826,0.710874946888506
7,31,1002,0.8485581983428376
7,31,1126,0.7519061828649578
7,31,1144,0.7788546430270549
7,31,1247,0.8711001569244301
7,31,1264,0.5567731311165861
7,31,1452,0.999568166918836
7,31,1560,0.9232354002375616
7,31,1663,0.7346635047092367
7,31,1721,0.9751566231004898
7,31,1806,0.9010914675181498
7,31,1808,0.6050059369469236
7,31,1810,0.6244356582604399
7,31,1877,0.7921542712058173
7,31,1906,0.7655607815002469
7,31,1913,0.8483566300003305
7,31,1945,0.7899558260359412
7,34,31,0.9045369992447179
7,34,247,0.5056115423020942
7,34,484,0.7751827322195015
7,34,789,0.8429041705716849
7,34,1299,0.905926706289919
7,34,1927,0.5276649774609061
8,1,1004,0.8153922906719582
8,3,85,0.7848492929180875
8,3,86,0.6192993245804466
8,3,764,0.5670311522404343
8,3,875,0.6228802623451257
8,3,897,0.8754516426953651
8,3,984,0.5219005083648122
8,3,1105,0.7766465956574854
8,3,1141,0.7210609299728271
8,3,1573,0.6584721517880345
8,3,1646,0.5228305721206151
8,3,1995,0.846358422649677
8,7,435,0.6735332900215195
8,9,130,0.7499177884947181
8,12,518,0.7948431508147142
8,16,1747,0.7914683417424088
8,18,1653,0.8287946163320266
8,19,1692,0.8050253861459232
8,22,1030,0.9403751499315703
8,33,142,0.9984250910508864
9,3,213,0.7768300343769072
