head,relation,tail,confidence_score
1,23,263,0.32167837868166366
1,28,264,0.15274846638308281
1,31,222,0.20430693933999955
1,31,452,0.014041127357251437
1,31,576,0.23089290114025612
1,31,646,0.025675300348543706
1,31,1002,0.2339253141434261
1,31,1126,0.31802112877110633
1,31,1144,0.27558695540299544
1,31,1247,0.38974077225379034
1,31,1452,0.14277624590020316
1,31,1560,0.4719526729649035
1,31,1663,0.2731098754822774
1,31,1721,0.40112979362502127
1,31,1808,0.2646285497015503
1,31,1810,0.010575017375829165
1,31,1877,0.4671573523691643
1,31,1906,0.01375533436378168
1,31,1913,0.4520740710944991
1,31,1945,0.1284704645491525
1,34,247,0.2357716517409002
1,34,260,0.2697526817950657
1,34,484,0.39051011050609635
1,34,789,0.041691518670231964
1,34,1030,0.357539855418668
1,34,1927,0.04886358382534989
2,0,1600,0.0688754486214912
2,3,121,0.23400191083068078
2,3,513,0.06394728557224222
2,3,539,0.04470889164810948
2,3,594,0.3388943652390602
2,3,1494,0.47092991550571917
2,3,1879,0.2274384551598269
2,12,518,0.2778855224791883
2,35,917,0.08316523487170435
2,35,1673,0.43762489709347396
2,35,1901,0.12213465363436526
2,36,596,0.16120752620568096
2,37,200,0.3138573664743744
2,37,461,0.3877682391693425
2,37,485,0.43008886142733005
2,37,1734,0.42722214823362326
3,23,263,0.030755975945806813
3,27,1370,0.3633047558342204
3,31,46,0.43480391886326725
3,31,65,0.3209462845595558
3,31,452,0.2226238626752563
3,31,1002,0.35602857236196667
3,31,1144,0.1507789235573183
3,31,1247,0.21145294081268617
3,31,1452,0.2889088533645763
3,31,1663,0.12605207899780557
3,31,1721,0.339839158600013
3,31,1808,0.1284004611176668
3,31,1810,0.2083340931219927
3,31,1877,0.10766161776825856
3,31,1906,0.3065304977551296
3,31,1913,0.34615046137705296
3,31,1945,0.3810587354321789
3,34,353,0.4789635882890901
3,34,484,0.4939348194348961
3,34,789,0.22702573386835717
3,34,977,0.4559937013587962
3,34,1030,0.46258123390374556
3,34,1331,0.21768396280729185
3,34,1830,0.3268360614454134
3,34,1927,0.15391199564348562
