head,relation,tail,confidence_score
1,23,263,0.7442679931895767
1,28,264,0.31011158737565614
1,31,222,0.34885993249334457
1,31,452,0.030218068221225303
1,31,576,0.06965196232348903
1,31,646,0.38499557415102115
1,31,1002,0.9081498584435547
1,31,1126,0.07689579829774551
1,31,1144,0.3913705162203386
1,31,1247,0.3198768806610899
1,31,1452,0.41817886185551667
1,31,1560,0.9063432997991737
1,31,1663,0.5333594474254608
1,31,1721,0.49720284750679644
1,31,1808,0.3024666446070893
1,31,1810,0.9485449130636379
1,31,1877,0.5493942886544764
1,31,1906,0.380293327925586
1,31,1913,0.25657519606388535
1,31,1945,0.998777835725663
1,34,247,0.32353089784760203
1,34,260,0.6245752419126778
1,34,484,0.6203653856818069
1,34,789,0.28669008805289353
1,34,1030,0.9289888565520386
1,34,1927,0.7878806736651095
2,0,1600,0.5281959551484388
2,3,121,0.4074132223453374
2,3,513,0.7225067090342489
2,3,539,0.604160095093461
2,3,594,0.06980013698692045
2,3,1494,0.19319298352139136
2,3,1879,0.15579860502833753
2,12,518,0.9257773690337288
2,35,917,0.36852258983432595
2,35,1673,0.8183988408520191
2,35,1901,0.6008426299881707
2,36,596,0.521167526962922
2,37,200,0.39664370282986006
2,37,461,0.7586813360464875
2,37,485,0.9188121640971071
2,37,1734,0.017800825320831604
3,23,263,0.4238344081370071
3,27,1370,0.6793133176246703
3,31,46,0.042351375628347565
3,31,65,0.8564780230819407
3,31,452,0.8937875407773175
3,31,1002,0.7617323929397369
3,31,1144,0.28820242562993414
3,31,1247,0.5136836281852641
3,31,1452,0.3875945090284132
3,31,1663,0.8229119092520395
3,31,1721,0.2694890604647653
3,31,1808,0.21023814627358628
3,31,1810,0.7606651628530587
3,31,1877,0.3914121032893353
3,31,1906,0.22339272170232483
3,31,1913,0.6591920734469419
3,31,1945,0.6961971118398501
3,34,353,0.8782777878719099
3,34,484,0.9121382337588219
3,34,789,0.8050720053012644
3,34,977,0.5135142728693737
3,34,1030,0.58451984038086
3,34,1331,0.4735237200523613
3,34,1830,0.6794165531397186
3,34,1927,0.4369822950768405
3,34,1949,0.6417741935729266
3,34,1969,0.18132039174406067
4,23,263,0.31199424222973027
4,27,1370,0.8033553773779638
4,31,46,0.17968517994244526
4,31,65,0.10820181772699689
4,31,222,0.20544715076344444
4,31,452,0.11428752712104251
4,31,576,0.0926159247358288
4,31,646,0.19574858922576266
4,31,1002,0.06704599408462442
4,31,1126,0.3896951363462907
4,31,1144,0.21425239641395277
4,31,1247,0.8991934086738178
4,31,1452,0.24676805969367088
4,31,1560,0.5045489898547666
4,31,1663,0.3668349931513043
4,31,1721,0.9445994812544276
4,31,1810,0.5645292428800677
4,31,1877,0.2147151197065601
4,31,1906,0.5074042327070803
4,31,1913,0.5355945994608128
4,31,1945,0.045997836603417386
4,34,484,0.11984867420642953
4,34,789,0.48675670873531507
4,34,1030,0.8232017145398431
4,34,1142,0.7991078488274401
4,34,1927,0.3828678340677335
5,15,624,0.4720982976111079
5,23,263,0.9964174528194673
5,27,1370,0.02316625914738135
5,28,1518,0.9336992257860071
5,31,65,0.037972782068951716
5,31,222,0.18910881103479404
5,31,452,0.95730666435632
5,31,576,0.26936345598941824
5,31,646,0.06344415056743413
5,31,1002,0.07091238919712362
5,31,1126,0.5112025553223207
5,31,1247,0.48739883615309065
5,31,1452,0.08783815473097367
5,31,1495,0.6378183432857918
5,31,1663,0.541420766189453
5,31,1721,0.14311584469354255
5,31,1810,0.4528634013631372
5,31,1877,0.9756714799756148
5,31,1906,0.8525656698787178
5,31,1913,0.8382723510834856
5,34,353,0.8970074888335465
5,34,484,0.20967586605820698
5,34,789,0.05187347657795527
5,34,1331,0.512630161213814
6,23,263,0.3758165297282323
6,28,264,0.07733257323355491
6,31,46,0.5478506662301634
6,31,65,0.09538105361275806
6,31,222,0.3871223190834936
6,31,576,0.7846001405037699
6,31,646,0.4751989065685601
6,31,1002,0.37369911694511604
6,31,1126,0.07474800804828863
6,31,1144,0.9768208178215805
6,31,1247,0.5582371856602313
6,31,1452,0.577193015530973
6,31,1560,0.7153941218436852
6,31,1663,0.7980498979856344
6,31,1721,0.6335288799539188
6,31,1808,0.4111030540513274
6,31,1810,0.6011620400480323
6,31,1877,0.11516769329645693
6,31,1906,0.3551199784418393
6,31,1913,0.3633095166524677
6,31,1945,0.6153837357114387
6,34,113,0.7072819868630447
6,34,260,0.013282726873480866
6,34,282,0.5849439110905499
6,34,353,0.1765522523591746
6,34,484,0.9646959835114625
6,34,1030,0.006560547364561353
6,34,1673,0.03780731160023654
6,34,1927,0.16174337308793874
6,34,1949,0.4421476210843769
6,34,2008,0.22515848503203217
