head,relation,tail,confidence_score
1,23,263,0.10784555181566921
1,28,264,0.2040883342911091
1,31,222,0.36811427633199245
1,31,452,0.6456229647264866
1,31,576,0.646608105519525
1,31,646,0.24434228169553676
1,31,1002,0.4475275702596941
1,31,1126,0.2635798921818132
1,31,1144,0.45767999343239474
1,31,1247,0.6541061215554278
1,31,1452,0.38603836576088446
1,31,1560,0.504255260925485
1,31,1663,0.641901321730564
1,31,1721,0.38603836576088446
1,31,1808,0.6575267493090332
1,31,1810,0.5977889062200695
1,31,1877,0.6242508825219605
1,31,1906,0.6541061215554278
1,31,1913,0.6541061215554278
1,31,1945,0.584462140492023
1,34,247,0.7328079249103796
1,34,260,0.611444052212462
1,34,484,0.8063651041239088
1,34,789,0.5165421558164355
1,34,1030,0.9835536217606655
1,34,1927,0.6920887721314616
2,0,1600,0.1120050351640533
2,3,121,0.6105957365295679
2,3,513,0.2818323618750513
2,3,539,0.6237035820813835
2,3,594,0.7713105109049613
2,3,1494,0.7049229674629888
2,3,1879,0.7091645458774595
2,12,518,0.5822729387297156
2,35,917,0.09419040582327669
2,35,1673,0.13428016309553129
2,35,1901,0.11569931313794708
2,36,596,0.04238841912267739
2,37,200,0.0220288427332184
2,37,461,0.018060914539036205
2,37,485,0.04881919929945543
2,37,1734,0.040336042470514186
3,23,263,0.11400268177215883
3,27,1370,0.022193032865391458
3,31,46,0.6652710505431957
3,31,65,0.7008729442027201
3,31,452,0.6758613140683578
3,31,1002,0.46493172427003804
3,31,1144,0.47549462277317134
3,31,1247,0.6830856798839723
3,31,1452,0.40538543633527624
3,31,1663,0.6724133212927237
3,31,1721,0.40538543633527624
3,31,1808,0.6871630681662698
3,31,1810,0.6269326546807871
3,31,1877,0.6535861861368798
3,31,1906,0.6830856798839723
3,31,1913,0.6830856798839723
3,31,1945,0.6111156719481159
3,34,353,0.7366663930164464
3,34,484,0.8228935774293298
3,34,789,0.5353966559943081
3,34,977,0.5198533234819254
3,34,1030,0.9889718961223763
3,34,1331,0.41633144514681336
3,34,1830,0.42954875078674437
3,34,1927,0.7191801439400158
3,34,1949,0.5338915797827217
3,34,1969,0.4455846536956462
4,23,263,0.10967900829160167
4,27,1370,0.02082478176394932
4,31,46,0.6459239799688039
4,31,65,0.680349177681088
4,31,222,0.3746818816189147
4,31,452,0.6565689735380237
4,31,576,0.657909859617437
4,31,646,0.2466135785239307
4,31,1002,0.4535205100840106
4,31,1126,0.2665900446049859
4,31,1144,0.4643296937854035
4,31,1247,0.6632734039350902
4,31,1452,0.3927427961579509
4,31,1560,0.5105492159921189
4,31,1663,0.652518950277755
4,31,1721,0.3927427961579509
4,31,1810,0.607093013709876
4,31,1877,0.6355252715978437
4,31,1906,0.6632734039350902
4,31,1913,0.6632734039350902
4,31,1945,0.5926716471006759
4,34,484,0.8124127739922831
4,34,789,0.5235202364337903
4,34,1030,0.9857975535670306
4,34,1142,0.41031114030046795
4,34,1927,0.7026516706345949
5,15,624,0.024272774539583503
5,23,263,0.1116766548997072
5,27,1370,0.021372082204526174
5,28,1518,0.0647456421202419
5,31,65,0.6903921407656733
5,31,222,0.3828366581835098
5,31,452,0.6656267958295706
5,31,576,0.6692389787373779
5,31,646,0.24959636592507456
5,31,1002,0.458856689379635
5,31,1126,0.2694086418739567
5,31,1247,0.6734531921298197
5,31,1452,0.3998850669074789
5,31,1495,0.32041704293571954
5,31,1663,0.6620693429658211
5,31,1721,0.3998850669074789
5,31,1810,0.6186957830501053
5,31,1877,0.6437895082505541
5,31,1906,0.6734531921298197
5,31,1913,0.6734531921298197
5,34,353,0.7295514872889473
5,34,484,0.8176942232438497
5,34,789,0.5305530470952029
5,34,1331,0.40968174479380454
6,23,263,0.12098076238951372
6,28,264,0.2150890731467039
6,31,46,0.6931560079905864
6,31,65,0.7238869277289768
6,31,222,0.40494759598281477
6,31,576,0.7036915414716909
6,31,646,0.2587089182606792
6,31,1002,0.47954464603344005
6,31,1126,0.2808745861040418
6,31,1144,0.49369236242235176
6,31,1247,0.7077415647319596
6,31,1452,0.42221492488301454
6,31,1560,0.5433325123826724
6,31,1663,0.6985469173302684
6,31,1721,0.42221492488301454
6,31,1808,0.7126125386530936
6,31,1810,0.653038885696303
6,31,1877,0.6795008619981939
6,31,1906,0.7077415647319596
6,31,1913,0.7077415647319596
6,31,1945,0.638425963932901
6,34,113,0.27846646416550364
6,34,260,0.6684453930985415
6,34,282,0.6260022439318064
6,34,353,0.760747612401828
6,34,484,0.8397230659770681
6,34,1030,0.9922830637878663
6,34,1673,0.572640450975563
6,34,1927,0.741947842268013
6,34,1949,0.5553457570533344
6,34,2008,0.5574528637495553
7,23,263,0.1163560736666393
7,28,264,0.21128533508469474
7,31,222,0.3931806365104124
7,31,576,0.6869988780340969
7,31,646,0.2545494349122951
7,31,826,0.4918862709684481
7,31,1002,0.4690638425963933
7,31,1126,0.2751826615220425
7,31,1144,0.4802287715841611
7,31,1247,0.6909394412062502
7,31,1264,0.3636264127192622
7,31,1452,0.41135101113756395
7,31,1560,0.5310456174917221
7,31,1663,0.6797197821744246
7,31,1721,0.41135101113756395
7,31,1806,0.41135101113756395
7,31,1808,0.6963850805899898
7,31,1810,0.636346222258709
7,31,1877,0.6622335330979942
7,31,1906,0.6909394412062502
7,31,1913,0.6909394412062502
7,31,1945,0.6216785704512492
7,34,31,0.30777440275839424
7,34,247,0.7648250006841255
7,34,484,0.829132802451906
7,34,789,0.5434967025148455
7,34,1299,0.6082970746791451
7,34,1927,0.726130859535342
8,1,1004,0.06616862326574173
8,3,85,0.8798401882713516
8,3,86,0.9166735079221738
8,3,764,0.6961387953917303
8,3,875,0.7540431820047615
8,3,897,0.3258079522754016
8,3,984,0.883233451002928
8,3,1105,0.8120570287059081
8,3,1141,0.977204936649974
8,3,1573,0.5904550803163396
8,3,1646,0.9445584653695647
8,3,1995,0.5349040855977889
8,7,435,0.5596694305338916
8,9,130,0.14268122485838602
8,12,518,0.6397394849902854
8,16,1747,0.1297375694387434
8,18,1653,0.16651615904550804
8,19,1692,0.01182168951646006
8,22,1030,0.7105601620009304
8,33,142,0.07574638097583669
9,3,213,0.4789426155488055
9,3,235,0.3389978928933038
9,3,456,0.9618531592917933
9,3,706,0.6938127685192786
9,3,1141,0.9581862463399283
9,3,1158,0.3796349506061352
9,3,1464,0.5848178857783981
9,3,1478,0.8917439728538982
9,3,1558,0.5063076375776483
9,3,1646,0.9153052568207317
9,3,1918,0.7896998057083436
9,7,435,0.5271324193415976
9,7,1665,0.38976000875680705
9,9,1804,0.15915496811974933
9,12,1655,0.2356675697123936
9,22,439,0.16093369455162412
9,22,1254,0.2763319924472539
10,15,624,0.026899816654352406
10,23,263,0.12284158388747503
10,27,1370,0.024409599649727717
10,28,1518,0.0736392742796158
10,31,46,0.7012834195331528
10,31,65,0.7300440576854664
10,31,222,0.4104479654106122
10,31,452,0.7111895575075938
10,31,576,0.712037873190488
10,31,1002,0.485647045945872
10,31,1126,0.284322578879676
10,31,1144,0.49842651123334153
10,31,1247,0.7140355197985935
10,31,1495,0.3474536847002162
10,31,1663,0.7056070930137098
10,31,1721,0.42837205483950413
10,31,1808,0.718988588785814
10,31,1877,0.6879840188271351
10,31,1906,0.7140355197985935
10,31,1913,0.7140355197985935
10,31,1945,0.6446651889554771
10,34,39,0.24997947623347838
10,34,247,0.7859234326683633
10,34,260,0.6755329338040117
10,34,321,0.530197301808828
10,34,353,0.7667131872041157
10,34,484,0.844785595052404
10,34,878,0.41192567660016965
10,34,1030,0.9933229346249624
10,34,1397,0.33935363817967873
10,34,1408,0.5396382344087787
10,34,1927,0.7504583641189831
10,34,1960,0.3143420080453165
11,23,263,0.10573844511944833
11,31,46,0.6275073201433927
11,31,65,0.6613852174151
11,31,452,0.6376597433160933
11,31,576,0.6386996141531894
11,31,1002,0.44065894973045455
11,31,1144,0.4521796240045973
11,31,1247,0.6430780176778043
11,31,1264,0.3301316257559587
11,31,1663,0.6304627425225078
11,31,1806,0.38004542593656787
11,31,1810,0.5890868292148975
11,31,1862,0.23438141367703802
11,31,1877,0.6128670333579619
11,31,1906,0.6430780176778043
11,31,1913,0.6430780176778043
11,31,1945,0.5756232383767069
11,34,353,0.7038557316038639
11,34,789,0.5092630599567632
11,34,917,0.40133541307500753
11,34,1030,0.9808992146238678
11,34,1673,0.5213857647155405
11,34,1927,0.6833319650822319
12,23,263,0.1022630873217853
12,27,1370,0.018772405111786114
12,28,518,0.2798347152669458
12,31,46,0.6055605724762608
12,31,65,0.6400678652546316
12,31,1002,0.4266754234737159
12,31,1144,0.4380045425936568
12,31,1247,0.6223079659579126
12,31,1663,0.6084065347672605
12,31,1721,0.3632159373888296
12,31,1877,0.5923979968803875
12,31,1906,0.6223079659579126
12,31,1913,0.6223079659579126
12,31,1945,0.5575896888596995
12,34,48,0.1900500779903128
12,34,484,0.7818734094080946
12,34,977,0.4759871931696905
12,34,1030,0.97564513039433
12,34,1673,0.5058150671811291
12,34,1927,0.6611389322168404
12,34,1949,0.49169471581424623
13,23,263,0.14963194045371206
13,28,243,0.10716142626494814
13,31,46,0.791889007470651
13,31,65,0.8147661658867635
13,31,102,0.3171058752702296
13,31,576,0.8008647346961114
13,31,1144,0.5827107790821772
13,31,1247,0.8041759023616014
13,31,1452,0.4975781955504474
13,31,1458,0.3003584817885778
13,31,1639,0.3224146895438251
13,31,1663,0.7960484908190351
13,31,1721,0.4975781955504474
13,31,1808,0.8067208494102838
13,31,1877,0.7812987439454889
13,31,1906,0.8041759023616014
13,31,1913,0.8041759023616014
13,34,22,0.39055359439564347
13,34,104,0.4600333853268752
13,34,257,0.8722053471253044
13,34,260,0.7725966669403169
13,34,321,0.6226363462222587
13,34,353,0.8421859179596639
13,34,484,0.905864324220781
13,34,496,0.4759871931696905
13,34,690,0.4312180171305038
13,34,759,0.426483868319514
13,34,789,0.6654352406753687
13,34,819,0.34047560408286126
13,34,917,0.5209479243630791
13,34,924,0.40891552417699695
13,34,1030,0.998084448457981
13,34,1179,0.6801028924828284
13,34,1254,0.7197000793585638
13,34,1273,0.5058150671811291
13,34,1291,0.6365377774129108
13,34,1664,0.25936567878937145
13,34,1673,0.6844265659633856
13,34,1688,0.26689105984730316
13,34,1825,0.5122184823358783
