head,relation,tail,confidence_score
0,1,3,0.33340173959732056
0,1,9,0.32318294048309326
0,1,11,0.09677723795175552
0,1,12,0.3782196044921875
0,1,18,0.400912344455719
0,1,28,0.20035265386104584
0,1,53,0.283803790807724
0,1,57,0.3133069574832916
0,1,59,0.2341921180486679
0,1,77,0.25458595156669617
0,1,83,0.25752440094947815
0,1,89,0.26151931285858154
0,1,98,0.22645257413387299
0,1,100,0.36945435404777527
0,1,102,0.20073162019252777
0,1,111,0.33387845754623413
0,1,119,0.28977736830711365
0,1,122,0.43931397795677185
0,1,132,0.29879066348075867
0,4,34,0.08447808027267456
0,4,101,0.6476278305053711
0,7,7,0.08411216735839844
0,8,7,0.23180724680423737
0,8,37,0.18179063498973846
0,25,8,0.17228542268276215
0,25,46,0.05825011804699898
0,25,109,0.024997957050800323
0,26,16,3.815463060163893e-05
0,26,96,2.7302039597998373e-05
0,27,12,0.04475219175219536
0,27,29,0.15769730508327484
0,27,50,0.2037472277879715
0,27,57,0.007760228123515844
0,27,86,0.19362439215183258
0,27,92,0.17968936264514923
0,27,105,0.14811302721500397
0,27,122,0.02621803805232048
0,27,133,0.0018180106999352574
0,29,14,0.1579047441482544
0,29,29,0.21507622301578522
0,29,40,0.20239202678203583
0,29,50,0.22259759902954102
0,29,86,0.22032910585403442
0,29,87,0.2139233648777008
0,29,89,0.2765195369720459
0,29,92,0.2015024572610855
0,29,98,0.21628567576408386
0,29,102,0.22358979284763336
0,33,51,0.12845945358276367
0,33,62,0.2993118464946747
0,33,106,0.382978230714798
0,33,112,0.388836532831192
0,34,9,0.2275901883840561
0,34,11,0.6593654751777649
0,34,12,0.2902827560901642
0,34,18,0.3028287887573242
0,34,53,0.21900451183319092
0,34,57,0.37121087312698364
0,34,68,0.26489508152008057
0,34,77,0.16180840134620667
0,34,83,0.3385501503944397
0,34,100,0.2734518349170685
0,34,119,0.3904658854007721
0,34,132,0.20783731341362
0,34,133,0.1683395802974701
0,42,7,0.32140791416168213
0,42,13,0.060876328498125076
0,42,14,0.14443732798099518
0,42,28,0.19667477905750275
0,42,29,0.26343509554862976
0,42,37,0.33275383710861206
0,42,40,0.27113306522369385
0,42,47,0.11518365144729614
0,42,50,0.256887286901474
0,42,65,0.07823702692985535
0,42,73,0.03414556756615639
0,42,79,0.027888702228665352
0,42,86,0.26047107577323914
0,42,87,0.20391979813575745
0,42,89,0.15760557353496552
0,42,91,0.09369274973869324
0,42,92,0.2676476538181305
0,42,98,0.20106500387191772
0,42,102,0.20204439759254456
0,42,105,0.2553755044937134
0,42,108,0.13258624076843262
0,42,130,0.050649430602788925
1,25,49,0.0962916687130928
1,26,16,0.00020198842685204
1,26,96,0.00018916917906608433
2,20,73,0.9352203011512756
2,23,62,0.10077566653490067
2,23,106,0.04106495901942253
2,25,36,0.04455612599849701
2,25,46,0.12459306418895721
2,26,96,0.00035711313830688596
2,35,1,0.18690867722034454
2,35,13,0.11105883121490479
2,35,39,0.11173676699399948
2,35,42,0.16501154005527496
2,35,61,0.2288646399974823
2,35,65,0.013713561929762363
2,35,73,0.0061387172900140285
2,35,79,0.21958738565444946
2,35,97,0.2674645185470581
2,35,120,0.8617066144943237
2,35,130,0.02570147067308426
2,40,33,0.2677202820777893
2,40,35,0.148115873336792
2,40,41,0.007804593071341515
2,40,76,0.09638995677232742
2,40,84,0.07901701331138611
2,40,85,0.11986717581748962
2,45,33,0.20458343625068665
2,45,35,0.08270961791276932
2,45,41,0.05385099723935127
2,45,76,0.029248304665088654
2,45,84,0.15101078152656555
2,45,85,0.01524983998388052
2,45,118,0.04463791102170944
2,45,121,0.04515047371387482
3,23,6,0.18255716562271118
3,23,9,0.1409212350845337
3,23,11,0.1623995006084442
3,23,12,0.22920404374599457
3,23,18,0.15477339923381805
3,23,53,0.1573997437953949
3,23,57,0.12804749608039856
3,23,77,0.15022893249988556
3,23,83,0.14432120323181152
3,23,100,0.21745428442955017
3,23,119,0.16008184850215912
3,23,122,0.19941242039203644
3,23,132,0.14782977104187012
3,25,46,0.059665948152542114
3,25,111,0.07829505950212479
3,26,96,0.00019152608001604676
3,27,15,0.2919463515281677
3,27,48,0.13180118799209595
3,27,71,0.2733868956565857
3,27,117,0.12140147387981415
3,27,134,0.22251734137535095
4,1,28,0.21760161221027374
4,1,29,0.22440293431282043
4,1,40,0.2080131471157074
4,1,50,0.23847641050815582
4,1,59,0.19706274569034576
4,1,86,0.21978992223739624
4,1,89,0.22151319682598114
4,1,91,0.10750570893287659
4,1,92,0.22026951611042023
4,1,98,0.23228056728839874
4,1,102,0.22723683714866638
4,1,110,0.2276293933391571
4,6,0,0.962500274181366
4,6,7,0.939822793006897
4,6,37,0.9718010425567627
4,6,40,0.8956202864646912
4,6,50,0.8770595788955688
4,6,74,0.925881028175354
4,6,86,0.8814939260482788
4,6,92,0.8986393809318542
4,6,105,0.8801944851875305
4,23,17,0.1099349707365036
4,23,24,0.04394472762942314
4,23,30,0.015680912882089615
4,23,44,0.014850718900561333
4,23,48,0.003864317201077938
4,23,64,0.0027191811241209507
4,23,67,0.03223282843828201
4,23,71,0.017528347671031952
4,23,72,0.034460291266441345
4,23,75,0.08908969163894653
4,23,81,0.019390488043427467
4,23,107,0.05092389136552811
4,23,117,0.007796308025717735
4,23,127,0.044335462152957916
4,23,134,0.06186123937368393
4,25,30,0.08631571382284164
4,25,46,0.0561257004737854
4,25,99,0.11214389652013779
4,25,109,0.1380206197500229
4,25,128,0.030347682535648346
4,26,16,0.0002900679537560791
4,26,96,0.000287283502984792
5,25,36,0.06266545504331589
5,25,90,0.057745859026908875
5,25,126,0.14735381305217743
5,26,16,0.0001405122602591291
5,26,96,0.00014530390035361052
5,41,4,0.1542489379644394
6,20,13,0.10158006101846695
6,23,18,0.054368603974580765
6,23,53,0.08718671649694443
6,23,68,0.08383125811815262
6,23,83,0.0687120109796524
6,23,100,0.12054283171892166
6,23,119,0.08732271939516068
6,25,9,0.023756301030516624
6,25,46,0.07808325439691544
6,25,100,0.09439649432897568
6,25,109,0.037683531641960144
6,25,132,0.010111881420016289
6,26,16,0.00024616121663711965
6,26,96,0.00022688497847411782
7,1,3,0.3036607503890991
7,1,6,0.3827040195465088
7,1,9,0.36061492562294006
7,1,11,0.10250220447778702
7,1,12,0.31769853830337524
7,1,18,0.4305308759212494
7,1,28,0.18371446430683136
7,1,53,0.25215911865234375
7,1,57,0.2918172776699066
7,1,59,0.21601669490337372
7,1,68,0.24596524238586426
7,1,77,0.24400585889816284
7,1,83,0.1735346019268036
7,1,87,0.24612604081630707
7,1,89,0.24802950024604797
7,1,98,0.208828404545784
7,1,100,0.36260488629341125
7,1,110,0.2364078015089035
7,1,122,0.4334862530231476
7,1,133,0.0720924660563469
7,4,34,0.07069074362516403
7,4,101,0.6656201481819153
7,8,0,0.23180724680423737
7,8,37,0.22160407900810242
7,25,8,0.15471555292606354
7,25,46,0.06729355454444885
7,25,109,0.041731126606464386
7,26,96,3.503221887513064e-05
7,27,29,0.16358569264411926
7,27,40,0.162795290350914
7,27,50,0.19892297685146332
7,27,57,0.002367848763242364
7,27,86,0.11059914529323578
7,27,92,0.19958914816379547
7,27,105,0.1451369971036911
7,27,122,0.008146831765770912
7,29,28,0.23125116527080536
7,29,29,0.2081325650215149
7,29,50,0.12192931026220322
7,29,59,0.2346782088279724
7,29,86,0.213035449385643
7,29,89,0.2712334990501404
7,29,92,0.19248442351818085
7,29,102,0.21703298389911652
7,29,105,0.1345757693052292
7,29,110,0.3007373511791229
7,33,2,0.4320584833621979
7,33,51,0.5540693998336792
7,33,62,0.5888336896896362
7,33,106,0.4409085214138031
7,33,112,0.3930017650127411
7,33,113,0.10050854831933975
7,34,3,0.17542704939842224
7,34,6,0.3004269301891327
7,34,11,0.24560531973838806
7,34,18,0.25906217098236084
7,34,53,0.20957115292549133
7,34,57,0.35997632145881653
7,34,68,0.2158280909061432
7,34,77,0.2060539722442627
7,34,100,0.2878139913082123
7,34,111,0.3979088366031647
7,34,119,0.4025251865386963
7,34,122,0.3060157597064972
7,34,133,0.12900444865226746
7,42,0,0.32140791416168213
7,42,14,0.14393718540668488
7,42,37,0.3238249123096466
7,42,39,0.04825481399893761
7,42,40,0.27946630120277405
7,42,47,0.1342107206583023
7,42,50,0.2641361653804779
7,42,59,0.19958703219890594
7,42,69,0.1494291126728058
7,42,79,0.026958651840686798
7,42,86,0.2679687738418579
7,42,87,0.20429104566574097
7,42,89,0.1618121713399887
7,42,91,0.09239669889211655
7,42,92,0.27538982033729553
7,42,98,0.2073317915201187
7,42,108,0.11627581715583801
7,42,110,0.14302711188793182
7,42,130,0.06184988468885422
8,25,46,0.03979935497045517
8,25,109,0.09481873363256454
8,26,96,0.00010245918383589014
8,27,12,0.08320200443267822
8,27,57,0.09047213941812515
8,27,122,0.16152730584144592
8,27,133,0.17523548007011414
8,34,6,0.1460195928812027
8,34,9,0.25810033082962036
8,34,11,0.1670084297657013
8,34,12,0.1110263466835022
8,34,18,0.16802841424942017
8,34,53,0.031179849058389664
8,34,68,0.03415413573384285
8,34,77,0.047002218663692474
8,34,83,0.16855929791927338
8,34,100,0.06018257513642311
8,34,119,0.07990582287311554
8,34,122,0.08416754752397537
8,34,132,0.05216588079929352
8,34,133,0.08544003963470459
9,20,13,0.12829001247882843
9,20,73,0.18831932544708252
9,23,6,0.08420851081609726
9,23,11,0.04518492519855499
9,23,18,0.01587137207388878
9,23,53,0.03544452041387558
9,23,68,0.024487879127264023
9,23,77,0.01844722405076027
9,23,119,0.027850506827235222
9,23,132,0.003830638714134693
9,25,46,0.10428940504789352
9,25,100,0.18400751054286957
9,25,109,0.09271255880594254
9,26,16,0.0002672006085049361
9,26,96,0.0002476276131346822
10,1,14,0.21188776195049286
10,1,40,0.2236335128545761
10,1,50,0.21342043578624725
10,1,86,0.23741506040096283
10,1,87,0.20945267379283905
10,1,89,0.23896802961826324
10,1,102,0.2096405029296875
10,1,105,0.26409712433815
10,6,7,0.010464727878570557
10,6,37,0.028993377462029457
10,6,40,0.007783928420394659
10,6,50,0.0093170665204525
10,6,74,0.013386526145040989
10,6,86,0.0012619097251445055
10,6,92,0.0017805836396291852
10,8,14,0.2032756358385086
10,8,29,0.17252129316329956
10,8,37,0.19805467128753662
10,8,40,0.15566116571426392
10,8,50,0.17473500967025757
10,8,59,0.2023715078830719
10,8,74,0.11754010617733002
10,8,86,0.17299817502498627
10,8,89,0.16817347705364227
10,8,92,0.16549994051456451
10,8,98,0.23070818185806274
10,8,102,0.18323500454425812
10,8,105,0.20326955616474152
10,8,110,0.25562044978141785
10,17,50,0.00028724040021188557
10,17,92,0.023351101204752922
10,17,105,0.03157557547092438
10,18,20,0.6849937438964844
10,18,27,0.19390182197093964
10,18,28,0.6093839406967163
10,18,45,0.22655421495437622
10,18,55,0.650786817073822
10,18,58,0.6382429599761963
10,18,59,0.6072397232055664
