head,relation,tail,confidence_score
0,1,3,0.049095607235142114
0,1,9,0.049095607235142114
0,1,11,0.049095607235142114
0,1,12,0.047474747474747475
0,1,18,0.049095607235142114
0,1,28,0.01812865497076023
0,1,53,0.049095607235142114
0,1,57,0.047474747474747475
0,1,59,0.01812865497076023
0,1,77,0.049095607235142114
0,1,83,0.049095607235142114
0,1,89,0.01812865497076023
0,1,98,0.01812865497076023
0,1,100,0.049095607235142114
0,1,102,0.01812865497076023
0,1,111,0.049095607235142114
0,1,119,0.049095607235142114
0,1,122,0.047474747474747475
0,1,132,0.049095607235142114
0,4,34,0.16944444444444445
0,4,101,0.15816993464052287
0,7,7,0.1968253968253968
0,8,7,0.10044444444444445
0,8,37,0.11111111111111112
0,25,8,0.18222222222222223
0,25,46,0.007264957264957266
0,25,109,0.02424242424242424
0,26,16,0.000162206001622059
0,26,96,0.000162206001622059
0,27,12,0.10555555555555556
0,27,29,0.10044444444444445
0,27,50,0.10044444444444445
0,27,57,0.10555555555555556
0,27,86,0.10044444444444445
0,27,92,0.10044444444444445
0,27,105,0.10044444444444445
0,27,122,0.10555555555555556
0,27,133,0.10555555555555556
0,29,14,0.11717171717171718
0,29,29,0.0873015873015873
0,29,40,0.0873015873015873
0,29,50,0.0873015873015873
0,29,86,0.07670250896057347
0,29,87,0.06797385620915032
0,29,89,0.07670250896057347
0,29,92,0.0873015873015873
0,29,98,0.07670250896057347
0,29,102,0.07670250896057347
0,33,51,0.15816993464052287
0,33,62,0.15816993464052287
0,33,106,0.15816993464052287
0,33,112,0.15816993464052287
0,34,9,0.07999999999999999
0,34,11,0.07999999999999999
0,34,12,0.07670250896057347
0,34,18,0.07999999999999999
0,34,53,0.07999999999999999
0,34,57,0.07670250896057347
0,34,68,0.07999999999999999
0,34,77,0.07999999999999999
0,34,83,0.07999999999999999
0,34,100,0.07999999999999999
0,34,119,0.07999999999999999
0,34,132,0.07999999999999999
0,34,133,0.07670250896057347
0,42,7,0.03563941299790356
0,42,13,0.05847953216374268
0,42,14,0.03563941299790356
0,42,28,0.0345679012345679
0,42,29,0.0345679012345679
0,42,37,0.03790849673202614
0,42,40,0.0345679012345679
0,42,47,0.03675213675213675
0,42,50,0.0345679012345679
0,42,65,0.056410256410256404
0,42,73,0.05847953216374268
0,42,79,0.05444444444444445
0,42,86,0.0345679012345679
0,42,87,0.020970266040688575
0,42,89,0.0345679012345679
0,42,91,0.03675213675213675
0,42,92,0.0345679012345679
0,42,98,0.0345679012345679
0,42,102,0.0345679012345679
0,42,105,0.0345679012345679
0,42,108,0.03675213675213675
0,42,130,0.056410256410256404
1,25,49,0.06296296296296296
1,26,16,0.000162206001622059
1,26,96,0.000162206001622059
2,20,73,0.13111111111111112
2,23,62,0.3185185185185185
2,23,106,0.41587301587301584
2,25,36,0.05444444444444445
2,25,46,0.0075512405609492956
2,26,96,0.000162206001622059
2,35,1,0.11717171717171718
2,35,13,0.11111111111111112
2,35,39,0.11717171717171718
2,35,42,0.11717171717171718
2,35,61,0.11717171717171718
2,35,65,0.11717171717171718
2,35,73,0.11111111111111112
2,35,79,0.11717171717171718
2,35,97,0.11717171717171718
2,35,120,0.11717171717171718
2,35,130,0.11717171717171718
2,40,33,0.13111111111111112
2,40,35,0.16944444444444445
2,40,41,0.16944444444444445
2,40,76,0.13111111111111112
2,40,84,0.16944444444444445
2,40,85,0.16944444444444445
2,45,33,0.16944444444444445
2,45,35,0.14814814814814814
2,45,41,0.14814814814814814
2,45,76,0.16944444444444445
2,45,84,0.14814814814814814
2,45,85,0.14814814814814814
2,45,118,0.16944444444444445
2,45,121,0.13111111111111112
3,23,6,0.10044444444444445
3,23,9,0.11717171717171718
3,23,11,0.07670250896057347
3,23,12,0.12380952380952381
3,23,18,0.09572649572649573
3,23,53,0.09135802469135801
3,23,57,0.14814814814814814
