head,relation,tail,confidence_score
0,1,3,0.2753728
0,1,9,0.2260208
0,1,11,0.25959024
0,1,12,0.33852646
0,1,18,0.19524373
0,1,28,0.31977606
0,1,53,0.24841754
0,1,57,0.30991334
0,1,59,0.30969736
0,1,77,0.24381478
0,1,83,0.19842009
0,1,89,0.3161975
0,1,98,0.29118985
0,1,100,0.2578871
0,1,102,0.2610803
0,1,111,0.277684
0,1,119,0.20808451
0,1,122,0.2844345
0,1,132,0.24364607
0,4,34,0.16912277
0,4,101,0.14615832
0,7,7,0.30027774
0,8,7,0.22909369
0,8,37,0.23274274
0,25,8,0.23037452
0,25,46,0.36954752
0,25,109,0.22164784
0,26,16,0.18621995
0,26,96,0.20818882
0,27,12,0.115467764
0,27,29,0.40254354
0,27,50,0.40431842
0,27,57,0.12546402
0,27,86,0.40690506
0,27,92,0.39988855
0,27,105,0.39709032
0,27,122,0.15476166
0,27,133,0.08998916
0,29,14,0.30687925
0,29,29,0.3152167
0,29,40,0.32965314
0,29,50,0.33532774
0,29,86,0.3564423
0,29,87,0.2773547
0,29,89,0.3019074
0,29,92,0.32362255
0,29,98,0.3067227
0,29,102,0.32936516
0,33,51,0.55450416
0,33,62,0.5504172
0,33,106,0.49927044
0,33,112,0.5207594
0,34,9,0.4342065
0,34,11,0.41184402
0,34,12,0.34883836
0,34,18,0.4184101
0,34,53,0.4345107
0,34,57,0.35325077
0,34,68,0.44319284
0,34,77,0.42116117
0,34,83,0.45859656
0,34,100,0.46587345
0,34,119,0.41731182
0,34,132,0.46628952
0,34,133,0.4689065
0,42,7,0.37023115
0,42,13,0.07153795
0,42,14,0.31810197
0,42,28,0.3214585
0,42,29,0.38219714
0,42,37,0.40643284
0,42,40,0.38514435
0,42,47,0.2561135
0,42,50,0.38269997
0,42,65,0.09167817
0,42,73,0.202545
0,42,79,0.10351945
0,42,86,0.39047077
0,42,87,0.30316672
0,42,89,0.29560295
0,42,91,0.274691
0,42,92,0.3703779
0,42,98,0.32594046
0,42,102,0.3178476
0,42,105,0.36983362
0,42,108,0.31358173
0,42,130,0.17271094
1,25,49,0.3377948
1,26,16,0.2721682
1,26,96,0.28198457
2,20,73,0.22299396
2,23,62,0.35530844
2,23,106,0.33401534
2,25,36,0.2654689
2,25,46,0.08196913
2,26,96,0.14870872
2,35,1,0.3563787
2,35,13,0.43864036
2,35,39,0.3310462
2,35,42,0.39275554
2,35,61,0.40631506
2,35,65,0.33342877
2,35,73,0.44266275
2,35,79,0.3482268
2,35,97,0.41380587
2,35,120,0.36460733
2,35,130,0.3643298
2,40,33,0.43675494
2,40,35,0.49210036
2,40,41,0.5204099
2,40,76,0.5745159
2,40,84,0.5653364
2,40,85,0.4494892
2,45,33,0.4082999
2,45,35,0.35660955
2,45,41,0.38768086
2,45,76,0.41177347
2,45,84,0.44361505
2,45,85,0.34043336
2,45,118,0.37460002
2,45,121,0.4355763
3,23,6,0.35986933
3,23,9,0.3570008
3,23,11,0.34828755
3,23,12,0.4390665
3,23,18,0.33079287
3,23,53,0.3736539
3,23,57,0.37313974
3,23,77,0.33222583
3,23,83,0.34798852
3,23,100,0.35716403
3,23,119,0.35346246
3,23,122,0.3652265
3,23,132,0.33981597
3,25,46,0.23258244
3,25,111,0.4270383
3,26,96,0.076069646
3,27,15,0.26460317
3,27,48,0.2518684
3,27,71,0.21945266
3,27,117,0.32585993
3,27,134,0.2703513
4,1,28,0.3542496
4,1,29,0.4002047
4,1,40,0.3992552
4,1,50,0.39433408
4,1,59,0.3435239
4,1,86,0.38808545
4,1,89,0.34241053
4,1,91,0.26443198
4,1,92,0.38667157
4,1,98,0.34155953
4,1,102,0.3183124
4,1,110,0.34352925
4,6,0,0.39515015
4,6,7,0.39623043
4,6,37,0.39098135
4,6,40,0.44644606
4,6,50,0.43063483
4,6,74,0.31715494
4,6,86,0.42235216
4,6,92,0.4163531
4,6,105,0.41193786
4,23,17,0.33152315
4,23,24,0.35680476
4,23,30,0.3338016
4,23,44,0.34076354
4,23,48,0.33920348
4,23,64,0.3570412
4,23,67,0.29039672
4,23,71,0.30238807
4,23,72,0.32289433
4,23,75,0.35293233
4,23,81,0.36195946
4,23,107,0.35716978
4,23,117,0.33910498
