head,relation,tail,confidence_score
0,1,3,0.51080644
0,1,9,0.52266175
0,1,11,0.5143861
0,1,12,0.51080644
0,1,18,0.45936328
0,1,28,0.52266175
0,1,53,0.45936328
0,1,57,0.4503257
0,1,59,0.52266175
0,1,77,0.5143861
0,1,83,0.4311097
0,1,89,0.52266175
0,1,98,0.5231324
0,1,100,0.49604836
0,1,102,0.52266175
0,1,111,0.43892977
0,1,119,0.4881109
0,1,122,0.45492342
0,1,132,0.51918054
0,4,34,0.52266175
0,4,101,0.51918054
0,7,7,0.5231324
0,8,7,0.5231324
0,8,37,0.52266175
0,25,8,0.42407396
0,25,46,0.46641234
0,25,109,0.46335256
0,26,16,0.51823497
0,26,96,0.5220332
0,27,12,0.51080644
0,27,29,0.52266175
0,27,50,0.52266175
0,27,57,0.4503257
0,27,86,0.52266175
0,27,92,0.52266175
0,27,105,0.52266175
0,27,122,0.45492342
0,27,133,0.599778
0,29,14,0.52266175
0,29,29,0.52266175
0,29,40,0.52266175
0,29,50,0.52266175
0,29,86,0.52266175
0,29,87,0.52266175
0,29,89,0.52266175
0,29,92,0.52266175
0,29,98,0.5231324
0,29,102,0.52266175
0,33,51,0.42213723
0,33,62,0.3322202
0,33,106,0.45248842
0,33,112,0.51866007
0,34,9,0.52266175
0,34,11,0.5143861
0,34,12,0.51080644
0,34,18,0.45936328
0,34,53,0.45936328
0,34,57,0.4503257
0,34,68,0.46335256
0,34,77,0.5143861
0,34,83,0.4311097
0,34,100,0.49604836
0,34,119,0.4881109
0,34,132,0.51918054
0,34,133,0.599778
0,42,7,0.5231324
0,42,13,0.43703848
0,42,14,0.52266175
0,42,28,0.52266175
0,42,29,0.52266175
0,42,37,0.52266175
0,42,40,0.52266175
0,42,47,0.52266175
0,42,50,0.52266175
0,42,65,0.5231324
0,42,73,0.42124116
0,42,79,0.52266175
0,42,86,0.52266175
0,42,87,0.52266175
0,42,89,0.52266175
0,42,91,0.58468854
0,42,92,0.52266175
0,42,98,0.5231324
0,42,102,0.52266175
0,42,105,0.52266175
0,42,108,0.4711714
0,42,130,0.52266175
1,25,49,0.07779217
1,26,16,0.27965477
1,26,96,0.21483228
2,20,73,0.2995904
2,23,62,0.24358432
2,23,106,0.2995904
2,25,36,0.5121414
2,25,46,0.27799594
2,26,96,0.31312996
2,35,1,0.23137796
2,35,13,0.2995904
2,35,39,0.2995904
2,35,42,0.2995904
2,35,61,0.2995904
2,35,65,0.2995904
2,35,73,0.2995904
2,35,79,0.2995904
2,35,97,0.27408653
2,35,120,0.2995904
2,35,130,0.2995904
2,40,33,0.30771142
2,40,35,0.2995904
2,40,41,0.371461
2,40,76,0.23137796
2,40,84,0.371461
2,40,85,0.2995904
2,45,33,0.30771142
2,45,35,0.2995904
2,45,41,0.371461
2,45,76,0.23137796
2,45,84,0.371461
2,45,85,0.2995904
2,45,118,0.2995904
2,45,121,0.2995904
3,23,6,0.35522214
3,23,9,0.37288168
3,23,11,0.29112896
3,23,12,0.37141514
3,23,18,0.29112896
3,23,53,0.29112896
3,23,57,0.42288467
3,23,77,0.36176044
3,23,83,0.29112896
3,23,100,0.29112896
3,23,119,0.33144274
3,23,122,0.31319982
3,23,132,0.29112896
3,25,46,0.36128408
3,25,111,0.43892977
3,26,96,0.45992133
3,27,15,0.51080644
3,27,48,0.4737375
3,27,71,0.51080644
3,27,117,0.66502094
3,27,134,0.5610091
4,1,28,0.7327063
4,1,29,0.5065017
4,1,40,0.58490765
4,1,50,0.54288673
4,1,59,0.553978
4,1,86,0.4771058
4,1,89,0.54288673
4,1,91,0.5499761
4,1,92,0.4771058
4,1,98,0.5434938
4,1,102,0.51621455
4,1,110,0.54288673
4,6,0,0.5499761
4,6,7,0.5231324
4,6,37,0.5472579
4,6,40,0.58490765
4,6,50,0.54288673
4,6,74,0.54335254
4,6,86,0.4771058
4,6,92,0.4771058
4,6,105,0.5472579
4,23,17,0.4771058
4,23,24,0.4771058
