head,relation,tail,confidence_score
0,1,3,0.23867103
0,1,9,0.5549973
0,1,11,0.46620908
0,1,12,0.42711428
0,1,18,0.32767794
0,1,28,0.8413357
0,1,53,0.56397325
0,1,57,0.4919708
0,1,59,0.8077748
0,1,77,0.4575426
0,1,83,0.56397325
0,1,89,0.8413357
0,1,98,0.8413357
0,1,100,0.6037701
0,1,102,0.8413357
0,1,111,0.52480006
0,1,119,0.5549973
0,1,122,0.5841096
0,1,132,0.42711428
0,4,34,0.8266459
0,4,101,0.7222521
0,7,7,0.8413357
0,8,7,0.8413357
0,8,37,0.8413357
0,25,8,0.27914962
0,25,46,0.4676707
0,25,109,0.42798603
0,26,16,0.6261901
0,26,96,0.68694675
0,27,12,0.42711428
0,27,29,0.8413357
0,27,50,0.8413357
0,27,57,0.4919708
0,27,86,0.8413357
0,27,92,0.8413357
0,27,105,0.8413357
0,27,122,0.5841096
0,27,133,0.53651655
0,29,14,0.8413357
0,29,29,0.8413357
0,29,40,0.8413357
0,29,50,0.8413357
0,29,86,0.8413357
0,29,87,0.6626278
0,29,89,0.8413357
0,29,92,0.8413357
0,29,98,0.8413357
0,29,102,0.8413357
0,33,51,0.7856059
0,33,62,0.7313128
0,33,106,0.6040378
0,33,112,0.581038
0,34,9,0.5549973
0,34,11,0.46620908
0,34,12,0.42711428
0,34,18,0.32767794
0,34,53,0.56397325
0,34,57,0.4919708
0,34,68,0.5549973
0,34,77,0.4575426
0,34,83,0.56397325
0,34,100,0.6037701
0,34,119,0.5549973
0,34,132,0.42711428
0,34,133,0.53651655
0,42,7,0.8413357
0,42,13,0.5371546
0,42,14,0.8413357
0,42,28,0.8413357
0,42,29,0.8413357
0,42,37,0.8413357
0,42,40,0.8413357
0,42,47,0.83053565
0,42,50,0.8413357
0,42,65,0.68694675
0,42,73,0.62960094
0,42,79,0.7348708
0,42,86,0.8413357
0,42,87,0.6626278
0,42,89,0.8413357
0,42,91,0.7544647
0,42,92,0.8413357
0,42,98,0.8413357
0,42,102,0.8413357
0,42,105,0.8413357
0,42,108,0.83053565
0,42,130,0.8266459
1,25,49,0.3448703
1,26,16,0.0002548915
1,26,96,0.0002548915
2,20,73,0.62960094
2,23,62,0.64014876
2,23,106,0.6040378
2,25,36,0.5714621
2,25,46,0.4676707
2,26,96,0.6320311
2,35,1,0.8107127
2,35,13,0.5371546
2,35,39,0.64014876
2,35,42,0.8222211
2,35,61,0.54341793
2,35,65,0.71565765
2,35,73,0.62960094
2,35,79,0.64014876
2,35,97,0.8566987
