head,relation,tail,confidence_score
0,1,3,0.060907554
0,1,9,0.05816522
0,1,11,0.0665256
0,1,12,0.06661263
0,1,18,0.028077884
0,1,28,0.051908564
0,1,53,0.023748353
0,1,57,0.023752429
0,1,59,0.083547615
0,1,77,0.07730843
0,1,83,0.057592757
0,1,89,0.046854258
0,1,98,0.08702101
0,1,100,0.024398267
0,1,102,0.06597691
0,1,111,0.07352325
0,1,119,0.022341527
0,1,122,0.04314071
0,1,132,0.08248625
0,4,34,0.07612634
0,4,101,0.06764625
0,7,7,0.17391373
0,8,7,0.15656681
0,8,37,0.15571338
0,25,8,0.04567194
0,25,46,0.030980833
0,25,109,0.05556979
0,26,16,0.01875357
0,26,96,0.03238014
0,27,12,0.058511473
0,27,29,0.14389455
0,27,50,0.19652352
0,27,57,0.07117251
0,27,86,0.062769935
0,27,92,0.13255697
0,27,105,0.13124909
0,27,122,0.046671096
0,27,133,0.1664025
0,29,14,0.036307845
0,29,29,0.08010161
0,29,40,0.08488524
0,29,50,0.05649491
0,29,86,0.019897932
0,29,87,0.012380172
0,29,89,0.03524371
0,29,92,0.007194884
0,29,98,0.0753571
0,29,102,0.006749535
0,33,51,0.059371
0,33,62,0.09653795
0,33,106,0.088330396
0,33,112,0.08810976
0,34,9,0.07580822
0,34,11,0.13447662
0,34,12,0.0054047867
0,34,18,0.037783775
0,34,53,0.05920762
0,34,57,0.022854306
0,34,68,0.0629191
0,34,77,0.048649356
0,34,83,0.058275428
0,34,100,0.077629924
0,34,119,0.05389485
0,34,132,0.09222714
0,34,133,0.1743441
0,42,7,0.023309903
0,42,13,0.06802018
0,42,14,0.032333165
0,42,28,0.14034294
0,42,29,0.08538424
0,42,37,0.04036989
0,42,40,0.03742477
0,42,47,0.059384376
0,42,50,0.041662976
0,42,65,0.12850268
0,42,73,0.11850916
0,42,79,0.07181845
0,42,86,0.015202015
0,42,87,0.09994362
0,42,89,0.020017374
0,42,91,0.07541104
0,42,92,0.049060307
0,42,98,0.032168422
0,42,102,0.056366604
0,42,105,0.027537849
0,42,108,0.08558217
0,42,130,0.10763744
1,25,49,0.12665616
1,26,16,0.124549896
1,26,96,0.091996595
2,20,73,0.17330965
2,23,62,0.09885262
2,23,106,0.13518193
2,25,36,0.07383958
2,25,46,0.041120052
2,26,96,0.015817452
2,35,1,0.07752508
2,35,13,0.057364725
2,35,39,0.18138815
2,35,42,0.2098543
2,35,61,0.21089308
2,35,65,0.26944774
2,35,73,0.078636855
2,35,79,0.09092783
2,35,97,0.1741232
2,35,120,0.20756157
2,35,130,0.16570988
2,40,33,0.13844484
2,40,35,0.09149706
2,40,41,0.054226853
2,40,76,0.19248246
2,40,84,0.20897824
2,40,85,0.045827206
2,45,33,0.21410489
2,45,35,0.20454127
2,45,41,0.07679728
2,45,76,0.4515412
2,45,84,0.12172679
2,45,85,0.17638311
2,45,118,0.07479517
2,45,121,0.08161081
3,23,6,0.16363478
3,23,9,0.11749673
3,23,11,0.17780022
3,23,12,0.048120867
3,23,18,0.17551024
3,23,53,0.11306687
3,23,57,0.12674966
3,23,77,0.19999893
3,23,83,0.1697671
3,23,100,0.16888162
3,23,119,0.17419928
3,23,122,0.07264076
3,23,132,0.15814145
3,25,46,0.034465503
3,25,111,0.018801294
