head,relation,tail,confidence_score
0,1,3,0.3750225
0,1,9,0.30134952
0,1,11,0.3538098
0,1,12,0.44869995
0,1,18,0.30411527
0,1,28,0.19846183
0,1,53,0.34344652
0,1,57,0.49213216
0,1,59,0.19555436
0,1,77,0.36958
0,1,83,0.32726318
0,1,89,0.21842597
0,1,98,0.19876613
0,1,100,0.3589495
0,1,102,0.18594441
0,1,111,0.38227576
0,1,119,0.327977
0,1,122,0.4344318
0,1,132,0.34184897
0,4,34,0.3947131
0,4,101,0.3637563
0,7,7,0.7230012
0,8,7,0.4050815
0,8,37,0.4186932
0,25,8,0.10585829
0,25,46,0.5992504
0,25,109,0.3988297
0,26,16,0.00010348643
0,26,96,0.00014647582
0,27,12,0.15731488
0,27,29,0.46683607
0,27,50,0.4592673
0,27,57,0.21297552
0,27,86,0.45736358
0,27,92,0.4553648
0,27,105,0.46601915
0,27,122,0.2140891
0,27,133,0.10636335
0,29,14,0.5131339
0,29,29,0.56934553
0,29,40,0.5803846
0,29,50,0.5725079
0,29,86,0.55961376
0,29,87,0.46969706
0,29,89,0.47875777
0,29,92,0.5827005
0,29,98,0.50191504
0,29,102,0.5152941
0,33,51,0.68985665
0,33,62,0.6833691
0,33,106,0.6727538
0,33,112,0.66340345
0,34,9,0.5887898
0,34,11,0.63061816
0,34,12,0.57191545
0,34,18,0.58433515
0,34,53,0.6149569
0,34,57,0.57306284
0,34,68,0.5983929
0,34,77,0.6154608
0,34,83,0.589238
0,34,100,0.61011547
0,34,119,0.605865
0,34,132,0.59129053
0,34,133,0.5634952
0,42,7,0.6102315
0,42,13,0.25877512
0,42,14,0.54788
0,42,28,0.54634356
0,42,29,0.5731491
0,42,37,0.61667055
0,42,40,0.5804588
0,42,47,0.50316584
0,42,50,0.5708519
0,42,65,0.22278886
0,42,73,0.35084516
0,42,79,0.31697696
0,42,86,0.57379484
0,42,87,0.5285089
0,42,89,0.5366336
0,42,91,0.51606363
0,42,92,0.58221966
0,42,98,0.54191047
0,42,102,0.5426429
0,42,105,0.56777626
0,42,108,0.55380714
0,42,130,0.22829825
1,25,49,0.5757419
1,26,16,0.00014676331
1,26,96,0.000110482135
2,20,73,0.61936986
2,23,62,0.7122613
2,23,106,0.696878
2,25,36,0.5515974
2,25,46,0.4200266
2,26,96,4.9520084e-05
2,35,1,0.9286391
2,35,13,0.69632995
2,35,39,0.7325187
2,35,42,0.86009467
2,35,61,0.83730423
2,35,65,0.970012
2,35,73,0.7548021
2,35,79,0.77962476
2,35,97,0.9120684
2,35,120,0.85987
2,35,130,0.7098986
2,40,33,0.7811089
2,40,35,0.59933275
2,40,41,0.6626372
2,40,76,0.7756399
2,40,84,0.6359737
2,40,85,0.6646373
2,45,33,0.78156257
2,45,35,0.7138151
2,45,41,0.70030916
2,45,76,0.77083033
2,45,84,0.7263711
2,45,85,0.68688536
2,45,118,0.7045857
2,45,121,0.6698319
3,23,6,0.7681393
3,23,9,0.7554089
3,23,11,0.7736156
3,23,12,0.76042396
3,23,18,0.7383291
3,23,53,0.7648836
3,23,57,0.7705118
3,23,77,0.73657286
3,23,83,0.77002937
3,23,100,0.7781807
3,23,119,0.75628155
3,23,122,0.769788
3,23,132,0.76354903
3,25,46,0.2717175
3,25,111,0.84517837
3,26,96,0.00025937313
3,27,15,0.34270993
3,27,48,0.36778936
3,27,71,0.36417714
3,27,117,0.3458864
3,27,134,0.37095731
4,1,28,0.49553174
4,1,29,0.5165115
4,1,40,0.5261592
4,1,50,0.5151044
4,1,59,0.48737597
4,1,86,0.51866263
4,1,89,0.4839654
4,1,91,0.45966655
4,1,92,0.52255243
4,1,98,0.49471086
4,1,102,0.4972038
4,1,110,0.4936173
4,6,0,0.6981332
4,6,7,0.7030165
4,6,37,0.7013025
4,6,40,0.6780064
4,6,50,0.6620663
4,6,74,0.71394175
4,6,86,0.654495
4,6,92,0.6757372
4,6,105,0.6480293
4,23,17,0.8071718
4,23,24,0.8279032
4,23,30,0.8252027
4,23,44,0.82077295
4,23,48,0.7675457
4,23,64,0.7640023
4,23,67,0.75897765
4,23,71,0.77294207
4,23,72,0.8217211
4,23,75,0.8216468
4,23,81,0.8268811
4,23,107,0.66827935
4,23,117,0.76939005
4,23,127,0.831088
4,23,134,0.7663586
4,25,30,0.86200035
4,25,46,0.35225925
4,25,99,0.8573629
4,25,109,0.6030979
4,25,128,0.8248999
4,26,16,7.461509e-05
4,26,96,0.00011255305
5,25,36,0.655058
5,25,90,0.73429966
5,25,126,0.71829575
5,26,16,0.00039400044
5,26,96,0.00039907594
5,41,4,0.23265712
6,20,13,0.6110669
6,23,18,0.76126623
6,23,53,0.7779263
6,23,68,0.7740686
6,23,83,0.77820396
6,23,100,0.78538495
6,23,119,0.77162254
6,25,9,0.87538093
6,25,46,0.3348132
6,25,100,0.8711232
6,25,109,0.4123004
6,25,132,0.8734253
6,26,16,0.00026968034
6,26,96,0.0002571771
7,1,3,0.385192
7,1,6,0.3292563
7,1,9,0.3109085
7,1,11,0.3623982
7,1,12,0.4585517
7,1,18,0.31386626
7,1,28,0.21151046
7,1,53,0.35333386
7,1,57,0.5023361
7,1,59,0.20876934
7,1,68,0.34610754
7,1,77,0.37921903
7,1,83,0.3365066
7,1,87,0.18218492
7,1,89,0.23064733
7,1,98,0.21163693
7,1,100,0.36850086
7,1,110,0.2080738
7,1,122,0.4430955
7,1,133,0.39780498
7,4,34,0.39474374
7,4,101,0.36511344
7,8,0,0.4050815
7,8,37,0.4083709
7,25,8,0.09413387
7,25,46,0.6008463
7,25,109,0.39839244
7,26,96,0.00014648944
7,27,29,0.46166658
7,27,40,0.44543526
7,27,50,0.45399368
7,27,57,0.20117037
7,27,86,0.45166555
7,27,92,0.4507963
7,27,105,0.46049505
7,27,122,0.20424828
7,29,28,0.50536
7,29,29,0.5676845
7,29,50,0.57122904
7,29,59,0.49645978
7,29,86,0.55851877
7,29,89,0.48044974
7,29,92,0.58174247
7,29,102,0.51644903
7,29,105,0.55147266
7,29,110,0.50510746
7,33,2,0.69264287
7,33,51,0.68701
7,33,62,0.68184894
7,33,106,0.670636
7,33,112,0.6633621
7,33,113,0.6380488
7,34,3,0.56188637
7,34,6,0.5853567
7,34,11,0.62371564
7,34,18,0.57605857
7,34,53,0.6078955
7,34,57,0.56773394
7,34,68,0.5910725
7,34,77,0.6092544
7,34,100,0.6030466
7,34,111,0.54810864
7,34,119,0.59844846
7,34,122,0.5745633
7,34,133,0.5581523
7,42,0,0.6102315
7,42,14,0.5496831
7,42,37,0.6155074
7,42,39,0.24127173
7,42,40,0.58062357
7,42,47,0.50410134
7,42,50,0.5707243
7,42,59,0.53754276
7,42,69,0.48514357
7,42,79,0.3156223
7,42,86,0.5730998
7,42,87,0.5287309
7,42,89,0.538091
7,42,91,0.5173964
7,42,92,0.5822759
7,42,98,0.5434531
7,42,108,0.5516974
7,42,110,0.54820657
7,42,130,0.22994474
8,25,46,0.42479816
8,25,109,0.4426621
8,26,96,0.00012313944
8,27,12,0.42796052
8,27,57,0.33165917
8,27,122,0.41667336
8,27,133,0.44235736
8,34,6,0.84825236
8,34,9,0.83906794
8,34,11,0.8598413
8,34,12,0.83719426
8,34,18,0.824117
8,34,53,0.84123576
8,34,68,0.8364591
8,34,77,0.8028561
8,34,83,0.8534977
8,34,100,0.85484207
8,34,119,0.83320546
8,34,122,0.86487657
8,34,132,0.83151317
8,34,133,0.85579765
9,20,13,0.66939336
9,20,73,0.58795315
9,23,6,0.7734953
9,23,11,0.77834344
9,23,18,0.7595777
9,23,53,0.7740038
9,23,68,0.7714561
9,23,77,0.7592287
9,23,119,0.7681321
9,23,132,0.7687925
9,25,46,0.34202585
9,25,100,0.86873424
9,25,109,0.41788772
9,26,16,0.0002577806
9,26,96,0.00024301824
10,1,14,0.47056857
10,1,40,0.45112374
10,1,50,0.431784
10,1,86,0.4555303
10,1,87,0.4814074
10,1,89,0.47469458
10,1,102,0.45699117
10,1,105,0.44124526
10,6,7,0.6238587
10,6,37,0.61515874
10,6,40,0.6354018
10,6,50,0.6114845
10,6,74,0.641743
10,6,86,0.61853606
10,6,92,0.6327398
10,8,14,0.72210616
10,8,29,0.7180278
10,8,37,0.7801004
10,8,40,0.72666925
10,8,50,0.7177962
10,8,59,0.72075677
10,8,74,0.6775272
10,8,86,0.7145697
10,8,89,0.73266757
10,8,92,0.72588736
10,8,98,0.7315703
10,8,102,0.74004626
10,8,105,0.7170547
10,8,110,0.73548126
10,17,50,0.17949547
10,17,92,0.17622882
10,17,105,0.16438016
10,18,20,0.6028876
10,18,27,0.64379287
10,18,28,0.5679356
10,18,45,0.5307715
10,18,55,0.6001577
10,18,58,0.63786536
10,18,59,0.5635117
10,18,89,0.58720034
10,18,98,0.574937
10,18,110,0.58160484
10,18,131,0.5776493
10,22,35,0.73548996
10,23,17,0.7154462
10,23,48,0.7512525
10,23,64,0.79379386
10,23,67,0.7643872
10,23,72,0.72033477
10,23,117,0.7704229
10,23,134,0.76537883
10,25,30,0.79233223
10,25,31,0.79797333
10,25,46,0.1667284
10,25,109,0.6282776
10,25,128,0.7749828
10,26,16,0.00014880691
10,26,96,0.00012324526
10,38,29,0.4787284
10,38,50,0.48691338
10,38,86,0.47850907
10,38,92,0.50143385
10,44,7,0.5549139
10,44,29,0.528975
10,44,40,0.54806614
10,44,74,0.6341349
10,44,86,0.52688575
10,44,92,0.54991645
10,44,105,0.5160548
10,44,124,0.5837222
11,23,100,0.79382503
11,25,46,0.32756707
11,25,100,0.8696638
11,25,109,0.43707642
11,26,16,0.00029900591
11,26,96,0.00028451497
12,6,29,0.40278575
12,6,40,0.4107451
12,6,50,0.40355673
12,6,86,0.4016205
12,6,92,0.41204262
12,6,105,0.38625303
12,23,6,0.762178
12,23,9,0.75443107
12,23,18,0.7442588
12,23,68,0.76547194
12,23,77,0.75824094
12,23,83,0.76644677
12,23,100,0.7792303
12,23,119,0.75759244
12,23,132,0.76282364
12,25,109,0.5031037
12,26,96,0.00025038136
12,27,48,0.2686564
12,27,67,0.26185662
12,27,71,0.2722743
12,27,93,0.25518963
12,27,134,0.26596075
13,1,73,0.21365948
13,1,87,0.08289454
13,1,125,0.2182195
13,4,16,0.28236583
13,4,34,0.35135785
13,4,51,0.093930036
13,4,60,0.008667094
13,4,62,0.06906889
13,4,63,0.2671027
13,4,96,0.27336788
13,4,101,0.37092957
13,4,106,0.06080324
13,4,112,0.06256403
13,4,113,0.004571056
13,25,1,0.4120295
13,25,49,0.5679943
13,26,16,5.7562833e-05
13,26,96,7.1942086e-05
13,29,86,0.19947818
13,29,87,0.27274692
14,1,3,0.49414313
14,1,6,0.43206125
14,1,9,0.4126881
14,1,11,0.45138115
14,1,18,0.41689786
14,1,28,0.454908
14,1,40,0.39268437
14,1,50,0.38903147
14,1,57,0.6231295
14,1,68,0.4546877
14,1,83,0.44355172
14,1,86,0.40779603
14,1,87,0.41927922
14,1,89,0.46325353
14,1,91,0.51934147
14,1,92,0.3810684
14,1,98,0.45897675
14,1,100,0.47654092
14,1,105,0.40618232
14,1,119,0.438422
14,1,122,0.5734518
14,1,132,0.45968798
14,25,49,0.37071842
14,25,91,0.73704207
14,25,108,0.5336073
14,26,16,7.265945e-05
14,26,96,0.000106042506
14,39,3,0.60702217
14,39,6,0.5843315
14,39,9,0.57863206
14,39,11,0.5812685
14,39,12,0.64283913
14,39,18,0.5656633
14,39,28,0.6714892
14,39,29,0.6025964
14,39,40,0.62492836
14,39,50,0.6291028
14,39,53,0.5936807
14,39,57,0.64292145
14,39,59,0.6761759
14,39,77,0.5644762
14,39,86,0.6095259
14,39,87,0.6870107
14,39,89,0.6806378
14,39,91,0.65707934
14,39,92,0.61908484
14,39,98,0.6691227
14,39,100,0.6207325
14,39,102,0.6886492
14,39,105,0.62151307
14,39,110,0.6739231
14,39,111,0.5810545
14,39,119,0.5783514
14,39,122,0.6436214
14,39,132,0.59402883
14,40,15,0.6845395
14,40,22,0.6572652
14,40,48,0.68554664
14,40,67,0.6908524
14,40,71,0.71498644
14,40,93,0.6980838
14,40,134,0.6822489
14,42,7,0.5496831
14,42,28,0.5680108
14,42,29,0.5694563
14,42,47,0.51032186
14,42,50,0.57123166
14,42,59,0.5580962
14,42,69,0.4848079
14,42,74,0.58315927
14,42,87,0.55997735
14,42,89,0.5632078
14,42,91,0.5798054
14,42,98,0.5615056
14,42,102,0.5646636
14,42,105,0.5714674
14,42,108,0.55768824
14,42,110,0.5663272
15,1,14,0.52135426
15,1,28,0.5289172
15,1,29,0.5204723
15,1,40,0.52928114
15,1,50,0.51361144
15,1,59,0.5180506
15,1,87,0.52864003
15,1,91,0.5469759
15,1,92,0.52426285
15,1,98,0.52672195
15,1,102,0.51736265
15,1,110,0.526283
15,4,133,0.5398231
15,6,0,0.64223915
15,6,7,0.6503801
15,6,29,0.61000866
15,6,37,0.64213413
15,6,92,0.6363824
15,6,105,0.61105794
15,8,0,0.6969463
15,8,7,0.70859593
15,8,14,0.710368
15,8,28,0.7197274
15,8,29,0.65896505
15,8,37,0.6813704
15,8,40,0.66802764
15,8,50,0.65559757
15,8,59,0.70781535
15,8,74,0.5572942
15,8,86,0.6700771
15,8,89,0.7395513
15,8,92,0.666344
15,8,98,0.7179082
15,8,102,0.7121244
15,8,105,0.6710321
15,8,110,0.72311205
15,18,20,0.6288605
15,18,26,0.62495047
15,18,28,0.6427831
15,18,55,0.6248386
15,18,59,0.63647205
15,18,87,0.6641546
15,18,89,0.67080903
15,18,110,0.656017
15,18,131,0.61058146
15,22,35,0.7260297
15,23,30,0.7912694
15,23,64,0.804572
15,23,67,0.8024249
15,23,71,0.80271244
15,23,72,0.7824476
15,23,117,0.80769587
15,23,134,0.8056029
15,25,31,0.8135858
15,25,46,0.22596978
15,25,109,0.5682964
15,25,128,0.7700751
15,26,16,1.2621176e-05
15,26,96,1.1454151e-05
16,25,46,0.5928368
16,25,96,0.79094964
16,26,96,0.00035406268
17,1,28,0.48797834
17,1,40,0.5144729
17,1,50,0.5021187
