head,relation,tail,confidence_score
0,1,3,0.24854146
0,1,9,0.17287895
0,1,11,0.21452661
0,1,12,0.2502668
0,1,18,0.13343588
0,1,28,0.1672029
0,1,53,0.052882515
0,1,57,0.018353552
0,1,59,0.15248019
0,1,77,0.16293739
0,1,83,0.063419074
0,1,89,0.16317476
0,1,98,0.30214608
0,1,100,0.06188579
0,1,102,0.17718081
0,1,111,0.13328205
0,1,119,0.1283725
0,1,122,0.24969387
0,1,132,0.112929516
0,4,34,0.26671657
0,4,101,0.26003665
0,7,7,0.100683525
0,8,7,0.12798926
0,8,37,0.12214731
0,25,8,0.047175374
0,25,46,0.22310404
0,25,109,0.3284599
0,26,16,0.33424452
0,26,96,0.5538589
0,27,12,0.24592613
0,27,29,0.37541845
0,27,50,0.36738843
0,27,57,0.22719884
0,27,86,0.36632445
0,27,92,0.37621564
0,27,105,0.36275357
0,27,122,0.22051924
0,27,133,0.28112903
0,29,14,0.1301904
0,29,29,0.26617992
0,29,40,0.2623364
0,29,50,0.2672734
0,29,86,0.26424074
0,29,87,0.1708372
0,29,89,0.13730162
0,29,92,0.28199813
0,29,98,0.17987089
0,29,102,0.14704172
0,33,51,0.10250254
0,33,62,0.060160093
0,33,106,0.05792043
0,33,112,0.15045832
0,34,9,0.013173803
0,34,11,0.025413066
0,34,12,0.19076434
0,34,18,0.12978914
0,34,53,0.11299459
0,34,57,0.3364537
0,34,68,0.019171922
0,34,77,0.11128901
0,34,83,0.1351986
0,34,100,0.03173048
0,34,119,0.049049836
0,34,132,0.016621238
0,34,133,0.14005144
0,42,7,0.60246885
0,42,13,0.32467252
0,42,14,0.2148994
0,42,28,0.13181235
0,42,29,0.40293533
0,42,37,0.6067232
0,42,40,0.40567672
0,42,47,0.12841281
0,42,50,0.4191398
0,42,65,0.16449031
0,42,73,0.25555524
0,42,79,0.13311195
0,42,86,0.40314427
0,42,87,0.12298067
0,42,89,0.117321685
0,42,91,0.058078546
0,42,92,0.41849625
0,42,98,0.16417895
0,42,102,0.15425979
0,42,105,0.41848803
0,42,108,0.15135342
0,42,130,0.016386312
