head,relation,tail,confidence_score
0,1,3,0.13230279699171382
0,1,9,0.29577760485703053
0,1,11,0.49852782719599786
0,1,12,0.10997369574845317
0,1,18,0.004175965893542244
0,1,28,0.26324325061086934
0,1,53,0.4011316677463321
0,1,57,0.22133435561929415
0,1,59,0.2478589684269744
0,1,77,0.31907819406945637
0,1,83,0.36916263988568876
0,1,89,0.25080147021814664
0,1,98,0.36344117842813206
0,1,100,0.1933354975712201
0,1,102,0.483541448466075
0,1,111,0.08743958668375279
0,1,119,0.30144898659454594
0,1,122,0.30332358398289355
0,1,132,0.05603523306396746
0,4,34,0.14226264337764366
0,4,101,0.05984951198570432
0,7,7,0.03600619102848246
0,8,7,0.32944102537688247
0,8,37,0.3661251230511143
0,25,8,0.13598270152004155
0,25,46,0.0815662202298717
0,25,109,0.2555490499981411
0,26,16,0.1509268630452536
0,26,96,0.26486711141148184
0,27,12,0.2872805658771175
0,27,29,0.10728883191486577
0,27,50,0.3323638347668668
0,27,57,0.319781177530299
0,27,86,0.47855382862599183
0,27,92,0.3673932493940662
0,27,105,0.42585429267164454
0,27,122,0.035698715712593976
0,27,133,0.1199654141983017
0,29,14,0.20270520360204775
0,29,29,0.2509652087743312
0,29,40,0.21769584154207927
0,29,50,0.3542431564320915
0,29,86,0.16891736940103463
0,29,87,0.19279626201987737
0,29,89,0.043909631007157446
0,29,92,0.3080467319551692
0,29,98,0.015600498514894368
0,29,102,0.23953449974454522
0,33,51,0.42170614137457624
0,33,62,0.19224075279472902
0,33,106,0.3750271483206421
0,33,112,0.08977260569379941
0,34,9,0.22606096059192882
0,34,11,0.4270064534074474
0,34,12,0.19742528206957333
0,34,18,0.10551589689081575
0,34,53,0.051362948129848485
0,34,57,0.03832114556407318
0,34,68,0.40843838939308996
0,34,77,0.17840682241496292
0,34,83,0.14431931267600834
0,34,100,0.11368722605063158
0,34,119,0.2682012043525814
0,34,132,0.014181244200982657
0,34,133,0.18212689003657268
0,42,7,0.384450533838914
0,42,13,0.1395801039719538
0,42,14,0.4430146216410525
0,42,28,0.10185229398850842
0,42,29,0.3452103521783186
0,42,37,0.3302249079776703
0,42,40,0.4363998774194487
0,42,47,0.2929934094461664
0,42,50,0.17573558810614048
0,42,65,0.1037658090414631
0,42,73,0.1618592939123618
0,42,79,0.41085254390152337
0,42,86,0.2675268753601812
0,42,87,0.20573400793893976
0,42,89,0.40013697538331877
0,42,91,0.11742614393354434
0,42,92,0.2769885329427969
0,42,98,0.361222518553323
0,42,102,0.18097670280340528
0,42,105,0.4007090991724397
0,42,108,0.17767156173013493
0,42,130,0.06849981102006925
1,25,49,0.021710714246337026
1,26,16,0.48684406670766583
1,26,96,0.12016751834147793
2,20,73,0.2719982315890956
2,23,62,0.29684675575022884
2,23,106,0.2905187192828059
2,25,36,0.05785114534476937
2,25,46,0.4438819253005944
2,26,96,0.06334635520838006
2,35,1,0.08340138617990583
2,35,13,0.2661249161618329
2,35,39,0.10048051166826688
2,35,42,0.4685443150944564
2,35,61,0.06723233785573868
2,35,65,0.20994235615722845
2,35,73,0.3698415566849808
2,35,79,0.013824063752363891
2,35,97,0.04931392487979769
2,35,120,0.22502152524884989
2,35,130,0.14354745208351505
2,40,33,0.062408173584484694
2,40,35,0.26761001253408834
2,40,41,0.34170974671909127
2,40,76,0.16672511245019228
2,40,84,0.04861382217157262
2,40,85,0.4547659866989149
2,45,33,0.442960564519476
2,45,35,0.09092410122279043
2,45,41,0.24505381072874444
2,45,76,0.27026159241272046
2,45,84,0.2600214890242324
2,45,85,0.21816044412647506
2,45,118,0.2671049776286019
2,45,121,0.2100243444118864
3,23,6,0.0012427485711017372
3,23,9,0.04000993571517181
3,23,11,0.2011717169231645
3,23,12,0.3707819996753943
3,23,18,0.31980232463058816
3,23,53,0.06625999839286062
3,23,57,0.08392811803196998
3,23,77,0.19085378297220068
3,23,83,0.4855842597962433
3,23,100,0.060924116681818186
3,23,119,0.30251401173694203
3,23,122,0.41875506375677485
3,23,132,0.46047887925288256
3,25,46,0.44671021922976123
3,25,111,0.35092212161358244
3,26,96,0.22036447045003743
3,27,15,0.4027189328900264
3,27,48,0.22863959368388698
3,27,71,0.2104460349209969
3,27,117,0.1298143919247166
3,27,134,0.11022049528139377
4,1,28,0.3238610798765567
4,1,29,0.27075899603702164
4,1,40,0.36604625214522585
4,1,50,0.2700717837032848
4,1,59,0.32266488870464066
4,1,86,0.18001178944452556
4,1,89,0.14970112842936
4,1,91,0.3624657649045367
4,1,92,0.3485118164723169
4,1,98,0.11709236064390133
4,1,102,0.22014815756968953
4,1,110,0.19509410640713443
4,6,0,0.12204922520391254
4,6,7,0.3389842697595998
4,6,37,0.3648726818377076
4,6,40,0.30833331843686274
