head,relation,tail,confidence_score
0,1,3,0.96522773781724
0,1,9,0.7129922564022808
0,1,11,0.44731145414414886
0,1,12,0.23159453650529016
0,1,18,0.15886271126865703
0,1,28,0.1508098813805866
0,1,53,0.8692132029929215
0,1,57,0.9224019134211768
0,1,59,0.3002639330121385
0,1,77,0.4108720070966875
0,1,83,0.037586688827926706
0,1,89,0.5929925355432356
0,1,98,0.8399374843432873
0,1,100,0.6633574518725693
0,1,102,0.43641978965161843
0,1,111,0.028397960365635466
0,1,119,0.7942777298877906
0,1,122,0.6080423664726802
0,1,132,0.220062105837443
0,4,34,0.40792405799193965
0,4,101,0.3977728160422763
0,7,7,0.49222404221738747
0,8,7,0.05630229599119441
0,8,37,0.15741410279358126
0,25,8,0.7470005835124077
0,25,46,0.6559216627664776
0,25,109,0.8822261350862648
0,26,16,0.07356029321581292
0,26,96,0.9056628318457118
0,27,12,0.5493142770412333
0,27,29,0.4149056894403813
0,27,50,0.8138889035014176
0,27,57,0.05643944768958631
0,27,86,0.9705418861904379
0,27,92,0.4412004907817645
0,27,105,0.6030360925507015
0,27,122,0.34798812263955303
0,27,133,0.44751325234565753
0,29,14,0.7246116392237039
0,29,29,0.5535358142810476
0,29,40,0.8345730905161037
0,29,50,0.050750249718098606
0,29,86,0.021449412107165444
0,29,87,0.7904757580121362
0,29,89,0.35310107918567857
0,29,92,0.881553188633776
0,29,98,0.17582997300448033
0,29,102,0.19267058993351915
0,33,51,0.07595418850914382
0,33,62,0.0408371398275067
0,33,106,0.8856202998817876
0,33,112,0.9335584491744585
0,34,9,0.31038508245698915
0,34,11,0.6737708374492603
0,34,12,0.84093756312761
0,34,18,0.7873158229448374
0,34,53,0.5226423522139779
0,34,57,0.19431127302305595
0,34,68,0.3169146628684698
0,34,77,0.04775653474943953
0,34,83,0.4811605453033956
0,34,100,0.01768008177342284
0,34,119,0.03397582718664649
0,34,132,0.7856739909431714
0,34,133,0.560052589707778
0,42,7,0.43623617280778515
0,42,13,0.7895347246728175
0,42,14,0.26386324012853635
0,42,28,0.6816553719634112
0,42,29,0.2490659354850555
0,42,37,0.05822046043718565
0,42,40,0.36448549104611894
0,42,47,0.36008238660835756
0,42,50,0.6951295353069259
0,42,65,0.28257609559322827
0,42,73,0.12389322442485651
0,42,79,0.638951212395015
0,42,86,0.4126541379258839
0,42,87,0.9346908071325459
0,42,89,0.22492790541462382
0,42,91,0.17981136168752487
0,42,92,0.6924424953043078
0,42,98,0.7465134333709322
0,42,102,0.2110596757677785
0,42,105,0.9986335256139174
0,42,108,0.48443226382956184
0,42,130,0.06472956694546705
1,25,49,0.5885254104550921
1,26,16,0.6617924784163385
1,26,96,0.6704927901083229
2,20,73,0.852020313396713
2,23,62,0.4003869034930987
2,23,106,0.219011454220286
2,25,36,0.4062028413472143
2,25,46,0.3715602373149848
2,26,96,0.13431757596191773
2,35,1,0.8400625971122653
2,35,13,0.45088708154413615
2,35,39,0.8637514261148419
2,35,42,0.6030288374388584
2,35,61,0.024854655296318695
2,35,65,0.29589027951143576
2,35,73,0.4783337873705412
2,35,79,0.9893880957434491
2,35,97,0.07517127862142714
2,35,120,0.016444700970458026
2,35,130,0.06634842252112338
2,40,33,0.2793670788110152
2,40,35,0.7016898946732583
2,40,41,0.6710227440487492
2,40,76,0.6135128680477513
2,40,84,0.24208099994746268
2,40,85,0.9536611832367183
2,45,33,0.7671234861949142
2,45,35,0.5206556568788877
2,45,41,0.7764434020494053
2,45,76,0.14765220928307154
2,45,84,0.9641371225143707
2,45,85,0.5549081110130395
2,45,118,0.4941679966646513
2,45,121,0.9107513753395312
3,23,6,0.2192855315462705
3,23,9,0.2637888837845821
3,23,11,0.6927675605743668
3,23,12,0.6248452883332409
3,23,18,0.5779950915216354
3,23,53,0.1570918246343549
3,23,57,0.008190654979917
3,23,77,0.894373625693932
3,23,83,0.22013272492721148
3,23,100,0.1506439521709544
3,23,119,0.4128224204972081
3,23,122,0.21987566913846301
3,23,132,0.1355286433494729
3,25,46,0.847563948740412
3,25,111,0.9422989800478636
3,26,96,0.535473699586618
3,27,15,0.25262017794908076
3,27,48,0.7828450944942733
3,27,71,0.7185467157856229
3,27,117,0.47111624905902294
3,27,134,0.1397392541518051
4,1,28,0.32827525803912416
4,1,29,0.034078244796779344
4,1,40,0.12761509503838953
4,1,50,0.8502369597833622
4,1,59,0.2940090268631935
4,1,86,0.17683986835176946
4,1,89,0.21877524548489646
4,1,91,0.07411765202744491
4,1,92,0.9258587332741015
4,1,98,0.8630354850790649
4,1,102,0.8152932646085893
4,1,110,0.8578303466151356
4,6,0,0.48733549824372313
4,6,7,0.41610945761576423
4,6,37,0.4780424483767084
4,6,40,0.6898623911386531
4,6,50,0.46137879945340143
4,6,74,0.9397692554041861
4,6,86,0.6856141857711141
4,6,92,0.19947038698268227
4,6,105,0.37852597445062564
4,23,17,0.363284456468119
4,23,24,0.28805562267788076
4,23,30,0.3094275637603091
4,23,44,0.35983207377449533
4,23,48,0.20019118375484402
4,23,64,0.2664601672354642
4,23,67,0.8023701885874781
4,23,71,0.17644095214755795
4,23,72,0.13711056555293544
4,23,75,0.6425808265959504
4,23,81,0.017942952874730578
4,23,107,0.5093071450423269
4,23,117,0.4881894170360346
4,23,127,0.4174560695743832
4,23,134,0.7961198691565496
4,25,30,0.2824871795943965
4,25,46,0.986124718045516
4,25,99,0.4846680908684925
4,25,109,0.028049035925317267
4,25,128,0.01305404225261697
4,26,16,0.1508996049512883
4,26,96,0.09948274204755891
5,25,36,0.5779166959934164
5,25,90,0.5596394721168384
5,25,126,0.8905094580220904
5,26,16,0.7108120477030938
5,26,96,0.8376085277145042
5,41,4,0.36811430721868066
6,20,13,0.691603236657027
6,23,18,0.6377219403643583
6,23,53,0.06759084984954133
6,23,68,0.7736669849019756
6,23,83,0.9510084699526563
6,23,100,0.9284002078227255
6,23,119,0.6929744361300064
6,25,9,0.3435238989420214
6,25,46,0.07771407116274243
6,25,100,0.9771906587543037
6,25,109,0.974804944726037
6,25,132,0.3150633242040314
6,26,16,0.7942551055245365
6,26,96,0.2552590998709482
7,1,3,0.5395694214686549
7,1,6,0.748111150300655
7,1,9,0.7418717667304415
7,1,11,0.17383904626685764
7,1,12,0.21606154559180613
7,1,18,0.2179342717401247
7,1,28,0.026794363001268584
7,1,53,0.13430945859625343
7,1,57,0.5308010551937807
7,1,59,0.48306459635231336
7,1,68,0.9288173259269789
7,1,77,0.9378878058876738
7,1,83,0.6555275792665984
7,1,87,0.5467093179412988
7,1,89,0.8720686909185532
7,1,98,0.6894599074421163
7,1,100,0.7475549347714776
7,1,110,0.013052283889875227
7,1,122,0.5025635413900357
7,1,133,0.9315395843587404
7,4,34,0.4490110212315983
7,4,101,0.013235057799059424
7,8,0,0.6476640665754595
7,8,37,0.32497538071356624
7,25,8,0.0844725234118705
7,25,46,0.883061405117628
7,25,109,0.21177212852012528
7,26,96,0.2581287049036425
7,27,29,0.8389011659480137
7,27,40,0.9997360586662417
7,27,50,0.9040074610350822
7,27,57,0.8750898000179282
7,27,86,0.5441457700449603
7,27,92,0.6689637213831721
7,27,105,0.5229549143117583
7,27,122,0.42643432299313166
7,29,28,0.9885838257598932
7,29,29,0.9389257916358992
7,29,50,0.7871295724255805
7,29,59,0.5134420024072228
7,29,86,0.027067222662892187
7,29,89,0.9687407695228135
7,29,92,0.8054679198795729
7,29,102,0.6965217157052194
7,29,105,0.8122152075591934
7,29,110,0.7882762124569977
7,33,2,0.6130587784430026
7,33,51,0.9159397172247172
7,33,62,0.37951463731956836
7,33,106,0.5718810727393399
7,33,112,0.3042059780090707
7,33,113,0.7436082285142516
7,34,3,0.21966053575173872
7,34,6,0.5229600682108947
7,34,11,0.8668420296505244
7,34,18,0.5947367899247025
7,34,53,0.43072511307526373
7,34,57,0.713837346427971
7,34,68,0.9294230985567243
7,34,77,0.43407066098708136
7,34,100,0.4040146538470769
7,34,111,0.3152672199976465
7,34,119,0.4553066276724277
7,34,122,0.8043992787010114
7,34,133,0.008478189038274131
7,42,0,0.3845968171713702
7,42,14,0.6459523442057867
7,42,37,0.5931921002222674
7,42,39,0.7275979977221395
7,42,40,0.4964219033638746
7,42,47,0.930595741639504
7,42,50,0.2842480120781956
7,42,59,0.11964905030176365
7,42,69,0.26526456664783804
7,42,79,0.5942338936921621
7,42,86,0.360763949435962
7,42,87,0.04370252798595764
7,42,89,0.8514113655235478
7,42,91,0.8120581624271829
7,42,92,0.4010109249878354
7,42,98,0.8527543730598421
7,42,108,0.6881959211194195
7,42,110,0.6134614291411593
7,42,130,0.8842855950238948
8,25,46,0.9949630439280054
8,25,109,0.06305152244622703
8,26,96,0.38051571430177733
8,27,12,0.9900481785567058
8,27,57,0.6177613351213277
8,27,122,0.5991714127626404
8,27,133,0.6196632118711386
8,34,6,0.4895108094087808
8,34,9,0.38470339022594
8,34,11,0.6324954124239702
8,34,12,0.4998450368513371
8,34,18,0.09717861200746947
8,34,53,0.7415249316809263
8,34,68,0.7038259561024096
8,34,77,0.46237919564287167
8,34,83,0.20801315211577975
8,34,100,0.11099203961365633
8,34,119,0.637203493752912
8,34,122,0.45125207543892065
8,34,132,0.9009192363110041
8,34,133,0.9742851440559034
9,20,13,0.3969423432893586
9,20,73,0.12108393320739008
9,23,6,0.09926442338129338
9,23,11,0.7458148705827938
9,23,18,0.5280486975558116
9,23,53,0.6923512131382142
9,23,68,0.5142598286267788
9,23,77,0.20146356672726018
9,23,119,0.09362019667833488
9,23,132,0.6193099248575547
9,25,46,0.7766008512932268
9,25,100,0.4806804673059605
9,25,109,0.6495013884694871
9,26,16,0.9796681127062612
9,26,96,0.19104784370764694
10,1,14,0.9606915005949321
10,1,40,0.07700935206453685
10,1,50,0.5268451901024166
10,1,86,0.9732106456954841
10,1,87,0.9831811334462496
10,1,89,0.8048416055684703
10,1,102,0.9082949677694755
10,1,105,0.7620882070292391
10,6,7,0.694642305383518
10,6,37,0.18423836589383724
10,6,40,0.260707361252538
10,6,50,0.10949131273705914
10,6,74,0.8266222232920557
10,6,86,0.23948227031064984
10,6,92,0.05521669755195402
10,8,14,0.7747201049394267
10,8,29,0.790055895813905
10,8,37,0.8318998524054111
10,8,40,0.9642125495092517
10,8,50,0.8172237103844954
10,8,59,0.6722680585350376
10,8,74,0.3317318469565109
10,8,86,0.30037165748207884
10,8,89,0.5897463444506312
10,8,92,0.11511817735939522
10,8,98,0.45708621782575143
10,8,102,0.6834777781763774
10,8,105,0.8548411156187548
10,8,110,0.46360561669040956
10,17,50,0.06135226214567646
10,17,92,0.8495487807716993
10,17,105,0.688804416503109
10,18,20,0.2615404660065802
10,18,27,0.23683818919816846
10,18,28,0.8098260666491905
10,18,45,0.8137659163360714
