head,relation,tail,confidence_score
0,1,3,0.722468984530556
0,1,9,0.7822024812375555
0,1,11,0.784499923418594
0,1,12,0.784499923418594
0,1,18,0.7636697809771787
0,1,28,0.962628273855108
0,1,53,0.7676520140909787
0,1,57,0.7676520140909787
0,1,59,0.9637004135395926
0,1,77,0.7527952213202634
0,1,83,0.7822024812375555
0,1,89,0.9637004135395926
0,1,98,0.9614029713585541
0,1,100,0.8399448613876551
0,1,102,0.962628273855108
0,1,111,0.722468984530556
0,1,119,0.7710215959565018
0,1,122,0.7822024812375555
0,1,132,0.7822024812375555
0,4,34,0.283504365140144
0,4,101,0.29728901822637466
0,7,7,0.3162812069229591
0,8,7,0.6405268800735181
0,8,37,0.6322560882217797
0,25,8,0.23770868433144432
0,25,46,0.7406953591667943
0,25,109,0.6366978097717874
0,26,16,0.6967376321029254
0,26,96,0.6979629345994792
0,27,12,0.4999234185939654
0,27,29,0.8142135089600245
0,27,50,0.8171236023893399
0,27,57,0.4885893705008424
0,27,86,0.818502067697963
0,27,92,0.8171236023893399
0,27,105,0.8226374636238322
0,27,122,0.4964006739163731
0,27,133,0.5179966304181345
0,29,14,0.5829376627354879
0,29,29,0.7099096339408791
0,29,40,0.7114412620615714
0,29,50,0.713126052994333
0,29,86,0.7146576811150253
0,29,87,0.6619696737632103
0,29,89,0.6321029254097105
0,29,92,0.713126052994333
0,29,98,0.6276612038597028
0,29,102,0.6288865063562566
0,33,51,0.10614182876397611
0,33,62,0.1335579721243682
0,33,106,0.12865676213815286
0,33,112,0.09281666411395313
0,34,9,0.3979169857558585
0,34,11,0.4022055444937969
0,34,12,0.4022055444937969
0,34,18,0.37249195895236636
0,34,53,0.37953744830755093
0,34,57,0.37953744830755093
0,34,68,0.3979169857558585
0,34,77,0.35595037524888956
0,34,83,0.3979169857558585
0,34,100,0.4555062030938888
0,34,119,0.3891867054679124
0,34,132,0.3979169857558585
0,34,133,0.420278756317966
0,42,7,0.8160514627048553
0,42,13,0.5523051003216419
0,42,14,0.833205697656609
0,42,28,0.8730280287946087
0,42,29,0.9309235717567774
0,42,37,0.8099249502220861
0,42,40,0.9318425486291928
0,42,47,0.4351355490886813
0,42,50,0.9333741767498851
0,42,65,0.4777148108439271
0,42,73,0.5228978404043498
0,42,79,0.46867820493184253
0,42,86,0.9342931536223005
0,42,87,0.9035074283963853
0,42,89,0.8751723081635778
