head,relation,tail,confidence_score
0,0,15,0.007171905133873224
0,0,20,0.0032125934958457947
0,1,4521,0.002734969137236476
0,1,18583,0.0006854291423223913
0,1,18864,0.0016354193212464452
0,1,20627,0.0015100013697519898
0,1,21500,0.002800857648253441
0,10,3,0.0007695270469412208
0,10,5,0.0002157339040422812
1,3,0,1.2087202776456252e-05
2,1,3761,0.002084140432998538
2,3,0,9.514483849670796e-07
3,1,4521,0.00218768953345716
3,1,16759,0.002849534386768937
3,3,11889,3.921345523849595e-06
4,3,1,1.8747641661320813e-05
5,1,16759,0.0028931587003171444
5,3,0,7.609637123096036e-06
5,10,0,0.0002157339040422812
6,1,2901,3.5209009183745366e-06
6,3,1,2.272898746014107e-05
7,1,38706,0.0019198728259652853
7,3,0,5.095986580272438e-06
8,1,4527,0.001358432462438941
8,3,0,6.848055363661842e-06
9,1,4547,0.0012327904114499688
9,3,20,8.070844160101842e-06
10,8,12,0.005431696772575378
11,1,666,0.0006143199279904366
11,1,28675,0.0011748851975426078
11,3,615,3.2418495266028913e-06
12,1,273,0.002691179746761918
12,1,2093,0.0024387279991060495
12,1,2096,0.0026120690163224936
12,1,7960,0.0016826962819322944
12,1,15082,0.003950403071939945
12,2,18226,5.2908773795934394e-05
12,2,18716,5.268386757961707e-07
12,3,6,7.871251000324264e-06
12,8,10,0.005431696772575378
13,1,39055,0.00245511531829834
14,1,24234,0.0002425927814329043
14,3,0,2.3548931494588032e-05
15,1,4537,0.0025717569515109062
15,1,39836,0.0018080370500683784
15,3,0,1.6575466361246072e-05
16,3,12,6.980625585129019e-06
17,1,14994,0.0003713148762471974
17,2,26,5.388069985201582e-05
17,2,20656,3.250616282457486e-05
18,1,6897,0.0023595395032316446
18,1,39836,6.957908772164956e-05
18,1,40176,0.0009751868201419711
18,3,615,8.604228241892997e-06
19,1,31769,0.00041153866914100945
19,1,39001,0.000803097733296454
19,3,46,1.573386361997109e-05
20,1,4547,0.0029306821525096893
20,1,18583,0.0009923522593453526
20,3,0,2.748528913798509e-06
21,1,4529,0.002564696129411459
21,1,4532,0.0021098528522998095
21,1,4539,0.0014360052300617099
21,1,4549,3.431411460042e-05
21,3,30,2.6799550596479094e-06
22,0,24,0.0020584326703101397
22,0,12435,0.0030321499798446894
22,1,39054,0.004473033361136913
22,3,24,7.552837814728264e-06
23,1,3562,0.0011045907158404589
23,1,3566,0.0016942135989665985
24,1,673,0.002023833803832531
24,1,37707,0.0003000035649165511
25,1,8420,0.0020392462611198425
25,1,15889,0.0014432723401114345
25,1,20155,0.001420752378180623
25,1,20307,0.001885275705717504
26,1,1817,0.00016329534992109984
26,1,15483,0.001451905001886189
26,2,21061,4.5620538003277034e-05
26,2,21065,6.500916060758755e-05
26,2,21076,5.4113341320771724e-05
26,3,16,5.1612873903650325e-06
26,9,22353,0.00017125322483479977
27,1,4532,0.0018002961296588182
27,3,15,5.530980615731096e-06
28,3,0,2.674755160114728e-05
29,1,4532,0.0004065323737449944
29,1,4539,0.0005398066714406013
30,1,4539,0.0023267262149602175
30,3,15,1.2345294635451864e-06
31,1,4552,0.0024981051683425903
31,3,0,2.7485234568302985e-06
32,1,4192,0.0001528538268757984
32,1,9077,0.0007199879037216306
32,3,1,2.0103625502088107e-05
33,1,4544,5.0900038331747055e-05
33,1,31770,0.0019978838972747326
33,3,20,8.542514478904195e-06
34,1,667,7.71448412706377e-06
34,1,32217,0.0007172792102210224
34,3,46,1.7035636119544506e-05
35,1,2215,0.0010534148896113038
35,1,3940,0.0004354911216069013
35,1,8529,0.0008923020213842392
35,1,19485,0.00047811129479669034
35,2,19483,7.5189736890024506e-06
35,2,20645,1.3450534197545494e-06
35,3,17,1.1322069894958986e-06
35,3,32,2.904101847889251e-06
37,1,6980,0.0005929360631853342
37,1,20859,0.0008669765084050596
37,3,34,1.1444203664723318e-05
38,1,667,0.0003440336440689862
38,3,2586,8.28334941616049e-06
39,1,31834,0.0002076349192066118
39,3,166,1.1039925993827637e-05
40,1,7236,0.0044381096959114075
40,1,29074,0.0032695040572434664
40,1,37788,0.004712276626378298
40,1,37868,0.0035223341546952724
40,3,8275,2.03170257009333e-05
42,1,32914,0.00043751648627221584
42,3,40,7.600095159432385e-06
43,1,1875,2.079638397844974e-05
43,1,39059,0.0008464904385618865
43,10,10532,0.0046249739825725555
44,1,30554,0.0033387939911335707
45,3,10223,1.1973949767707381e-05
46,3,47,4.913160410069395e-06
47,10,9544,0.0060731819830834866
48,1,6742,0.6865888237953186
48,1,19931,0.002374235074967146
48,3,47,6.825283890066203e-06
49,1,22029,0.0011011414462700486
50,1,31468,0.0022656868677586317
50,3,47,5.779376351711107e-06
50,9,3340,0.00010318477143300697
51,3,47,1.4617842680308968e-05
51,10,13006,0.004187444690614939
51,10,13413,0.003273898269981146
52,1,30913,0.0018447713227942586
52,1,31937,0.002768181962892413
52,3,47,1.5158575479290448e-05
53,1,6705,0.0025897412560880184
53,3,47,3.814834144577617e-06
54,0,10234,0.011046006344258785
54,0,10781,0.01843387819826603
54,1,19769,0.0007961344090290368
55,1,434,0.0021486282348632812
55,1,29882,0.0019031761912629008
55,3,47,1.1789312566179433e-06
56,1,206,0.0007306559127755463
56,1,18359,0.0009365862933918834
56,3,47,5.966606295260135e-06
57,1,24026,0.0002025538997258991
57,3,47,8.79576964507578e-06
57,10,47,0.0005526972818188369
57,10,9531,0.005414646118879318
58,1,30467,0.001845737686380744
58,3,47,1.7511001715320162e-05
59,1,15650,0.003187940688803792
59,1,20493,0.003279174445196986
60,1,4750,0.002239792374894023
60,1,38609,0.0012323508271947503
61,1,1972,0.0013093661982566118
61,1,4750,0.002598377875983715
61,3,45,1.2645386959775351e-05
62,1,31550,0.0028656271751970053
62,3,8470,1.481529852753738e-05
63,1,922,0.0013590784510597587
63,1,31438,0.643749475479126
63,1,38608,0.0032918553333729506
64,0,69,0.01762985624372959
64,0,6467,0.0025997785851359367
64,0,6468,0.004556136671453714
64,1,21637,0.0029429623391479254
64,1,31746,0.0019778122659772635
64,1,38641,0.002199695445597172
64,1,40511,0.0022559447679668665
64,1,40512,0.0015510354423895478
64,3,62,8.266555596492253e-06
65,3,64,9.690959814179223e-06
66,0,77,0.001707199844531715
66,1,4692,0.00041142493137158453
66,1,4697,0.00039177268627099693
66,3,68,8.752339454076719e-06
67,1,8891,0.0018229016568511724
67,1,9307,0.0019890409894287586
67,2,21300,5.270226392894983e-05
67,2,21456,4.047348193125799e-05
67,3,17,2.1736580038123066e-06
68,1,4692,0.000896589714102447
68,1,40511,0.0017238673754036427
68,3,64,2.3430811779689975e-06
69,3,64,1.1953463399549946e-05
70,3,64,1.06334136944497e-05
71,1,38624,0.0007953817257657647
71,3,64,1.4986187125032302e-05
72,0,77,0.009709525853395462
72,1,4697,0.0011461585527285933
72,3,62,7.756429113214836e-06
73,0,622,0.02955155074596405
73,1,20497,0.0024020597338676453
74,3,77,1.5093419278855436e-06
75,1,4543,0.0004127442080061883
75,3,0,1.4468853805738036e-05
76,1,8582,0.0013101485092192888
76,1,33044,0.0023614258971065283
76,2,37037,4.203550997772254e-05
76,3,17,6.01097735852818e-06
76,9,22389,0.00014553096843883395
78,3,80,2.018988197960425e-05
79,1,30285,0.00060318224132061
79,3,78,3.2751165690569906e-06
81,1,1805,0.0016904427902773023
81,1,31570,0.0009943328332155943
82,1,6949,0.0031340131536126137
82,1,21634,0.002260600682348013
82,1,32161,0.0027191254775971174
82,3,820,1.2901315130875446e-05
83,1,6949,0.0009712332976050675
83,1,21634,0.003831208450719714
83,1,32162,0.0019925343804061413
