head,relation,tail,confidence_score
0,0,15,0.26588002
0,0,20,0.20302115
0,1,4521,0.23442817
0,1,18583,0.18654783
0,1,18864,0.3457452
0,1,20627,0.33759543
0,1,21500,0.3047357
0,10,3,0.2838249
0,10,5,0.35613847
1,3,0,0.07396633
2,1,3761,0.27875054
2,3,0,0.069305785
3,1,4521,0.3061811
3,1,16759,0.30953792
3,3,11889,0.054377124
4,3,1,0.068548135
5,1,16759,0.30800658
5,3,0,0.09503641
5,10,0,0.35613847
6,1,2901,0.30547532
6,3,1,0.07226611
7,1,38706,0.299203
7,3,0,0.09271333
8,1,4527,0.35221872
8,3,0,0.068706475
9,1,4547,0.38127342
9,3,20,0.105537266
10,8,12,0.2743949
11,1,666,0.34012064
11,1,28675,0.2783647
11,3,615,0.10639622
12,1,273,0.2828193
12,1,2093,0.27905425
12,1,2096,0.28220928
12,1,7960,0.3806398
12,1,15082,0.3107495
12,2,18226,0.12750562
12,2,18716,0.12881456
12,3,6,0.13409416
12,8,10,0.2743949
13,1,39055,0.2786777
14,1,24234,0.29415968
14,3,0,0.07563174
15,1,4537,0.37394726
15,1,39836,0.30371156
15,3,0,0.1296129
16,3,12,0.084549926
17,1,14994,0.26818934
17,2,26,0.12688763
17,2,20656,0.10531934
18,1,6897,0.34254864
18,1,39836,0.30123594
18,1,40176,0.33301327
18,3,615,0.07158667
19,1,31769,0.35093963
19,1,39001,0.28675014
19,3,46,0.15977432
20,1,4547,0.23095053
20,1,18583,0.24659377
20,3,0,0.15684758
21,1,4529,0.42163953
21,1,4532,0.367641
21,1,4539,0.38096097
21,1,4549,0.30823755
21,3,30,0.1126701
22,0,24,0.34757057
22,0,12435,0.31138146
22,1,39054,0.26464668
22,3,24,0.084309995
23,1,3562,0.37370846
23,1,3566,0.31125262
24,1,673,0.2864968
24,1,37707,0.29673055
25,1,8420,0.3035437
25,1,15889,0.31524965
25,1,20155,0.27924207
25,1,20307,0.32708737
26,1,1817,0.31471744
26,1,15483,0.3641107
26,2,21061,0.07831606
26,2,21065,0.09320138
26,2,21076,0.06441082
26,3,16,0.13682874
26,9,22353,0.08098056
27,1,4532,0.27517405
27,3,15,0.074302234
28,3,0,0.026643194
29,1,4532,0.359327
29,1,4539,0.3131546
30,1,4539,0.3052629
