head,relation,tail,confidence_score
0,0,15,0.6348763
0,0,20,0.5872617
0,1,4521,0.7193049
0,1,18583,0.5872617
0,1,18864,0.7206496
0,1,20627,0.71212405
0,1,21500,0.72039676
0,10,3,0.6973814
0,10,5,0.7070083
1,3,0,1.8841225e-06
2,1,3761,0.7227858
2,3,0,4.5982757e-05
3,1,4521,0.68871194
3,1,16759,0.7344247
3,3,11889,7.775487e-06
4,3,1,3.1509713e-05
5,1,16759,0.6973814
5,3,0,0.7070083
5,10,0,0.7070083
6,1,2901,0.72479117
6,3,1,7.089764e-06
7,1,38706,0.7235727
7,3,0,2.8006281e-05
8,1,4527,0.7129142
8,3,0,8.419173e-06
9,1,4547,0.7206883
9,3,20,0.66180295
10,8,12,0.63553584
11,1,666,0.7257772
11,1,28675,0.67414606
11,3,615,1.12641155e-05
12,1,273,0.63741523
12,1,2093,0.60413814
12,1,2096,0.6298652
12,1,7960,0.5666055
12,1,15082,0.71199894
12,2,18226,1.4519594e-05
12,2,18716,2.4246026e-05
12,3,6,2.5433017e-05
12,8,10,0.63553584
13,1,39055,0.70575964
14,1,24234,0.7251865
14,3,0,2.5374107e-05
15,1,4537,0.7237389
15,1,39836,0.69606185
15,3,0,0.6348763
16,3,12,4.4506123e-06
17,1,14994,0.72266454
17,2,26,4.3362174e-06
17,2,20656,5.064637e-06
18,1,6897,0.68963355
18,1,39836,0.65576094
18,1,40176,0.7227794
18,3,615,0.68963355
19,1,31769,0.731658
19,1,39001,0.7250429
19,3,46,4.118587e-05
20,1,4547,0.66180295
20,1,18583,0.61047345
20,3,0,0.5872617
21,1,4529,0.69359165
21,1,4532,0.7154542
21,1,4539,0.7154542
21,1,4549,0.6949158
21,3,30,0.6967042
22,0,24,3.6575406e-05
22,0,12435,0.8271054
22,1,39054,0.73016936
22,3,24,3.6575406e-05
23,1,3562,0.7261597
23,1,3566,0.71964616
24,1,673,0.6499175
24,1,37707,0.7185732
25,1,8420,0.656292
25,1,15889,0.68694013
25,1,20155,0.72499716
25,1,20307,0.7010723
26,1,1817,0.71708727
26,1,15483,0.7245838
26,2,21061,1.8606945e-05
26,2,21065,1.7985512e-05
26,2,21076,2.5950563e-05
26,3,16,1.4500985e-05
26,9,22353,3.0314694e-05
27,1,4532,0.7128124
27,3,15,2.5578533e-05
28,3,0,1.9874804e-05
29,1,4532,0.7251393
29,1,4539,0.7265139
30,1,4539,0.72580063
30,3,15,1.6858576e-07
31,1,4552,0.71938956
31,3,0,5.532087e-06
32,1,4192,0.7082555
32,1,9077,0.7314357
32,3,1,3.3814533e-05
33,1,4544,0.6178214
33,1,31770,0.6629066
33,3,20,1.1009803e-05
34,1,667,0.7182417
34,1,32217,0.72312725
34,3,46,5.916229e-05
35,1,2215,0.6771239
35,1,3940,0.6816767
35,1,8529,0.6588212
35,1,19485,0.72560906
35,2,19483,1.3600192e-05
35,2,20645,2.9576579e-05
35,3,17,4.8469596e-05
35,3,32,3.1346175e-05
37,1,6980,0.74185735
37,1,20859,0.7262562
37,3,34,2.3137507e-05
38,1,667,0.7237173
38,3,2586,2.1800512e-05
39,1,31834,0.7285495
39,3,166,2.263039e-05
40,1,7236,0.7380527
40,1,29074,0.7336059
40,1,37788,0.72973835
40,1,37868,0.72736806
40,3,8275,7.880152e-06
42,1,32914,0.7269944
42,3,40,3.4541485e-05
43,1,1875,0.7029496
43,1,39059,0.68598354
43,10,10532,0.775483
44,1,30554,0.7233115
45,3,10223,2.7392194e-05
46,3,47,8.820849e-06
47,10,9544,0.7333373
48,1,6742,0.66167545
48,1,19931,0.70500326
48,3,47,1.8386812e-05
49,1,22029,0.7333221
50,1,31468,0.73938596
50,3,47,2.0855812e-05
50,9,3340,0.00010524206
51,3,47,5.8557052e-05
51,10,13006,0.71015036
51,10,13413,0.743355
52,1,30913,0.6524503
52,1,31937,0.68352264
52,3,47,1.501861e-06
53,1,6705,0.72889924
53,3,47,1.4287566e-05
54,0,10234,0.5426754
54,0,10781,0.5507897
54,1,19769,0.716596
55,1,434,0.7158074
55,1,29882,0.70383483
55,3,47,2.9974166e-05
56,1,206,0.6522504
56,1,18359,0.7197693
56,3,47,1.6854856e-05
57,1,24026,0.69267505
57,3,47,0.7694717
57,10,47,0.7694717
57,10,9531,0.6589552
58,1,30467,0.72651553
58,3,47,3.4179582e-05
59,1,15650,0.7223327
59,1,20493,0.7308521
60,1,4750,0.71030223
60,1,38609,0.5470399
61,1,1972,0.6741513
61,1,4750,0.6568572
61,3,45,1.583853e-05
62,1,31550,0.707109
62,3,8470,2.8960585e-05
63,1,922,0.62312853
63,1,31438,0.69968194
63,1,38608,0.7166855
64,0,69,0.79464537
64,0,6467,0.678747
64,0,6468,0.67070055
64,1,21637,0.7204385
64,1,31746,0.7212868
64,1,38641,0.71486557
64,1,40511,0.63201576
64,1,40512,0.72341686
64,3,62,2.417401e-05
65,3,64,6.740654e-05
66,0,77,0.76513827
66,1,4692,0.7120943
66,1,4697,0.7250384
66,3,68,0.7120943
67,1,8891,0.6685571
67,1,9307,0.7346848
67,2,21300,1.2858133e-05
67,2,21456,2.396121e-05
67,3,17,1.0094876e-05
68,1,4692,0.7246253
68,1,40511,0.68381554
68,3,64,0.63201576
69,3,64,0.79464537
70,3,64,8.6253185e-06
71,1,38624,0.7321735
71,3,64,3.8353763e-05
72,0,77,0.7471229
72,1,4697,0.7360355
72,3,62,1.1985718e-05
73,0,622,0.7464377
73,1,20497,0.721298
74,3,77,1.6843587e-05
75,1,4543,0.7303115
75,3,0,3.0396543e-05
76,1,8582,0.6919755
76,1,33044,0.72398454
76,2,37037,7.4817394e-06
76,3,17,5.794447e-05
76,9,22389,5.5525088e-05
78,3,80,1.587495e-05
79,1,30285,0.73944503
