head,relation,tail,confidence_score
0,0,15,0.2849804
0,0,20,0.27901095
0,1,4521,0.13928811
0,1,18583,0.2106094
0,1,18864,0.48683587
0,1,20627,0.3143802
0,1,21500,0.105154596
0,10,3,0.4103941
0,10,5,0.21516952
1,3,0,0.050782297
2,1,3761,0.36108878
2,3,0,0.45271316
3,1,4521,0.12476674
3,1,16759,0.4877396
3,3,11889,0.33830875
4,3,1,0.06526576
5,1,16759,0.2650705
5,3,0,0.22154193
5,10,0,0.21516952
6,1,2901,0.17267087
6,3,1,0.07849498
7,1,38706,0.19874606
7,3,0,0.3298141
8,1,4527,0.12862556
8,3,0,0.26114407
9,1,4547,0.23688091
9,3,20,0.20543619
10,8,12,0.20984188
11,1,666,0.5974689
11,1,28675,0.24384484
11,3,615,0.31204322
12,1,273,0.41342393
12,1,2093,0.12458422
12,1,2096,0.23933044
12,1,7960,0.097154535
12,1,15082,0.52157116
12,2,18226,0.11012437
12,2,18716,0.2019464
12,3,6,0.32029316
12,8,10,0.20984188
13,1,39055,0.33331123
14,1,24234,0.23986405
14,3,0,0.12508973
15,1,4537,0.18077075
15,1,39836,0.2952889
15,3,0,0.28753558
16,3,12,0.078491695
17,1,14994,0.074323274
17,2,26,0.09800852
17,2,20656,0.1565721
18,1,6897,0.33136556
18,1,39836,0.27852952
18,1,40176,0.27863836
18,3,615,0.2600509
19,1,31769,0.35479823
19,1,39001,0.28080013
19,3,46,0.21855474
20,1,4547,0.11332212
20,1,18583,0.171887
20,3,0,0.17031644
21,1,4529,0.25146627
21,1,4532,0.26416057
21,1,4539,0.18182953
21,1,4549,0.23973209
21,3,30,0.21135637
22,0,24,0.3473631
22,0,12435,0.2565937
22,1,39054,0.060389277
22,3,24,0.13972412
23,1,3562,0.034098644
23,1,3566,0.07086173
24,1,673,0.13306242
24,1,37707,0.07827923
25,1,8420,0.24105759
25,1,15889,0.29976025
25,1,20155,0.34994236
25,1,20307,0.31211957
26,1,1817,0.5728256
26,1,15483,0.34690863
26,2,21061,0.18699294
26,2,21065,0.044127148
26,2,21076,0.18984124
26,3,16,0.37157965
26,9,22353,0.30873942
27,1,4532,0.066030055
27,3,15,0.16408989
28,3,0,0.16577926
29,1,4532,0.104815476
29,1,4539,0.34843084
