head,relation,tail,confidence_score
0,0,15,0.83546096
0,0,20,0.8466273
0,1,4521,5.398153e-06
0,1,18583,1.0002837e-05
0,1,18864,3.1948617e-05
0,1,20627,2.993201e-06
0,1,21500,2.4754197e-06
0,10,3,0.8174932
0,10,5,0.8353941
1,3,0,3.0783556e-06
2,1,3761,1.1327969e-05
2,3,0,1.752742e-05
3,1,4521,4.39982e-06
3,1,16759,2.092326e-05
3,3,11889,8.4566855e-06
4,3,1,1.460109e-05
5,1,16759,2.0285801e-05
5,3,0,2.9382134e-06
5,10,0,0.8353941
6,1,2901,1.11255395e-05
6,3,1,3.7457514e-06
7,1,38706,4.3847944e-05
7,3,0,6.657725e-06
8,1,4527,3.556054e-05
8,3,0,2.6468615e-05
9,1,4547,1.2026945e-05
9,3,20,1.6492519e-05
10,8,12,0.8346037
11,1,666,1.1074646e-05
11,1,28675,3.8157603e-05
11,3,615,3.5979983e-06
12,1,273,3.2214324e-05
12,1,2093,7.1444965e-06
12,1,2096,1.7724646e-05
12,1,7960,2.5234309e-05
12,1,15082,3.2681357e-05
12,2,18226,3.6713307e-05
12,2,18716,4.7706388e-05
12,3,6,2.510835e-05
12,8,10,0.8346037
13,1,39055,1.2156997e-05
14,1,24234,5.8210344e-06
14,3,0,3.1892225e-05
15,1,4537,2.4083247e-05
15,1,39836,6.591255e-06
15,3,0,3.2563191e-06
16,3,12,6.364812e-06
17,1,14994,1.4126182e-05
17,2,26,3.1129774e-05
17,2,20656,0.00010194984
18,1,6897,3.3897955e-05
18,1,39836,1.5109817e-05
18,1,40176,2.652157e-06
18,3,615,1.1331384e-05
19,1,31769,2.4990259e-05
19,1,39001,4.873731e-05
19,3,46,3.3804888e-06
20,1,4547,1.3636072e-05
20,1,18583,2.542158e-06
20,3,0,1.8427892e-05
21,1,4529,1.0538779e-05
21,1,4532,1.4672316e-05
21,1,4539,2.2765498e-05
21,1,4549,9.315509e-06
21,3,30,9.046251e-06
22,0,24,0.8323736
22,0,12435,0.82848144
22,1,39054,3.271161e-05
22,3,24,3.3989436e-06
23,1,3562,8.708283e-06
23,1,3566,6.4629985e-06
24,1,673,1.6295578e-05
24,1,37707,2.7387958e-05
25,1,8420,4.0224186e-05
25,1,15889,2.1651738e-05
25,1,20155,1.1944291e-05
25,1,20307,6.5875515e-06
26,1,1817,1.0176796e-06
26,1,15483,1.8098246e-05
26,2,21061,1.1619566e-05
26,2,21065,4.0138722e-05
26,2,21076,5.1697403e-05
26,3,16,6.5679806e-06
26,9,22353,2.9700983e-05
27,1,4532,6.781433e-06
27,3,15,1.4111284e-05
28,3,0,6.274156e-06
29,1,4532,4.5388874e-06
29,1,4539,6.479867e-06
30,1,4539,3.7428894e-05
30,3,15,9.381008e-06
31,1,4552,1.9792822e-05
31,3,0,1.0016062e-06
32,1,4192,1.26819705e-05
32,1,9077,2.3103354e-05
32,3,1,2.6009822e-08
33,1,4544,3.4239158e-05
33,1,31770,6.0396065e-05
33,3,20,4.0207387e-06
34,1,667,2.7885513e-05
34,1,32217,1.4230406e-05
34,3,46,1.2922688e-05
35,1,2215,9.059893e-06
35,1,3940,5.9063445e-06
35,1,8529,6.5646905e-06
35,1,19485,3.357014e-05
35,2,19483,8.397027e-05
35,2,20645,1.6961187e-05
35,3,17,1.1821131e-05
35,3,32,9.783156e-06
37,1,6980,2.1000042e-06
37,1,20859,6.6143193e-06
37,3,34,2.3447677e-05
38,1,667,3.2984575e-05
38,3,2586,2.2798602e-05
39,1,31834,1.50680635e-05
39,3,166,2.0319194e-05
40,1,7236,8.33534e-06
40,1,29074,1.1623698e-05
40,1,37788,8.952601e-06
40,1,37868,5.905231e-06
40,3,8275,1.164469e-05
42,1,32914,5.66326e-07
42,3,40,2.9470136e-06
43,1,1875,2.3822959e-06
43,1,39059,9.037075e-06
43,10,10532,0.83938175
44,1,30554,3.5997093e-07
45,3,10223,3.9216366e-06
46,3,47,2.1134168e-05
47,10,9544,0.8398464
48,1,6742,1.7473907e-05
48,1,19931,1.7629782e-05
48,3,47,8.728031e-06
49,1,22029,2.6533517e-06
50,1,31468,1.2248893e-05
50,3,47,1.895378e-05
50,9,3340,0.00015507026
51,3,47,1.27079e-05
51,10,13006,0.7998083
51,10,13413,0.8129673
52,1,30913,1.4902474e-05
52,1,31937,4.803545e-06
52,3,47,3.1746004e-05
53,1,6705,3.762773e-05
53,3,47,2.3664084e-05
54,0,10234,0.8015859
54,0,10781,0.82040954
54,1,19769,1.5600945e-05
55,1,434,8.040447e-06
55,1,29882,8.064802e-06
55,3,47,1.6165457e-05
56,1,206,3.0587784e-05
56,1,18359,2.86502e-05
56,3,47,2.471741e-05
57,1,24026,3.960485e-05
57,3,47,2.352551e-05
57,10,47,0.70153195
57,10,9531,0.80844843
58,1,30467,2.7848859e-05
58,3,47,4.3315664e-05
59,1,15650,1.3967328e-05
59,1,20493,2.0553854e-05
60,1,4750,1.0710937e-05
60,1,38609,7.5986536e-06
61,1,1972,1.952191e-06
61,1,4750,4.7086087e-05
61,3,45,6.177402e-06
62,1,31550,2.8828224e-06
62,3,8470,9.20445e-06
63,1,922,2.138371e-07
63,1,31438,2.7717426e-06
63,1,38608,6.9830035e-06
64,0,69,0.82590693
64,0,6467,0.855071
64,0,6468,0.85675627
64,1,21637,1.1622675e-05
64,1,31746,2.653323e-06
64,1,38641,1.9775591e-06
64,1,40511,1.43266325e-05
64,1,40512,1.1282675e-05
64,3,62,2.2663235e-05
65,3,64,4.7822978e-06
66,0,77,0.835342
66,1,4692,1.1426685e-06
66,1,4697,2.0978636e-05
66,3,68,2.854743e-06
67,1,8891,4.6640278e-05
67,1,9307,1.4682046e-05
67,2,21300,7.850664e-05
67,2,21456,3.9282004e-05
67,3,17,3.4448315e-06
68,1,4692,3.6822316e-06
68,1,40511,3.3892557e-05
68,3,64,1.0784091e-05
69,3,64,1.3080538e-05
70,3,64,2.1118854e-05
71,1,38624,2.081497e-05
71,3,64,3.0193858e-05
72,0,77,0.8337091
72,1,4697,2.4170578e-05
72,3,62,1.5875419e-06
73,0,622,0.85613096
73,1,20497,3.9759225e-06
74,3,77,8.550594e-06
75,1,4543,1.7188968e-05
75,3,0,1.1583916e-06
76,1,8582,4.872751e-06
76,1,33044,2.835473e-06
76,2,37037,5.4550652e-05
76,3,17,2.605568e-05
76,9,22389,4.1594034e-05
78,3,80,1.821851e-05
79,1,30285,1.0213588e-05
79,3,78,7.2005796e-06
81,1,1805,3.8869668e-05
81,1,31570,2.1589609e-05
82,1,6949,1.5205021e-05
82,1,21634,1.8696854e-06
82,1,32161,1.7463364e-05
82,3,820,9.123199e-06
83,1,6949,2.615143e-05
83,1,21634,3.8848582e-05
83,1,32162,2.5324054e-05
83,3,714,2.5897545e-05
84,3,12,2.8023413e-05
85,0,3284,0.86383605
85,1,11276,8.893201e-06
86,3,83,1.832483e-05
87,3,714,1.5506268e-05
88,1,3412,1.6751759e-06
88,3,92,2.6972224e-05
89,1,29728,1.8152137e-05
89,3,87,4.3659365e-06
90,3,92,3.836499e-05
91,1,30706,3.4499117e-06
91,1,32634,1.7160153e-06
91,1,38645,1.8106856e-06
91,3,103,7.884457e-06
92,3,1,4.075764e-05
93,1,25066,1.6629878e-05
93,3,91,1.3273861e-05
94,1,15621,1.1861969e-05
94,1,16588,9.208909e-06
94,3,493,1.6228845e-06
95,1,6623,1.4720955e-05
95,2,25228,7.6454795e-05
95,3,90,1.0616088e-05
96,1,17110,3.0610759e-06
97,1,16635,1.4774778e-05
97,3,94,1.4893243e-05
98,0,3445,0.78268486
98,0,5011,0.8143613
98,0,10255,0.782023
99,1,16539,4.366392e-06
99,3,94,7.6058905e-07
100,3,12,3.814699e-05
101,3,94,1.5720891e-06
101,9,3670,8.776739e-05
102,3,83,2.6434309e-05
103,1,3782,1.514282e-05
103,1,19224,1.3661164e-06
103,1,20075,9.982201e-06
103,3,87,2.5747697e-05
104,1,5752,1.101322e-06
104,1,13138,1.2254792e-05
104,1,16198,1.481311e-05
104,1,18963,2.4679284e-05
104,1,19925,3.842893e-06
104,1,20358,1.1578724e-05
104,1,30361,9.478008e-06
104,1,32924,1.2592781e-05
104,1,38690,2.0554475e-05
104,3,87,9.198518e-06
105,3,100,3.6676236e-05
106,3,2,2.5586328e-06
107,3,106,3.1416843e-05
108,3,104,2.2466711e-05
109,0,3451,0.87310666
110,1,18304,2.4434032e-05
110,3,537,2.055642e-06
111,1,25039,2.9835897e-05
111,3,113,3.3378594e-05
112,1,9100,2.9979751e-06
112,1,15894,2.8101754e-06
112,3,106,1.2720268e-05
114,3,820,3.4857017e-06
114,10,116,0.8370466
115,3,2,2.0342084e-05
116,1,5765,4.087683e-07
116,1,29006,1.23770205e-05
116,10,114,0.8370466
117,0,119,0.8613558
117,3,714,3.2837594e-05
118,3,115,4.5510737e-05
119,1,2286,1.2296778e-05
119,3,634,5.8483474e-06
120,1,1395,1.8174962e-05
120,1,1398,3.0612096e-05
120,3,119,2.428014e-05
121,1,39410,1.586936e-06
121,3,87,1.2193613e-05
122,1,18565,6.232573e-06
122,1,25118,7.9038855e-06
122,1,29012,1.9303447e-05
122,3,87,1.3241746e-05
123,1,20365,5.755283e-06
123,1,39662,3.1937638e-05
123,9,22412,7.5589145e-05
124,3,122,1.3784345e-05
125,1,39410,1.1668344e-05
125,3,820,7.6514525e-06
126,1,9836,1.37767665e-05
126,3,118,5.626902e-06
127,1,5867,1.8200077e-05
127,3,820,2.41487e-06
128,1,5874,1.5331814e-05
128,3,127,1.589688e-05
129,3,127,2.9202198e-05
130,1,6279,4.3784305e-05
130,3,579,3.2601863e-05
131,1,2349,1.4683383e-05
131,1,12990,2.7407918e-05
131,1,13269,1.9791643e-05
131,1,15534,1.7593991e-05
132,1,3429,1.998419e-05
132,1,20815,1.836684e-05
132,3,121,6.6547755e-06
133,1,5187,2.0514315e-05
133,1,20815,1.8973229e-05
133,3,5446,5.5086425e-06
134,3,115,4.5233923e-05
135,3,133,4.6902333e-05
136,3,115,4.4408465e-05
137,1,5765,2.7930933e-05
137,1,29006,2.7852557e-05
138,1,21457,3.1312327e-05
138,1,23807,2.6066734e-06
138,1,31760,1.8008499e-05
138,3,166,2.3924353e-05
139,3,115,1.0756761e-07
140,1,23807,2.1046384e-05
140,1,30581,7.186379e-06
140,3,138,6.841262e-07
141,1,23808,5.593602e-06
141,3,138,1.0211095e-05
142,3,106,2.5420854e-06
143,3,1,2.0030191e-05
144,1,23627,2.0816082e-05
144,1,24204,1.1331677e-05
144,1,24223,8.870829e-06
144,3,152,3.7133104e-06
145,3,152,1.0157689e-05
146,3,152,2.8843851e-05
147,1,9060,1.2160369e-05
147,1,9100,6.617288e-07
147,1,13470,7.416979e-07
147,3,142,1.5122916e-05
148,1,38721,1.1721252e-05
148,1,38722,3.412236e-05
148,3,380,1.0409765e-05
149,1,3583,1.613661e-05
149,1,6010,4.055242e-05
149,3,2,1.4278184e-05
150,3,152,1.3005572e-05
151,1,24226,2.3541905e-05
151,3,152,6.2323734e-06
152,0,4386,0.81813985
152,0,4647,0.82600546
152,1,23625,1.4906178e-05
152,1,24224,2.6188281e-05
152,1,30846,4.836124e-06
152,3,10029,2.4326971e-05
153,1,3876,1.9326755e-05
153,1,15703,1.9906549e-05
153,1,38236,1.1818304e-05
153,1,38287,8.824445e-06
153,1,38464,2.1005257e-05
153,3,2,3.956842e-05
154,1,23477,1.3848481e-05
