head,relation,tail,confidence_score
0,0,15,0.0026550286
0,0,20,0.009289173
0,1,4521,0.0019370401
0,1,18583,0.0009583076
0,1,18864,0.0014352152
0,1,20627,0.0007463295
0,1,21500,0.00036987243
0,10,3,0.0023839863
0,10,5,0.0020261058
1,3,0,0.16343765
2,1,3761,0.00031431124
2,3,0,0.121256106
3,1,4521,0.0009572528
3,1,16759,0.000103595994
3,3,11889,0.051473126
4,3,1,0.053957164
5,1,16759,0.00037361644
5,3,0,0.07856901
5,10,0,0.0020261058
6,1,2901,0.0009691342
6,3,1,0.18186562
7,1,38706,0.00060003414
7,3,0,0.19342463
8,1,4527,0.00031833124
8,3,0,0.009794192
9,1,4547,0.00032478635
9,3,20,0.09121461
10,8,12,0.026223578
11,1,666,0.0012632565
11,1,28675,0.00018246543
11,3,615,0.19355316
12,1,273,0.0023881271
12,1,2093,0.0019478337
12,1,2096,0.0026476365
12,1,7960,0.00148584
12,1,15082,0.0027585945
12,2,18226,0.087594606
12,2,18716,0.12169465
12,3,6,0.13097006
12,8,10,0.026223578
13,1,39055,0.000375298
14,1,24234,0.0024268345
14,3,0,0.004167665
15,1,4537,0.00097334496
15,1,39836,0.00034255895
15,3,0,0.031889487
16,3,12,0.048476234
17,1,14994,0.00016947974
17,2,26,0.15819886
17,2,20656,0.05206701
18,1,6897,0.0003642224
18,1,39836,0.001898751
18,1,40176,0.0007417262
18,3,615,0.06096948
19,1,31769,0.0011617496
19,1,39001,0.00018214402
19,3,46,0.25640205
20,1,4547,0.00065477367
20,1,18583,0.0010205448
20,3,0,0.09036163
21,1,4529,0.0002787911
21,1,4532,0.0006283745
21,1,4539,0.0017236216
21,1,4549,0.0002369487
21,3,30,0.13973807
22,0,24,0.019852968
22,0,12435,0.0014812063
22,1,39054,0.00074654067
22,3,24,0.23033239
23,1,3562,0.0011889592
23,1,3566,9.221517e-06
24,1,673,0.0006298396
24,1,37707,0.0030932382
25,1,8420,0.0003834215
25,1,15889,0.0015150546
25,1,20155,0.00012197822
25,1,20307,0.0019325458
26,1,1817,0.00029814985
26,1,15483,0.00022564485
26,2,21061,0.08153375
26,2,21065,0.059007317
26,2,21076,0.025977833
26,3,16,0.012990694
26,9,22353,0.17429093
27,1,4532,0.00046517726
27,3,15,0.027149118
28,3,0,0.058819693
29,1,4532,2.8212266e-05
29,1,4539,0.0011217385
30,1,4539,0.0026903406
30,3,15,0.11451023
31,1,4552,0.00062638376
31,3,0,0.06138954
32,1,4192,0.00087901915
32,1,9077,0.0010994244
32,3,1,0.1738942
33,1,4544,0.0014149037
33,1,31770,0.00075981906
33,3,20,0.0070520574
34,1,667,6.9496637e-06
34,1,32217,0.0005980022
34,3,46,0.14456657
35,1,2215,0.0010349714
35,1,3940,0.001022502
35,1,8529,0.0017226881
35,1,19485,0.0006561023
35,2,19483,0.22218975
35,2,20645,0.12739393
35,3,17,0.14959498
35,3,32,0.023874192
37,1,6980,0.0010797528
37,1,20859,0.0004806501
37,3,34,0.038633533
38,1,667,0.0010112363
38,3,2586,0.1006774
39,1,31834,0.00067470904
39,3,166,0.02598047
40,1,7236,0.0009871025
40,1,29074,0.0009951638
40,1,37788,0.0004324198
40,1,37868,0.000998936
40,3,8275,0.10196906
42,1,32914,0.0011726994
42,3,40,0.042069502
43,1,1875,0.0005572966
43,1,39059,0.0009813714
43,10,10532,0.0019548123
44,1,30554,0.00063231797
45,3,10223,0.026997896
46,3,47,0.037074175
47,10,9544,0.0016892107
48,1,6742,0.00020699463
48,1,19931,0.0005143148
48,3,47,0.09548453
49,1,22029,0.0019459969
50,1,31468,0.0004884759
50,3,47,0.00072626583
50,9,3340,0.103789516
51,3,47,0.059363283
51,10,13006,0.0017693575
51,10,13413,0.0036900768
52,1,30913,1.3825448e-06
52,1,31937,0.00047539675
52,3,47,0.07198243
53,1,6705,0.00010697872
53,3,47,0.18591458
54,0,10234,0.0075944406
54,0,10781,0.0032148538
54,1,19769,0.0006373326
55,1,434,0.0011347437
55,1,29882,0.00082011643
55,3,47,0.064471066
56,1,206,0.0004812293
56,1,18359,0.00092826295
56,3,47,0.11978233
57,1,24026,0.00074576086
57,3,47,0.06538666
57,10,47,0.002512163
57,10,9531,0.00144399
58,1,30467,0.0007647184
58,3,47,0.0547923
59,1,15650,0.00046840802
59,1,20493,0.0011264745
60,1,4750,0.00026700358
60,1,38609,0.00044378883
61,1,1972,0.00021887175
61,1,4750,0.0005562478
61,3,45,0.045096133
62,1,31550,0.0014365978
62,3,8470,0.23868297
63,1,922,0.001360987
63,1,31438,0.00052920385
63,1,38608,0.0021956484
64,0,69,0.021724736
64,0,6467,0.006253661
64,0,6468,0.0034812675
64,1,21637,0.0017234663
64,1,31746,0.0013709633
64,1,38641,0.0027133105
64,1,40511,0.00016657825
64,1,40512,0.0018211644
64,3,62,0.21315147
65,3,64,0.015138732
66,0,77,0.018092023
66,1,4692,0.000855801
66,1,4697,0.0011132403
66,3,68,0.19177738
67,1,8891,0.00012808485
67,1,9307,0.00016391402
67,2,21300,0.051718257
67,2,21456,0.02721793
67,3,17,0.07226445
68,1,4692,0.0019314424
68,1,40511,0.0013178638
68,3,64,0.04653633
69,3,64,0.11563755
70,3,64,0.13006732
71,1,38624,0.0006740255
71,3,64,0.12240386
72,0,77,0.0018232521
72,1,4697,0.0014846049
72,3,62,0.26219726
73,0,622,0.007377624
73,1,20497,0.0018802244
74,3,77,0.1651222
75,1,4543,0.0010079638
75,3,0,0.05521558
76,1,8582,0.00061755424
76,1,33044,0.00015890528
76,2,37037,0.025673816
76,3,17,0.12992814
76,9,22389,0.27200723
78,3,80,0.062909886
79,1,30285,4.4324683e-05
79,3,78,0.027481876
81,1,1805,0.0010620961
81,1,31570,0.0021178683
82,1,6949,0.00012861911
82,1,21634,0.0005201427
82,1,32161,0.0006598469
82,3,820,0.05234342
83,1,6949,0.00054872315
83,1,21634,0.000658385
83,1,32162,0.00093033264
83,3,714,0.103065334
84,3,12,0.10606162
85,0,3284,0.0010221826
85,1,11276,0.0007844775
86,3,83,0.02691789
87,3,714,0.17293827
88,1,3412,0.00035269253
88,3,92,0.097194776
89,1,29728,0.0022586514
89,3,87,0.12462041
90,3,92,0.068264015
91,1,30706,8.4282336e-05
91,1,32634,0.0013937493
91,1,38645,0.0026581965
91,3,103,0.06547914
92,3,1,0.22521545
93,1,25066,0.0016734737
93,3,91,0.0065294662
94,1,15621,0.0014800357
94,1,16588,0.0011325324
94,3,493,0.036153324
95,1,6623,0.0016627217
95,2,25228,0.0610369
95,3,90,0.019733397
96,1,17110,0.00010908637
97,1,16635,0.00071073225
97,3,94,0.058774088
98,0,3445,0.0032630386
98,0,5011,0.0066231084
98,0,10255,0.015940316
99,1,16539,0.0007711029
99,3,94,0.14667465
100,3,12,0.07554227
101,3,94,0.01190261
101,9,3670,0.32627743
102,3,83,0.14978914
103,1,3782,0.0014338298
103,1,19224,0.0016483711
103,1,20075,0.0016810694
103,3,87,0.1316036
104,1,5752,0.0009265358
104,1,13138,0.0010617471
104,1,16198,0.0010529085
104,1,18963,0.001061151
104,1,19925,0.0009122694
104,1,20358,0.0004219903
104,1,30361,0.0001073747
104,1,32924,0.0012208901
104,1,38690,5.9978665e-05
104,3,87,0.08187962
105,3,100,0.18820104
106,3,2,0.015241699
107,3,106,0.09047583
108,3,104,0.15041384
109,0,3451,0.0055206083
110,1,18304,0.0003787696
110,3,537,0.037066348
111,1,25039,0.000907456
111,3,113,0.08590436
112,1,9100,0.00036484207
112,1,15894,0.0004990784
112,3,106,0.06379147
114,3,820,0.19481665
114,10,116,0.0021941199
115,3,2,0.009586001
116,1,5765,0.0005166191
116,1,29006,0.0005947253
116,10,114,0.0021941199
117,0,119,0.009347044
117,3,714,0.036421616
118,3,115,0.038837418
119,1,2286,0.0033645015
119,3,634,0.047566097
120,1,1395,0.0003929609
120,1,1398,0.00020635399
120,3,119,0.011937843
121,1,39410,0.0019290327
121,3,87,0.10226892
122,1,18565,0.0020292483
122,1,25118,0.00056085025
122,1,29012,0.0006926225
122,3,87,0.004459189
123,1,20365,0.0013809445
123,1,39662,0.00048252824
123,9,22412,0.25759175
124,3,122,0.0109577
125,1,39410,0.00081387087
125,3,820,0.18474822
126,1,9836,0.0011774477
126,3,118,0.06576495
127,1,5867,0.0013086809
127,3,820,0.24619141
128,1,5874,0.0004905925
128,3,127,0.008764871
