head,relation,tail,confidence_score
0,0,15,0.8177494614167209
0,0,20,0.5816091327504448
0,1,4521,0.7096041377681863
0,1,18583,0.6197705281755446
0,1,18864,0.9080969798798375
0,1,20627,0.7483297626892549
0,1,21500,0.7738024231098586
0,10,3,0.9778626569232776
0,10,5,0.965647242218164
1,3,0,0.8928770516572176
2,1,3761,0.7509926914883558
2,3,0,0.7889360303167984
3,1,4521,0.8151943621107033
3,1,16759,0.6352870123104366
3,3,11889,0.6781698786399064
4,3,1,0.9539005397667737
5,1,16759,0.7696779361390849
5,3,0,0.7132686914821356
5,10,0,0.9876647117156687
6,1,2901,0.6373217815874722
6,3,1,0.979399153618667
7,1,38706,0.8264524155392817
7,3,0,0.9013440455788162
8,1,4527,0.8606139652973779
8,3,0,0.7796518908336142
9,1,4547,0.7373277066853432
9,3,20,0.9312110811017795
10,8,12,0.6309799420583402
11,1,666,0.6319076339977703
11,1,28675,0.7188199117565388
11,3,615,0.9607680381315056
12,1,273,0.5942735539172614
12,1,2093,0.9714049989328977
12,1,2096,0.7313371111712341
12,1,7960,0.5540713679620595
12,1,15082,0.8867028708091347
12,2,18226,0.9189371954976857
12,2,18716,0.722826729255737
12,3,6,0.8896346447071264
12,8,10,0.6921025126810778
13,1,39055,0.7088913441223749
14,1,24234,0.8070146845126718
14,3,0,0.9533185524805932
15,1,4537,0.550253521594668
15,1,39836,0.5913260022926594
15,3,0,0.7496289147181006
16,3,12,0.5031455520755388
17,1,14994,0.673935098156248
17,2,26,0.9455978415692966
17,2,20656,0.8509756756253857
18,1,6897,0.735264249713708
18,1,39836,0.7606039093003336
18,1,40176,0.5546038617164086
18,3,615,0.8134761916242129
19,1,31769,0.8657618230427946
19,1,39001,0.8468467134834267
19,3,46,0.6042024157766241
20,1,4547,0.5858911148050726
20,1,18583,0.5683829534148821
20,3,0,0.7269768672393604
21,1,4529,0.6894449606866119
21,1,4532,0.6418806250150682
21,1,4539,0.7821639631844723
21,1,4549,0.8857568500229615
21,3,30,0.8412996144002145
22,0,24,0.8785705360159705
22,0,12435,0.5162060951813466
22,1,39054,0.9778412752224868
22,3,24,0.9638834040940083
23,1,3562,0.9220927722310733
23,1,3566,0.8858773403975184
24,1,673,0.5888406955353696
24,1,37707,0.9199452317697754
25,1,8420,0.9219957376764969
25,1,15889,0.931164642886519
25,1,20155,0.9621646399468582
25,1,20307,0.7501480861146936
26,1,1817,0.793638009509082
26,1,15483,0.8098033913733704
26,2,21061,0.5362320030700758
26,2,21065,0.7191356909264655
26,2,21076,0.5350984947220518
26,3,16,0.7635823573605719
26,9,22353,0.5963384198936054
27,1,4532,0.755108397076711
27,3,15,0.5269610003295546
28,3,0,0.7721037602172034
29,1,4532,0.9872550324026252
29,1,4539,0.5391951371426886
30,1,4539,0.6539499075483439
30,3,15,0.5296923932152178
31,1,4552,0.9739091444879698
31,3,0,0.5879072982074174
32,1,4192,0.8131652899826
32,1,9077,0.72341235411931
32,3,1,0.771724853896435
33,1,4544,0.9223397420013373
33,1,31770,0.582965628084154
33,3,20,0.5842028931281145
34,1,667,0.7289241326374649
34,1,32217,0.6643394467833676
34,3,46,0.6792218134848769
35,1,2215,0.6078389470155658
35,1,3940,0.9390940523935007
35,1,8529,0.9320334675883518
35,1,19485,0.7779717446118601
35,2,19483,0.5212731070607508
35,2,20645,0.5845435482654374
35,3,17,0.8495266442939651
35,3,32,0.7841390931904704
37,1,6980,0.7640339740999967
37,1,20859,0.5772887967355673
37,3,34,0.6627275741694862
38,1,667,0.8671070120306167
38,3,2586,0.8926867142801227
39,1,31834,0.6678319094852733
39,3,166,0.7701508935346164
40,1,7236,0.5964562348496492
40,1,29074,0.9052037000370872
40,1,37788,0.913313443169242
40,1,37868,0.7309899363472141
40,3,8275,0.6005001755684811
