head,relation,tail,confidence_score
0,0,15,0.8516125580729811
0,0,20,0.7167477953330142
0,1,4521,0.6025897175916567
0,1,18583,0.3620845274300467
0,1,18864,0.913252586743496
0,1,20627,0.30186660322096404
0,1,21500,0.6490428438412429
0,10,3,0.8855448933990108
0,10,5,0.1597265201890592
1,3,0,0.7645039855277498
2,1,3761,0.6375703749409131
2,3,0,0.6175501064555832
3,1,4521,0.39923201130248265
3,1,16759,0.7577844576222774
3,3,11889,0.6832668598235413
4,3,1,0.9932920369093502
5,1,16759,0.2130900307624357
5,3,0,0.0800235716385913
5,10,0,0.13356623365914766
6,1,2901,0.26634638055409254
6,3,1,0.5126992565893834
7,1,38706,0.4906026390737781
7,3,0,0.12051823419012508
8,1,4527,0.005242642025583111
8,3,0,0.446237664471819
9,1,4547,0.6433366422027762
9,3,20,0.7361273424754479
10,8,12,0.5687672914643072
11,1,666,0.7411519622823081
11,1,28675,0.08635154519592714
11,3,615,0.07538860558083726
12,1,273,0.8984773791071035
12,1,2093,0.8858263693184403
12,1,2096,0.2435973126275094
12,1,7960,0.19506894718341838
12,1,15082,0.982477638406836
12,2,18226,0.14905293636004258
12,2,18716,0.6823294892419242
12,3,6,0.36494767298163044
12,8,10,0.8514183895333851
13,1,39055,0.08876410039180282
14,1,24234,0.7654610064963049
14,3,0,0.5311839492767355
15,1,4537,0.31856231056643736
15,1,39836,0.6525754567429183
15,3,0,0.9402538946850463
16,3,12,0.1532562172558094
17,1,14994,0.9958881663483111
17,2,26,0.8840508235564014
17,2,20656,0.9239486698948196
18,1,6897,0.3097883504465564
18,1,39836,0.3433932930308976
18,1,40176,0.48234594035434075
18,3,615,0.08446903998861277
19,1,31769,0.24235817387068592
19,1,39001,0.35142627171779794
19,3,46,0.3664543064677066
20,1,4547,0.6972345219645721
20,1,18583,0.5110076580952454
20,3,0,0.40389431822823174
21,1,4529,0.6163172091101201
21,1,4532,0.15192799371119814
21,1,4539,0.9238527087799863
21,1,4549,0.10463576074019798
21,3,30,0.4249948796571277
22,0,24,0.931626036694369
22,0,12435,0.15148375928911972
22,1,39054,0.38665627302024685
22,3,24,0.6644557140591733
23,1,3562,0.27135895516400044
23,1,3566,0.23306039423900815
24,1,673,0.6388771798159849
24,1,37707,0.12671110849774792
25,1,8420,0.21068636622968273
25,1,15889,0.5530521240435962
25,1,20155,0.7002799288891024
25,1,20307,0.15048040497436277
26,1,1817,0.6499041122713505
26,1,15483,0.2557535341397098
26,2,21061,0.3127833028408139
26,2,21065,0.3528919919997915
26,2,21076,0.1436548136303485
26,3,16,0.9637595839817175
26,9,22353,0.22344134617395495
27,1,4532,0.21368182973493177
27,3,15,0.37366718418894485
28,3,0,0.5949584383649134
29,1,4532,0.0763889222758466
29,1,4539,0.9204599487579156
30,1,4539,0.679227349717282
30,3,15,0.5917317040414016
31,1,4552,0.5288002556945121
31,3,0,0.6125809386179614
32,1,4192,0.9728508216687516
32,1,9077,0.28896048604262137
32,3,1,0.8694927788461
33,1,4544,0.5844434832880032
33,1,31770,0.39344499196615923
33,3,20,0.08402110074182789
34,1,667,0.9965855902498397
34,1,32217,0.8771929059548353
34,3,46,0.5069928965216677
35,1,2215,0.0019361596626484845
35,1,3940,0.8178683760249305
35,1,8529,0.816918700122437
35,1,19485,0.8706133685736389
35,2,19483,0.9034810363674396
35,2,20645,0.9801947370687895
35,3,17,0.11209373512736798
35,3,32,0.12211797150553605
37,1,6980,0.8630553584784952
37,1,20859,0.649686786366713
37,3,34,0.4028168274298688
38,1,667,0.4849522101436887
38,3,2586,0.18876106329286313
39,1,31834,0.5658169806036825
39,3,166,0.8353395294176394
40,1,7236,0.5629102376380896
40,1,29074,0.3782592247721033
40,1,37788,0.9712258621060672
40,1,37868,0.16124105666611166
40,3,8275,0.40759228729873287
42,1,32914,0.6526251889248272
42,3,40,0.0981516137320233
43,1,1875,0.17636806290381934
43,1,39059,0.3848079322713832
43,10,10532,0.6417425995706459
44,1,30554,0.4359884388246268
45,3,10223,0.16392052295191684
46,3,47,0.5520025321239722
47,10,9544,0.6273857397753352
48,1,6742,0.4245306462588324
48,1,19931,0.37667006726832475
48,3,47,0.7397580254738714
49,1,22029,0.38207799284355204
50,1,31468,0.1676958826546251
50,3,47,0.3562263067797331
50,9,3340,0.3989730037332848
51,3,47,0.04002181563727569
51,10,13006,0.7156534015652342
51,10,13413,0.5836776073715281
52,1,30913,0.9350674403907829
52,1,31937,0.7363299675315582
52,3,47,0.1829825141938285
53,1,6705,0.8227190499805733
53,3,47,0.8973419131131932
54,0,10234,0.6212607628379334
54,0,10781,0.8262213137425796
54,1,19769,0.5775508247367117
55,1,434,0.9838558595733901
55,1,29882,0.6405285146510459
55,3,47,0.38029615538805006
56,1,206,0.8425578306072118
56,1,18359,0.25047204550860824
56,3,47,0.3018861483720702
57,1,24026,0.5683588292106109
57,3,47,0.13658017001568845
57,10,47,0.9095547502980638
57,10,9531,0.3869330579704898
58,1,30467,0.20776251966328518
58,3,47,0.4855073586008316
59,1,15650,0.31216208705341153
59,1,20493,0.6930836706178818
60,1,4750,0.3938326125605711
60,1,38609,0.023850857456585994
61,1,1972,0.5041075299301864
61,1,4750,0.5889297100392843
61,3,45,0.9737917320337544
62,1,31550,0.6143195346923197
62,3,8470,0.08908144777245186
63,1,922,0.6243364052985066
63,1,31438,0.9735436604883797
63,1,38608,0.37473106229930175
64,0,69,0.08220906807338935
64,0,6467,0.918963075860692
64,0,6468,0.7089616552506546
64,1,21637,0.5127286343277822
64,1,31746,0.4200628621346014
64,1,38641,0.011592314661324488
64,1,40511,0.5214568407365158
64,1,40512,0.5567829356448177
64,3,62,0.9546876785880949
65,3,64,0.07436792004327875
66,0,77,0.04961052256651921
66,1,4692,0.5512293598301484
66,1,4697,0.21651321958737657
66,3,68,0.41591368947246377
67,1,8891,0.47185504021574476
67,1,9307,0.2775355863710096
67,2,21300,0.7536926698993681
67,2,21456,0.7936217894574564
67,3,17,0.8063113973171682
68,1,4692,0.12628256733939258
68,1,40511,0.11338868371784472
68,3,64,0.6529250264815654
69,3,64,0.3269572305809001
70,3,64,0.9781777866804433
71,1,38624,0.36712660460268653
71,3,64,0.8168236177324623
72,0,77,0.15602391903772084
72,1,4697,0.6579677525579821
72,3,62,0.23740727952608975
73,0,622,0.852692850268779
73,1,20497,0.1301607335754389
74,3,77,0.2849813841983996
75,1,4543,0.33289511911857317
75,3,0,0.1330425934046241
76,1,8582,0.6772383862104786
76,1,33044,0.9977292646750365
76,2,37037,0.13328801033819004
76,3,17,0.8681105952711115
76,9,22389,0.8763728634518378
78,3,80,0.3134765714680855
79,1,30285,0.16028353949414298
79,3,78,0.043436708314898764
81,1,1805,0.728942660736331
81,1,31570,0.4995744943520093
82,1,6949,0.0934352240721571
82,1,21634,0.6898053736081208
82,1,32161,0.44935355850666137
82,3,820,0.19072504914945532
83,1,6949,0.5207462663726776
83,1,21634,0.7138148455734087
83,1,32162,0.3535789395872272
83,3,714,0.4819628766203996
84,3,12,0.7178489728890112
85,0,3284,0.8850282694128117
85,1,11276,0.6728564367936737
86,3,83,0.633261261755663
87,3,714,0.6698607960290547
88,1,3412,0.6271696734916166
88,3,92,0.3267989956941598
89,1,29728,0.21144479584118436
89,3,87,0.36159840447404124
90,3,92,0.27598210073182694
91,1,30706,0.17181523284477462
91,1,32634,0.5798617276974376
91,1,38645,0.343365811585849
91,3,103,0.5503838889626422
92,3,1,0.9975094106648116
93,1,25066,0.6177740840097807
93,3,91,0.12012388404772989
94,1,15621,0.2986521644956561
94,1,16588,0.11859360733807844
94,3,493,0.9536490946703292
95,1,6623,0.7679081492873475
95,2,25228,0.9007742833043646
95,3,90,0.8634089247197403
96,1,17110,0.12153287662798817
97,1,16635,0.7869515442832081
97,3,94,0.7738471667701936
98,0,3445,0.4000476962225895
98,0,5011,0.5810185245053409
98,0,10255,0.9706306645695093
99,1,16539,0.7616180644230846
99,3,94,0.7614969718388285
100,3,12,0.23813310136736154
101,3,94,0.37643242311909664
101,9,3670,0.3188565217509839
102,3,83,0.9469989265077612
103,1,3782,0.5366530557160664
103,1,19224,0.23312536474477896
103,1,20075,0.8363962256224775
103,3,87,0.6454352884111898
104,1,5752,0.9236307786244295
104,1,13138,0.9860332992370237
104,1,16198,0.11409396998036725
104,1,18963,0.5295993427159256
104,1,19925,0.9683470153449448
104,1,20358,0.6356965471012324
104,1,30361,0.01233600248437583
104,1,32924,0.90455184144795
104,1,38690,0.15968284017369516
104,3,87,0.16023930927101648
105,3,100,0.12315064252007402
106,3,2,0.5787063077012151
107,3,106,0.820179429977742
108,3,104,0.6954482284178386
109,0,3451,0.9739179281278881
110,1,18304,0.047694963794676526
110,3,537,0.1628147108858683
111,1,25039,0.20396640378222908
111,3,113,0.8442643146439568
112,1,9100,0.2172063940763973
112,1,15894,0.508522291182184
112,3,106,0.9890278284614245
114,3,820,0.18498799979647818
114,10,116,0.08972394698818542
115,3,2,0.3416905640492929
116,1,5765,0.44040387282894633
116,1,29006,0.9200615482783189
116,10,114,0.8220517290181754
117,0,119,0.8051613859938425
117,3,714,0.27349724095749783
118,3,115,0.2104274665772976
119,1,2286,0.9253952922447266
119,3,634,0.5843568760119001
120,1,1395,0.9398959880651018
120,1,1398,0.12237258097766257
120,3,119,0.8710976097940005
121,1,39410,0.80080062292949
121,3,87,0.5992978710632801
122,1,18565,0.7534923722427548
122,1,25118,0.5545519457723007
122,1,29012,0.7815559417851954
122,3,87,0.8660661675362814
123,1,20365,0.2266813766353719
123,1,39662,0.33508999642775317
123,9,22412,0.21573737140378313
124,3,122,0.182422134559731
125,1,39410,0.34746208027440506
125,3,820,0.5818774082013503
126,1,9836,0.9649435997250758
126,3,118,0.706304121983558
127,1,5867,0.5282639805661576
127,3,820,0.33811805663290606
128,1,5874,0.4432463391392213
128,3,127,0.6423288458621887
129,3,127,0.9861099329635125
130,1,6279,0.13026328930729636
130,3,579,0.9384127961695617
131,1,2349,0.3335484645582104
131,1,12990,0.9926383052774265
131,1,13269,0.5640206908052854
131,1,15534,0.4056649313216145
132,1,3429,0.7275500007625971
132,1,20815,0.06471421776568409
132,3,121,0.6339527440629665
133,1,5187,0.0846784490443796
133,1,20815,0.27487836641329233
133,3,5446,0.840581954378269
134,3,115,0.6893409833897867
135,3,133,0.5335863724858877
136,3,115,0.8852088863213816
137,1,5765,0.8258471990910419
137,1,29006,0.5190719765773136
138,1,21457,0.9195387674846213
138,1,23807,0.9743312250477019
138,1,31760,0.8500635215859538
138,3,166,0.750531816650386
139,3,115,0.5841550831612132
140,1,23807,0.3666768406856151
140,1,30581,1.041769251852731e-05
140,3,138,0.014455563712552633
141,1,23808,0.44411430052701106
141,3,138,0.8663831684796939
142,3,106,0.7840698544579219
143,3,1,0.363467668119701
144,1,23627,0.7366791949643215
144,1,24204,0.6499690800835938
144,1,24223,0.7340333549289546
144,3,152,0.31065170502708916
145,3,152,0.5669192216707558
146,3,152,0.6428186331389116
147,1,9060,0.08484117136391034
147,1,9100,0.3295015790239393
147,1,13470,0.546983311671497
147,3,142,0.7479539036956987
148,1,38721,0.9572290439329498
148,1,38722,0.938272046805217
148,3,380,0.5041224614653984
149,1,3583,0.9586518686274474
149,1,6010,0.09312352067413887
149,3,2,0.6589531660583492
150,3,152,0.3112064768457188
151,1,24226,0.19479124897227762
151,3,152,0.6701287569543569
152,0,4386,0.7401007848152799
152,0,4647,0.6729318384126702
152,1,23625,0.8978337092521235
152,1,24224,0.877344148269644
152,1,30846,0.21863829850231442
152,3,10029,0.7231503647528034
153,1,3876,0.6870060554585325
153,1,15703,0.115430253014706
153,1,38236,0.07654067551713795
