head,relation,tail,confidence_score
1,23,263,1.0
1,28,264,0.9082306027412415
1,31,222,1.0
1,31,452,1.0
1,31,576,1.0
1,31,646,0.9587820768356323
1,31,1002,1.0
1,31,1126,0.9697668552398682
1,31,1144,1.0
1,31,1247,1.0
1,31,1452,0.9600101113319397
1,31,1560,1.0
1,31,1663,1.0
1,31,1721,0.9667345285415649
1,31,1808,1.0
1,31,1810,1.0
1,31,1877,1.0
1,31,1906,1.0
1,31,1913,1.0
1,31,1945,1.0
1,34,247,0.7238978147506714
1,34,260,0.9474971294403076
1,34,484,0.8007562160491943
1,34,789,0.9526603817939758
1,34,1030,0.7307173013687134
1,34,1927,0.9778778553009033
2,0,1600,1.0
2,3,121,1.0
2,3,513,0.9127033948898315
2,3,539,0.8427361249923706
2,3,594,0.9969652891159058
2,3,1494,1.0
2,3,1879,0.9144710302352905
2,12,518,0.8747725486755371
2,35,917,0.6306494474411011
2,35,1673,0.6710573434829712
2,35,1901,0.9587169885635376
2,36,596,0.8537389636039734
2,37,200,1.0
2,37,461,0.9772408604621887
2,37,485,1.0
2,37,1734,0.8809201121330261
3,23,263,1.0
3,27,1370,0.9596483707427979
3,31,46,1.0
3,31,65,1.0
3,31,452,1.0
3,31,1002,1.0
3,31,1144,0.972732663154602
3,31,1247,1.0
3,31,1452,0.985553503036499
3,31,1663,1.0
3,31,1721,0.9692422747612
3,31,1808,1.0
3,31,1810,1.0
3,31,1877,1.0
3,31,1906,1.0
3,31,1913,1.0
3,31,1945,1.0
3,34,353,0.8487770557403564
3,34,484,0.8389736413955688
3,34,789,1.0
3,34,977,0.8565903306007385
3,34,1030,0.741071343421936
3,34,1331,0.9705129265785217
3,34,1830,0.8784255981445312
3,34,1927,1.0
3,34,1949,0.9596445560455322
3,34,1969,0.8700052499771118
4,23,263,0.9778084754943848
4,27,1370,0.9200012683868408
4,31,46,1.0
4,31,65,1.0
4,31,222,1.0
4,31,452,1.0
4,31,576,1.0
4,31,646,0.9800075888633728
4,31,1002,1.0
4,31,1126,0.9858798980712891
4,31,1144,0.9969193935394287
4,31,1247,1.0
4,31,1452,0.9875434041023254
4,31,1560,0.9981160163879395
4,31,1663,1.0
4,31,1721,1.0
4,31,1810,1.0
4,31,1877,1.0
4,31,1906,1.0
4,31,1913,1.0
4,31,1945,1.0
4,34,484,0.7579376697540283
4,34,789,0.925572395324707
4,34,1030,0.7037185430526733
4,34,1142,0.6716408729553223
4,34,1927,0.964602530002594
5,15,624,0.983934760093689
5,23,263,1.0
5,27,1370,0.9021621942520142
5,28,1518,0.9673362970352173
5,31,65,0.9928678274154663
5,31,222,0.9880784153938293
5,31,452,1.0
5,31,576,1.0
5,31,646,0.9360354542732239
5,31,1002,0.9811612367630005
5,31,1126,0.9444329738616943
5,31,1247,1.0
5,31,1452,0.9429244995117188
5,31,1495,0.976532518863678
5,31,1663,1.0
5,31,1721,0.942705512046814
5,31,1810,1.0
5,31,1877,1.0
5,31,1906,1.0
5,31,1913,1.0
5,34,353,0.815598726272583
5,34,484,0.7939815521240234
5,34,789,0.9498531818389893
5,34,1331,0.8723422288894653
6,23,263,1.0
6,28,264,0.9106380939483643
6,31,46,1.0
6,31,65,1.0
6,31,222,1.0
6,31,576,1.0
6,31,646,1.0
6,31,1002,1.0
6,31,1126,1.0
6,31,1144,1.0
6,31,1247,1.0
6,31,1452,1.0
6,31,1560,1.0
6,31,1663,1.0
6,31,1721,1.0
6,31,1808,1.0
6,31,1810,1.0
6,31,1877,1.0
6,31,1906,1.0
6,31,1913,1.0
6,31,1945,1.0
6,34,113,0.8722186088562012
6,34,260,1.0
6,34,282,0.7399327754974365
6,34,353,0.907720685005188
6,34,484,0.8903228044509888
6,34,1030,0.7618672251701355
6,34,1673,0.9991179704666138
6,34,1927,1.0
6,34,1949,1.0
6,34,2008,0.964435338973999
7,23,263,1.0
7,28,264,0.9736559391021729
7,31,222,1.0
7,31,576,1.0
7,31,646,0.9847522974014282
7,31,826,0.9562751054763794
7,31,1002,1.0
7,31,1126,1.0
7,31,1144,1.0
7,31,1247,1.0
7,31,1264,0.9939696192741394
7,31,1452,0.9808884859085083
7,31,1560,1.0
7,31,1663,1.0
7,31,1721,0.9999953508377075
7,31,1806,0.9563456177711487
7,31,1808,1.0
7,31,1810,1.0
7,31,1877,1.0
7,31,1906,1.0
7,31,1913,1.0
7,31,1945,1.0
7,34,31,0.7587820291519165
7,34,247,0.7217472195625305
