head,relation,tail,confidence_score
0,1,3,0.5480907559394836
0,1,9,0.5774221420288086
0,1,11,0.6020088791847229
0,1,12,0.6871506571769714
0,1,18,0.5782301425933838
0,1,28,0.4257897734642029
0,1,53,0.6304933428764343
0,1,57,0.6942271590232849
0,1,59,0.4010213017463684
0,1,77,0.6522925496101379
0,1,83,0.5967315435409546
0,1,89,0.39994996786117554
0,1,98,0.42079490423202515
0,1,100,0.6005342602729797
0,1,102,0.4219039976596832
0,1,111,0.6008618474006653
0,1,119,0.5827060341835022
0,1,122,0.664264976978302
0,1,132,0.577329158782959
0,4,34,0.1971229910850525
0,4,101,0.23718488216400146
0,7,7,0.7889683246612549
0,8,7,0.43488460779190063
0,8,37,0.43622148036956787
0,25,8,0.13572613894939423
0,25,46,0.0
0,25,109,0.0
0,26,16,0.00012156006414443254
0,26,96,0.000311168929329142
0,27,12,0.44269007444381714
0,27,29,0.45307978987693787
0,27,50,0.45799535512924194
0,27,57,0.4204217195510864
0,27,86,0.4397250711917877
0,27,92,0.45145365595817566
0,27,105,0.44891658425331116
0,27,122,0.45239439606666565
0,27,133,0.3465178906917572
0,29,14,0.6843665838241577
0,29,29,0.6703808307647705
0,29,40,0.6735923290252686
0,29,50,0.6648120880126953
0,29,86,0.6763538122177124
0,29,87,0.6579710245132446
0,29,89,0.6854650378227234
0,29,92,0.6709156036376953
0,29,98,0.6652328372001648
0,29,102,0.6625869274139404
0,33,51,0.6334580183029175
0,33,62,0.6582626700401306
0,33,106,0.6269608736038208
0,33,112,0.639266312122345
0,34,9,0.6564245223999023
0,34,11,0.6603932976722717
0,34,12,0.6308193206787109
0,34,18,0.6648789644241333
0,34,53,0.6693413257598877
0,34,57,0.6409472823143005
0,34,68,0.6553938984870911
0,34,77,0.6560412645339966
0,34,83,0.640879213809967
0,34,100,0.6453191637992859
0,34,119,0.6811246871948242
0,34,132,0.6488684415817261
0,34,133,0.6349399089813232
0,42,7,0.7058141231536865
0,42,13,0.1973665952682495
0,42,14,0.6999425292015076
0,42,28,0.6598896980285645
0,42,29,0.6806788444519043
0,42,37,0.704003095626831
0,42,40,0.6860858798027039
0,42,47,0.5619150400161743
0,42,50,0.6742542386054993
0,42,65,0.14303432404994965
0,42,73,0.2511724829673767
0,42,79,0.07629061490297318
0,42,86,0.6932270526885986
0,42,87,0.6631153225898743
0,42,89,0.6922687888145447
0,42,91,0.6492514610290527
0,42,92,0.6852196455001831
0,42,98,0.666777491569519
0,42,102,0.6639708876609802
0,42,105,0.6746631860733032
0,42,108,0.7408331632614136
0,42,130,0.17924492061138153
1,25,49,0.6249766945838928
1,26,16,0.0
1,26,96,0.0
2,20,73,0.6272410750389099
2,23,62,0.6831815242767334
2,23,106,0.6788099408149719
2,25,36,0.5839428305625916
2,25,46,0.04734014719724655
2,26,96,0.0
2,35,1,0.8065388202667236
2,35,13,0.7789945006370544
2,35,39,0.7588362097740173
2,35,42,0.7825174927711487
2,35,61,0.7494151592254639
2,35,65,0.7942368984222412
2,35,73,0.7947950959205627
2,35,79,0.7608335018157959
2,35,97,0.7772805094718933
2,35,120,0.7625207901000977
2,35,130,0.7137433886528015
2,40,33,0.7120505571365356
2,40,35,0.4799529016017914
2,40,41,0.5418979525566101
2,40,76,0.7090205550193787
2,40,84,0.6211880445480347
2,40,85,0.5080195069313049
2,45,33,0.7527047395706177
2,45,35,0.8262001276016235
2,45,41,0.7607793807983398
2,45,76,0.7423433661460876
2,45,84,0.8605372309684753
2,45,85,0.7871016263961792
2,45,118,0.6488909125328064
2,45,121,0.8580049276351929
3,23,6,1.0
3,23,9,1.0
3,23,11,1.0
3,23,12,0.9567608833312988
3,23,18,1.0
3,23,53,1.0
3,23,57,0.9822499752044678
3,23,77,1.0
3,23,83,1.0
3,23,100,1.0
3,23,119,1.0
3,23,122,0.9929986596107483
3,23,132,1.0
3,25,46,0.3740927278995514
3,25,111,1.0
3,26,96,0.0
3,27,15,0.3726113438606262
3,27,48,0.3743838667869568
3,27,71,0.35478633642196655
3,27,117,0.3470125198364258
3,27,134,0.351950466632843
4,1,28,0.5358620882034302
4,1,29,0.5403261780738831
4,1,40,0.5389792919158936
4,1,50,0.5353359580039978
4,1,59,0.5451619625091553
4,1,86,0.5448205471038818
4,1,89,0.5524868965148926
4,1,91,0.5611206889152527
4,1,92,0.5359961986541748
4,1,98,0.5451657176017761
4,1,102,0.5448060035705566
4,1,110,0.5352602005004883
4,6,0,0.8864702582359314
4,6,7,0.8906311988830566
4,6,37,0.900781512260437
4,6,40,0.86906498670578
4,6,50,0.8684517741203308
4,6,74,0.8586666584014893
4,6,86,0.8775550127029419
4,6,92,0.8703427314758301
4,6,105,0.8681888580322266
4,23,17,0.9794787764549255
4,23,24,0.962854266166687
4,23,30,0.9293849468231201
4,23,44,0.9774889945983887
4,23,48,0.9187348484992981
4,23,64,0.9519790410995483
4,23,67,0.9137023687362671
4,23,71,0.9206727147102356
4,23,72,0.9723615050315857
4,23,75,0.9566888809204102
4,23,81,0.9802600741386414
4,23,107,0.9736224412918091
4,23,117,0.9499211311340332
4,23,127,0.9730677604675293
4,23,134,0.951892077922821
4,25,30,1.0
4,25,46,0.4945833086967468
4,25,99,1.0
4,25,109,0.8612693548202515
4,25,128,1.0
4,26,16,0.002430892316624522
4,26,96,0.0023112911731004715
5,25,36,0.8426618576049805
5,25,90,0.925275981426239
5,25,126,0.9054809212684631
5,26,16,0.0015746408607810736
5,26,96,0.0014892445178702474
5,41,4,0.06735196709632874
6,20,13,0.5291967391967773
6,23,18,1.0
6,23,53,1.0
6,23,68,1.0
6,23,83,1.0
6,23,100,1.0
6,23,119,1.0
6,25,9,1.0
6,25,46,0.34529146552085876
6,25,100,1.0
6,25,109,0.3857974410057068
6,25,132,1.0
6,26,16,0.00012188899563625455
6,26,96,8.622887980891392e-05
7,1,3,0.5400741696357727
7,1,6,0.5659959316253662
7,1,9,0.5687596797943115
7,1,11,0.5928048491477966
7,1,12,0.6819684505462646
7,1,18,0.5702060461044312
7,1,28,0.4312373697757721
7,1,53,0.6214162707328796
7,1,57,0.6874632835388184
7,1,59,0.4076797366142273
7,1,68,0.5769332647323608
7,1,77,0.643111526966095
7,1,83,0.5894368886947632
7,1,87,0.39358389377593994
7,1,89,0.40655744075775146
7,1,98,0.4266800284385681
7,1,100,0.5911935567855835
7,1,110,0.43487268686294556
7,1,122,0.6577363610267639
7,1,133,0.6140571236610413
7,4,34,0.19170524179935455
7,4,101,0.2320045530796051
7,8,0,0.43488457798957825
7,8,37,0.42234256863594055
7,25,8,0.11993817985057831
7,25,46,0.0
7,25,109,0.0
7,26,96,0.000473992433398962
7,27,29,0.4426478445529938
7,27,40,0.43873175978660583
7,27,50,0.44756588339805603
7,27,57,0.4049968719482422
7,27,86,0.42963558435440063
7,27,92,0.44186609983444214
7,27,105,0.4384755790233612
7,27,122,0.4376883804798126
7,29,28,0.6670436263084412
7,29,29,0.6737156510353088
7,29,50,0.6681028008460999
7,29,59,0.6853117346763611
7,29,86,0.6796848177909851
7,29,89,0.6923791170120239
7,29,92,0.6737338304519653
7,29,102,0.6706548929214478
7,29,105,0.6682658791542053
7,29,110,0.6684678792953491
7,33,2,0.6408032774925232
7,33,51,0.6337586045265198
7,33,62,0.6580508351325989
7,33,106,0.6279764771461487
7,33,112,0.6400068998336792
7,33,113,0.6222530007362366
7,34,3,0.6275397539138794
7,34,6,0.6456484794616699
7,34,11,0.6441236734390259
7,34,18,0.6488988399505615
7,34,53,0.6533838510513306
7,34,57,0.6207098960876465
7,34,68,0.639477014541626
7,34,77,0.6389100551605225
7,34,100,0.6296858787536621
7,34,111,0.6118105053901672
7,34,119,0.6660217642784119
7,34,122,0.6362655758857727
7,34,133,0.6192442774772644
7,42,0,0.7058141231536865
7,42,14,0.7094898223876953
7,42,37,0.7024149894714355
7,42,39,0.040531620383262634
7,42,40,0.6887812614440918
7,42,47,0.5705438256263733
7,42,50,0.677678644657135
7,42,59,0.6931670904159546
7,42,69,0.5841501951217651
7,42,79,0.06276211887598038
7,42,86,0.6965798139572144
7,42,87,0.6739160418510437
7,42,89,0.7005698680877686
7,42,91,0.6657565832138062
7,42,92,0.6880694627761841
7,42,98,0.6750595569610596
7,42,108,0.7547140121459961
7,42,110,0.6670670509338379
7,42,130,0.16687875986099243
8,25,46,0.42190760374069214
8,25,109,0.35430270433425903
8,26,96,0.0007488389383070171
8,27,12,0.36775684356689453
8,27,57,0.3135445713996887
8,27,122,0.3528776466846466
8,27,133,0.35824206471443176
8,34,6,0.7991631031036377
8,34,9,0.7974411845207214
8,34,11,0.7890059947967529
8,34,12,0.7458816170692444
8,34,18,0.7997390627861023
8,34,53,0.7860758304595947
8,34,68,0.8005145192146301
8,34,77,0.7521134614944458
8,34,83,0.800956666469574
8,34,100,0.7777305841445923
8,34,119,0.7966721057891846
8,34,122,0.774001955986023
8,34,132,0.798444390296936
8,34,133,0.7552631497383118
9,20,13,0.6063892245292664
9,20,73,0.5517107844352722
9,23,6,1.0
9,23,11,1.0
9,23,18,1.0
9,23,53,1.0
9,23,68,1.0
9,23,77,1.0
9,23,119,1.0
9,23,132,1.0
9,25,46,0.2963859438896179
9,25,100,1.0
9,25,109,0.34812280535697937
9,26,16,0.00024067489721346647
9,26,96,0.00022544623061548918
10,1,14,0.5579502582550049
10,1,40,0.5312885642051697
10,1,50,0.5304390788078308
10,1,86,0.5380290150642395
10,1,87,0.5643072128295898
10,1,89,0.5513925552368164
10,1,102,0.5460414290428162
10,1,105,0.5282102823257446
10,6,7,0.869452953338623
10,6,37,0.8759568333625793
10,6,40,0.8487216234207153
10,6,50,0.850730836391449
10,6,74,0.8301134705543518
10,6,86,0.8575069904327393
10,6,92,0.8525577783584595
10,8,14,0.6602151989936829
10,8,29,0.5891292095184326
10,8,37,0.5980119705200195
10,8,40,0.5814301371574402
10,8,50,0.5879672765731812
10,8,59,0.6604580283164978
10,8,74,0.5461994409561157
10,8,86,0.5865299701690674
