head,relation,tail,confidence_score
0,0,15,1.0
0,0,20,1.0
0,1,4521,1.0
0,1,18583,1.0
0,1,18864,1.0
0,1,20627,1.0
0,1,21500,1.0
0,10,3,1.0
0,10,5,1.0
1,3,0,0.0
2,1,3761,1.0
2,3,0,2.729835387071944e-06
3,1,4521,1.0
3,1,16759,1.0
3,3,11889,0.0
4,3,1,1.6699294747013482e-06
5,1,16759,1.0
5,3,0,3.7859310396015644e-05
5,10,0,1.0
6,1,2901,1.0
6,3,1,4.238019755575806e-06
7,1,38706,1.0
7,3,0,0.0
8,1,4527,1.0
8,3,0,0.0
9,1,4547,1.0
9,3,20,3.314450441394001e-05
10,8,12,1.0
11,1,666,1.0
11,1,28675,1.0
11,3,615,0.0
12,1,273,1.0
12,1,2093,1.0
12,1,2096,1.0
12,1,7960,1.0
12,1,15082,0.98317551612854
12,2,18226,0.0
12,2,18716,0.0
12,3,6,0.0
12,8,10,1.0
13,1,39055,1.0
14,1,24234,1.0
14,3,0,5.930606675974559e-06
15,1,4537,1.0
15,1,39836,1.0
15,3,0,4.628972874343162e-06
16,3,12,0.0
17,1,14994,1.0
17,2,26,0.0
17,2,20656,0.0
18,1,6897,1.0
18,1,39836,1.0
18,1,40176,1.0
18,3,615,3.456987542449497e-05
19,1,31769,1.0
19,1,39001,1.0
19,3,46,5.787751433672383e-07
20,1,4547,1.0
20,1,18583,1.0
20,3,0,2.0911116735078394e-05
21,1,4529,1.0
21,1,4532,1.0
21,1,4539,1.0
21,1,4549,1.0
21,3,30,3.880054282490164e-05
22,0,24,1.0
22,0,12435,1.0
22,1,39054,1.0
22,3,24,2.1308582290657796e-05
23,1,3562,1.0
23,1,3566,1.0
24,1,673,1.0
24,1,37707,1.0
25,1,8420,1.0
25,1,15889,1.0
25,1,20155,1.0
25,1,20307,1.0
26,1,1817,1.0
26,1,15483,1.0
26,2,21061,0.0
26,2,21065,0.0
26,2,21076,4.604090645443648e-05
26,3,16,2.0226079868734814e-06
26,9,22353,0.0
27,1,4532,1.0
27,3,15,9.081732059712522e-06
28,3,0,0.0
29,1,4532,1.0
29,1,4539,1.0
30,1,4539,1.0
30,3,15,7.636672307853587e-06
31,1,4552,1.0
31,3,0,0.0
32,1,4192,1.0
32,1,9077,1.0
32,3,1,0.0
33,1,4544,1.0
33,1,31770,1.0
33,3,20,0.0
34,1,667,1.0
34,1,32217,1.0
34,3,46,1.4633868659075233e-06
35,1,2215,1.0
35,1,3940,1.0
35,1,8529,1.0
35,1,19485,1.0
35,2,19483,0.0
35,2,20645,0.0
35,3,17,0.0
35,3,32,5.772392341896193e-06
37,1,6980,0.9847797155380249
37,1,20859,1.0
37,3,34,1.3560737897932995e-05
38,1,667,1.0
38,3,2586,1.8392952370049898e-06
39,1,31834,1.0
39,3,166,1.78232266989653e-06
40,1,7236,1.0
40,1,29074,1.0
40,1,37788,1.0
40,1,37868,1.0
40,3,8275,0.0
42,1,32914,1.0
42,3,40,1.2978589438716881e-05
43,1,1875,1.0
43,1,39059,1.0
43,10,10532,1.0
44,1,30554,1.0
45,3,10223,4.602931767294649e-06
46,3,47,0.0
47,10,9544,1.0
48,1,6742,1.0
48,1,19931,1.0
48,3,47,5.610976359093911e-07
49,1,22029,1.0
50,1,31468,1.0
50,3,47,0.0
50,9,3340,2.9083264962537214e-05
51,3,47,1.22414840006968e-05
51,10,13006,1.0
51,10,13413,0.9931725263595581
52,1,30913,1.0
52,1,31937,1.0
52,3,47,1.2550079190987162e-05
53,1,6705,1.0
53,3,47,4.331199761509197e-06
54,0,10234,1.0
54,0,10781,1.0
54,1,19769,1.0
55,1,434,1.0
55,1,29882,1.0
55,3,47,9.925084668793716e-06
56,1,206,1.0
56,1,18359,1.0
56,3,47,0.0
57,1,24026,1.0
57,3,47,4.216031447867863e-05
57,10,47,1.0
57,10,9531,1.0
58,1,30467,1.0
58,3,47,3.1806562219571788e-06
59,1,15650,1.0
59,1,20493,1.0
60,1,4750,1.0
60,1,38609,1.0
61,1,1972,1.0
61,1,4750,1.0
61,3,45,0.0
62,1,31550,1.0
62,3,8470,1.2416975550877396e-05
63,1,922,1.0
63,1,31438,1.0
63,1,38608,1.0
64,0,69,1.0
64,0,6467,1.0
64,0,6468,1.0
64,1,21637,1.0
64,1,31746,1.0
64,1,38641,1.0
64,1,40511,1.0
64,1,40512,0.9999393224716187
64,3,62,0.0
65,3,64,2.2757353690394666e-06
66,0,77,1.0
66,1,4692,1.0
66,1,4697,1.0
66,3,68,2.6767798772198148e-05
67,1,8891,1.0
67,1,9307,1.0
67,2,21300,0.0
67,2,21456,5.477896138472715e-06
67,3,17,6.376990313583519e-06
68,1,4692,1.0
68,1,40511,1.0
68,3,64,2.5361327061546035e-05
69,3,64,0.0
70,3,64,0.0
71,1,38624,1.0
71,3,64,0.0
72,0,77,1.0
72,1,4697,1.0
72,3,62,0.0
73,0,622,1.0
73,1,20497,1.0
74,3,77,2.5166318664560094e-06
75,1,4543,1.0
75,3,0,0.0
76,1,8582,1.0
76,1,33044,1.0
76,2,37037,2.315800202268292e-06
76,3,17,3.223520252504386e-06
76,9,22389,0.0
78,3,80,6.161681085359305e-06
79,1,30285,1.0
79,3,78,0.0
81,1,1805,1.0
81,1,31570,1.0
82,1,6949,1.0
82,1,21634,1.0
82,1,32161,1.0
82,3,820,4.255753992765676e-06
83,1,6949,1.0
83,1,21634,1.0
83,1,32162,1.0
83,3,714,1.0113828466273844e-05
84,3,12,0.0
85,0,3284,1.0
85,1,11276,1.0
86,3,83,0.0
87,3,714,0.0
88,1,3412,1.0
88,3,92,1.50979667523643e-06
89,1,29728,1.0
89,3,87,2.188445250794757e-06
90,3,92,5.819974376208847e-06
91,1,30706,1.0
91,1,32634,1.0
91,1,38645,1.0
91,3,103,1.1877405995619483e-05
92,3,1,3.2332982300431468e-06
93,1,25066,1.0
93,3,91,0.0
94,1,15621,1.0
94,1,16588,1.0
94,3,493,3.6403259855433134e-06
95,1,6623,1.0
95,2,25228,1.764817898219917e-05
95,3,90,4.907026323053287e-06
96,1,17110,1.0
97,1,16635,1.0
97,3,94,1.1390151485102251e-05
98,0,3445,1.0
98,0,5011,1.0
98,0,10255,1.0
99,1,16539,1.0
99,3,94,0.0
100,3,12,0.0
101,3,94,7.231697054521646e-06
101,9,3670,0.0
102,3,83,0.0
103,1,3782,1.0
103,1,19224,1.0
103,1,20075,1.0
103,3,87,0.0
104,1,5752,1.0
104,1,13138,1.0
104,1,16198,1.0
104,1,18963,1.0
104,1,19925,1.0
104,1,20358,1.0
104,1,30361,1.0
104,1,32924,1.0
104,1,38690,1.0
104,3,87,0.0
105,3,100,1.7807670928959851e-06
106,3,2,0.0
107,3,106,1.40536212711595e-06
108,3,104,9.359736395708751e-06
109,0,3451,1.0
110,1,18304,1.0
110,3,537,5.214335942582693e-06
111,1,25039,1.0
111,3,113,4.092578365089139e-07
112,1,9100,1.0
112,1,15894,1.0
112,3,106,0.0
114,3,820,0.0
114,10,116,1.0
115,3,2,5.021148808737053e-06
116,1,5765,1.0
116,1,29006,1.0
116,10,114,1.0
117,0,119,1.0
117,3,714,2.5166518753394485e-06
118,3,115,0.0
119,1,2286,1.0
119,3,634,2.3426416646543657e-06
120,1,1395,1.0
120,1,1398,1.0
120,3,119,0.0
121,1,39410,1.0
121,3,87,3.867440682370216e-06
122,1,18565,1.0
122,1,25118,1.0
122,1,29012,1.0
122,3,87,0.0
123,1,20365,1.0
123,1,39662,1.0
123,9,22412,3.450023359619081e-05
124,3,122,9.797773600439541e-06
125,1,39410,1.0
125,3,820,3.407423719181679e-06
126,1,9836,1.0
126,3,118,9.573803254170343e-06
127,1,5867,1.0
127,3,820,0.0
128,1,5874,1.0
128,3,127,0.0
129,3,127,0.0
130,1,6279,1.0
130,3,579,6.664288775937166e-06
131,1,2349,1.0
131,1,12990,1.0
131,1,13269,1.0
131,1,15534,1.0
132,1,3429,1.0
132,1,20815,1.0
132,3,121,2.0656227661675075e-06
133,1,5187,1.0
133,1,20815,1.0
133,3,5446,5.2786308515351266e-06
134,3,115,0.0
135,3,133,0.0
136,3,115,2.6286572847311618e-06
137,1,5765,1.0
137,1,29006,1.0
138,1,21457,0.9739408493041992
138,1,23807,1.0
138,1,31760,1.0
138,3,166,5.413726285041776e-07
139,3,115,8.037935913307592e-06
140,1,23807,1.0
140,1,30581,1.0
140,3,138,3.0985258490545675e-05
141,1,23808,1.0
141,3,138,3.960872163588647e-08
142,3,106,2.7621442768577253e-06
143,3,1,0.0
144,1,23627,1.0
144,1,24204,1.0
144,1,24223,1.0
144,3,152,0.0
145,3,152,4.0094937503454275e-06
146,3,152,0.0
147,1,9060,1.0
147,1,9100,1.0
147,1,13470,1.0
147,3,142,0.0
148,1,38721,1.0
148,1,38722,1.0
148,3,380,6.055624908185564e-07
149,1,3583,1.0
149,1,6010,1.0
149,3,2,5.733500074711628e-06
150,3,152,0.0
151,1,24226,1.0
151,3,152,0.0
152,0,4386,1.0
152,0,4647,1.0
152,1,23625,1.0
152,1,24224,1.0
152,1,30846,1.0
152,3,10029,0.0
153,1,3876,1.0
153,1,15703,1.0
153,1,38236,1.0
153,1,38287,1.0
153,1,38464,1.0
153,3,2,0.0
154,1,23477,1.0
154,1,31768,1.0
154,3,138,0.0
154,10,156,1.0
155,3,153,0.0
156,1,23477,1.0
156,1,31768,1.0
156,3,5186,1.294589128519874e-05
156,10,154,1.0
157,3,153,0.0
158,1,4806,1.0
158,1,23806,1.0
159,1,4020,1.0
159,1,4029,1.0
159,1,4147,1.0
159,1,5905,1.0
159,1,12609,1.0
160,0,4786,1.0
160,1,19524,1.0
161,1,19608,1.0
161,1,19617,1.0
161,3,14936,6.838696208433248e-06
162,1,2707,1.0
162,1,3530,1.0
162,1,3712,1.0
162,1,15227,0.9916602373123169
162,3,2,9.117239642364439e-06
163,1,23806,1.0
163,3,158,3.288781226729043e-05
164,1,23409,1.0
164,1,30008,1.0
164,3,5446,8.392250492761377e-06
165,3,143,7.956124932206876e-07
166,1,23804,0.9935774803161621
166,3,4020,1.672185317147523e-05
167,1,7458,1.0
167,3,181,1.4204352737579029e-05
168,1,23805,1.0
168,1,31801,1.0
168,3,166,0.0
169,1,4539,1.0
169,3,612,5.727387360821012e-06
170,1,9041,1.0
170,1,14408,1.0
170,3,181,8.615504157205578e-06
171,1,1395,1.0
171,1,29782,1.0
171,3,173,1.0085898338729749e-06
172,3,2420,0.0
173,1,1373,1.0
173,1,16585,1.0
173,3,201,2.0860509266640292e-06
174,1,1398,1.0
174,3,173,0.0
174,10,175,1.0
175,0,120,1.0
175,1,1398,1.0
175,3,173,0.0
175,10,174,1.0
176,3,170,0.0
177,3,170,3.5083628517895704e-06
178,1,1377,1.0
178,3,175,0.0
179,1,18865,1.0
179,1,29076,1.0
179,3,173,0.0
180,3,201,0.0
181,1,13470,1.0
181,3,147,2.8814580218750052e-05
182,1,37631,1.0
182,1,38614,1.0
182,9,22378,3.7212168535916135e-05
183,1,1393,1.0
183,1,16891,1.0
183,3,959,2.5350209398311563e-07
184,1,1408,1.0
184,1,2419,1.0
184,1,16002,1.0
184,1,16003,1.0
184,1,29782,1.0
184,3,173,9.192761353915557e-06
185,3,181,4.872746558248764e-06
186,1,1403,1.0
186,1,6843,1.0
186,1,16673,1.0
186,1,16675,1.0
186,3,201,0.0
187,3,185,0.0
188,1,20168,1.0
188,3,186,1.5025922948552761e-05
189,1,19522,1.0
189,1,29591,1.0
189,1,38614,1.0
190,1,20731,1.0
190,1,25905,1.0
190,3,201,4.684721716330387e-06
190,10,233,1.0
191,1,13517,1.0
192,1,20737,1.0
192,3,190,0.0
193,1,4033,1.0
193,3,191,3.0727408102393383e-06
195,1,20738,1.0
195,3,190,0.0
196,1,19524,1.0
196,1,19527,1.0
197,1,18041,1.0
197,3,201,9.075500202015974e-06
198,1,12783,1.0
198,1,13493,1.0
198,3,191,0.0
199,1,1403,1.0
200,1,37794,1.0
200,9,29135,1.305589648836758e-05
201,1,4505,1.0
201,3,1635,0.0
202,1,38618,1.0
203,3,198,0.0
204,1,17876,1.0
204,3,201,1.3027378372498788e-05
205,1,13990,1.0
205,1,38465,1.0
205,3,203,1.566105538586271e-06
206,1,56,1.0
206,1,5921,1.0
206,1,5955,1.0
206,1,13746,1.0
206,1,13748,1.0
206,3,181,5.7223041949328035e-06
207,1,550,1.0
207,1,12475,1.0
207,1,12488,1.0
207,3,147,4.58870181319071e-06
208,1,4192,1.0
208,1,9077,1.0
208,3,147,1.418870215275092e-05
209,1,38614,1.0
210,1,313,1.0
210,3,147,1.8425876078254078e-06
211,1,10307,1.0
211,1,11282,1.0
211,1,11314,1.0
211,3,147,5.0362896217848174e-06
212,3,177,2.5204285520885605e-06
213,1,3257,1.0
213,1,3916,1.0
213,1,9024,1.0
213,1,11996,1.0
213,1,12147,1.0
213,1,12725,1.0
213,1,12986,1.0
213,1,12994,1.0
213,3,147,1.1583372724999208e-05
214,1,37794,1.0
214,1,38614,1.0
214,9,22417,7.953233762236778e-06
215,1,18274,1.0
215,1,18275,1.0
215,1,21722,1.0
216,1,12546,1.0
216,3,147,0.0
217,1,4508,1.0
217,1,15722,1.0
217,3,222,2.6296829673810862e-05
217,10,244,1.0
218,1,9070,1.0
218,1,38508,1.0
219,1,6116,1.0
219,1,7624,1.0
219,3,177,5.445975602924591e-06
220,3,222,0.0
221,3,222,2.765176304819761e-06
222,1,15840,1.0
222,1,18163,1.0
222,1,18607,1.0
222,3,244,2.6314124625059776e-05
222,10,227,1.0
222,10,280,1.0
223,1,9052,1.0
223,1,13694,1.0
224,1,39297,1.0
224,1,39298,1.0
225,1,2399,1.0
225,1,2879,1.0
225,3,147,1.323207288805861e-05
226,1,2363,1.0
226,1,6133,1.0
226,3,147,6.666644367214758e-06
227,1,15840,1.0
227,1,30297,1.0
227,3,244,3.337868838571012e-05
227,10,222,1.0
227,10,244,1.0
228,1,13981,1.0
228,3,147,0.0
229,3,222,0.0
230,3,147,7.69172766013071e-06
231,3,222,5.099557711218949e-06
232,1,9060,1.0
232,1,9100,1.0
232,3,147,2.7778289222624153e-05
233,1,31838,1.0
233,3,1635,2.154176399926655e-06
233,10,190,1.0
234,1,6036,1.0
234,1,7506,1.0
234,3,177,0.0
235,1,37848,1.0
235,3,820,0.0
236,1,12722,1.0
236,3,147,8.943032298702747e-06
237,3,235,0.0
238,1,839,1.0
238,1,1669,1.0
239,1,30513,1.0
239,3,820,1.216235523315845e-05
240,3,147,5.308833806338953e-06
241,1,9509,1.0
241,3,177,0.0
243,1,6638,1.0
243,1,6641,1.0
243,3,147,0.0
244,0,222,0.9758472442626953
244,1,4505,1.0
244,1,15722,1.0
244,1,30296,1.0
244,3,634,5.456256531033432e-06
244,10,217,1.0
244,10,227,1.0
244,10,250,1.0
246,3,177,0.0
247,1,17479,1.0
247,3,272,2.5417864435439697e-06
248,1,4338,1.0
248,3,272,0.0
249,1,4518,1.0
249,1,14497,1.0
249,1,16615,1.0
249,3,170,0.0
249,3,15121,5.064689503342379e-06
250,1,4505,1.0
250,1,15722,1.0
250,1,15785,1.0
250,1,15840,1.0
250,1,16615,1.0
250,1,17322,1.0
250,1,30296,1.0
250,3,820,0.0
250,10,244,1.0
251,1,3495,1.0
251,1,5219,1.0
251,1,15456,1.0
252,1,11378,1.0
253,1,11268,1.0
253,3,181,0.0
254,3,250,0.0
255,1,11274,1.0
255,1,11365,1.0
255,3,252,9.864470484899357e-08
256,3,250,3.8178914110176265e-06
257,1,11268,1.0
257,3,252,5.909267201786861e-06
258,1,16999,1.0
258,3,250,0.0
259,1,9538,1.0
259,1,11333,1.0
259,3,253,1.5801533663761802e-06
260,1,18779,1.0
260,3,250,0.0
261,3,250,0.0
262,3,250,2.957322431029752e-05
263,3,250,3.5027201192860957e-06
264,3,250,0.0
265,1,11348,1.0
265,3,259,0.0
266,1,16764,1.0
266,3,250,9.004540515888948e-06
267,1,18781,1.0
267,3,250,0.0
268,1,2896,1.0
268,1,31885,1.0
268,3,980,0.0
268,10,972,1.0
269,1,14076,1.0
269,1,14078,1.0
269,3,259,1.3083076737530064e-06
270,1,9542,1.0
270,3,253,6.6719449023366906e-06
271,3,268,2.420350483589573e-06
272,1,14497,1.0
272,1,16615,1.0
272,3,244,2.4649763872730546e-05
273,1,12,1.0
273,1,2411,1.0
273,1,2879,1.0
273,1,11169,1.0
273,1,15082,0.9944490790367126
273,3,270,0.0
274,0,11782,1.0
274,1,19835,1.0
275,1,18682,1.0
275,3,272,1.1878501027240418e-05
276,1,18846,1.0
276,3,272,0.0
277,1,16626,1.0
277,1,16629,1.0
277,3,250,1.0691854186006822e-05
278,3,259,2.010856633205549e-06
279,1,6753,1.0
279,1,6760,1.0
279,3,278,0.0
280,1,16767,1.0
280,3,250,2.4443976144539192e-05
280,10,222,1.0
281,1,30187,1.0
281,3,244,1.5463163435924798e-05
282,1,16615,1.0
282,1,17384,1.0
282,1,18617,1.0
282,1,19333,1.0
282,3,250,2.7363405024516396e-05
283,1,7176,1.0
283,1,11819,1.0
283,3,253,0.0
284,1,11099,1.0
284,1,11821,1.0
284,3,253,0.0
285,1,14497,1.0
285,1,16615,1.0
286,1,11090,1.0
286,2,1555,0.0
286,3,253,0.0
287,1,4597,1.0
287,1,21019,1.0
287,1,24954,1.0
287,3,714,8.076139238255564e-06
288,1,7383,0.9893126487731934
288,1,20147,1.0
288,1,39649,1.0
289,3,1696,5.197633072384633e-06
290,1,5046,1.0
290,3,287,8.738955330045428e-06
290,10,7192,1.0
291,1,3346,0.988996684551239
291,1,11286,1.0
291,1,11314,1.0
291,1,11327,1.0
291,1,11427,1.0
291,3,211,3.0408640668611042e-05
292,3,287,3.8992176996544003e-05
292,10,293,1.0
293,1,24954,1.0
293,3,287,4.044943489134312e-05
293,10,292,1.0
294,1,2414,1.0
294,3,211,0.0
295,1,24956,1.0
295,3,287,0.0
296,1,24956,1.0
296,3,820,1.72368272615131e-05
297,1,959,1.0
297,1,2731,1.0
297,1,4366,1.0
297,1,8269,1.0
297,1,11192,1.0
297,1,13805,1.0
298,1,24955,1.0
298,3,287,2.8653230401687324e-06
299,3,820,0.0
300,1,4632,1.0
300,1,7264,1.0
300,1,24672,1.0
300,1,26745,1.0
300,1,30427,1.0
300,1,30479,1.0
300,1,31067,1.0
300,3,8891,9.536868674331345e-06
301,3,297,0.0
302,1,21019,1.0
302,1,37697,1.0
303,1,4628,1.0
303,1,4632,1.0
303,1,37859,1.0
303,3,8891,1.2355668332020286e-05
303,9,22353,0.0
304,1,3348,1.0
304,1,14794,1.0
304,3,297,1.2582228237079107e-06
305,1,4632,1.0
305,1,20591,1.0
305,3,303,3.408647171454504e-05
305,9,22353,4.948732112097787e-06
305,9,26900,4.3954172724625096e-05
306,1,11740,1.0
306,3,304,5.073741249361774e-06
307,3,304,6.083272637624759e-06
307,9,26455,3.4091408451786265e-07
308,1,4632,1.0
308,9,76,0.0
309,1,37082,1.0
309,1,37726,1.0
309,3,303,4.166355211054906e-06
310,1,4628,1.0
310,1,4632,1.0
310,1,26228,1.0
310,3,303,3.590869891922921e-05
311,1,11192,1.0
311,9,26455,1.563695514050778e-05
312,3,297,3.874009507853771e-06
312,9,26455,4.1837651224341244e-05
313,1,210,1.0
313,1,24661,1.0
313,1,37816,1.0
313,1,40232,1.0
313,3,9745,8.858177352522034e-06
313,10,333,1.0
314,3,5934,0.0
314,9,26455,1.4729359463672154e-05
315,1,10598,1.0
315,1,11323,1.0
315,3,312,0.0
315,9,26455,5.151938239578158e-05
316,1,3073,1.0
316,1,6126,1.0
316,1,11192,1.0
317,1,38686,1.0
317,3,11889,0.0
318,1,32079,1.0
318,3,313,1.541845267638564e-05
319,3,284,7.374888809863478e-06
319,3,5243,4.311666089051869e-06
319,9,26455,8.466549843433313e-07
320,1,13514,1.0
320,3,313,2.467261992933345e-06
321,1,11085,1.0
321,3,284,5.111307473271154e-06
