head,relation,tail,confidence_score
1,23,263,0.7247060537338257
1,28,264,0.6825831532478333
1,31,222,0.7297353148460388
1,31,452,0.7353271245956421
1,31,576,0.7355883121490479
1,31,646,0.7204755544662476
1,31,1002,0.7289296984672546
1,31,1126,0.7237492203712463
1,31,1144,0.7308653593063354
1,31,1247,0.7388409376144409
1,31,1452,0.7276617884635925
1,31,1560,0.7282364368438721
1,31,1663,0.7402999401092529
1,31,1721,0.7270364761352539
1,31,1808,0.7351635694503784
1,31,1810,0.7377332448959351
1,31,1877,0.7360243797302246
1,31,1906,0.738702118396759
1,31,1913,0.7383625507354736
1,31,1945,0.7341499924659729
1,34,247,0.6822725534439087
1,34,260,0.7225156426429749
1,34,484,0.6935581564903259
1,34,789,0.7186784148216248
1,34,1030,0.6777826547622681
1,34,1927,0.7283738851547241
2,0,1600,0.7354270815849304
2,3,121,0.7331497073173523
2,3,513,0.7054963111877441
2,3,539,0.6708820462226868
2,3,594,0.7112206220626831
2,3,1494,0.7356274724006653
2,3,1879,0.7126290202140808
2,12,518,0.6816750168800354
2,35,917,0.6558961272239685
2,35,1673,0.6433127522468567
2,35,1901,0.6950294971466064
2,36,596,0.6993963718414307
2,37,200,0.7329925298690796
2,37,461,0.7399560809135437
2,37,485,0.7377087473869324
2,37,1734,0.7389501333236694
3,23,263,0.7381712794303894
3,27,1370,0.7260100841522217
3,31,46,0.7291482090950012
3,31,65,0.7218450903892517
3,31,452,0.7293018698692322
3,31,1002,0.7248448729515076
3,31,1144,0.7242211103439331
3,31,1247,0.7350655198097229
3,31,1452,0.725122332572937
3,31,1663,0.7362320423126221
3,31,1721,0.7230130434036255
3,31,1808,0.7332221269607544
3,31,1810,0.730894923210144
3,31,1877,0.7313240170478821
3,31,1906,0.7324345707893372
3,31,1913,0.7333845496177673
3,31,1945,0.7302455306053162
3,34,353,0.697065532207489
3,34,484,0.7010997533798218
3,34,789,0.7352263927459717
3,34,977,0.7112670540809631
3,34,1030,0.6805518865585327
3,34,1331,0.7285417914390564
3,34,1830,0.6943305134773254
3,34,1927,0.7443442344665527
3,34,1949,0.7323386073112488
3,34,1969,0.709159791469574
4,23,263,0.7402204871177673
4,27,1370,0.7260711789131165
4,31,46,0.73267662525177
4,31,65,0.7283612489700317
4,31,222,0.7291135787963867
4,31,452,0.7353317737579346
4,31,576,0.7351199388504028
4,31,646,0.7189826369285583
4,31,1002,0.7322330474853516
4,31,1126,0.7253905534744263
4,31,1144,0.7317785024642944
4,31,1247,0.7374163866043091
4,31,1452,0.7303134799003601
4,31,1560,0.727897584438324
4,31,1663,0.7393539547920227
4,31,1721,0.7303547859191895
4,31,1810,0.7354844212532043
4,31,1877,0.7365880608558655
4,31,1906,0.7400413155555725
4,31,1913,0.7392182946205139
4,31,1945,0.734106183052063
4,34,484,0.6915795207023621
4,34,789,0.7166935801506042
4,34,1030,0.673743486404419
4,34,1142,0.6820288896560669
4,34,1927,0.7253457307815552
5,15,624,0.7206132411956787
5,23,263,0.7390134930610657
5,27,1370,0.7217898368835449
5,28,1518,0.7140102982521057
5,31,65,0.7182971835136414
5,31,222,0.7218995690345764
5,31,452,0.724092960357666
5,31,576,0.7257329821586609
5,31,646,0.7135916352272034
5,31,1002,0.725756049156189
5,31,1126,0.7177591919898987
5,31,1247,0.7269641160964966
5,31,1452,0.7196643948554993
5,31,1495,0.7229321002960205
5,31,1663,0.7296066880226135
5,31,1721,0.7227997183799744
5,31,1810,0.7250682711601257
5,31,1877,0.7260491251945496
5,31,1906,0.7299637198448181
5,31,1913,0.7288625836372375
5,34,353,0.6799995303153992
5,34,484,0.685388445854187
5,34,789,0.7108038067817688
5,34,1331,0.7061487436294556
6,23,263,0.7461681962013245
6,28,264,0.7072418332099915
6,31,46,0.7438719868659973
6,31,65,0.7377763986587524
6,31,222,0.7389548420906067
6,31,576,0.7455810308456421
6,31,646,0.7277071475982666
6,31,1002,0.7361311912536621
6,31,1126,0.7284631729125977
6,31,1144,0.7414939403533936
6,31,1247,0.7511631846427917
6,31,1452,0.7387617230415344
6,31,1560,0.7443274855613708
6,31,1663,0.7486952543258667
6,31,1721,0.7336676716804504
6,31,1808,0.7503150701522827
6,31,1810,0.7489148378372192
6,31,1877,0.7477104663848877
6,31,1906,0.7485156655311584
6,31,1913,0.7507099509239197
6,31,1945,0.7455624938011169
6,34,113,0.7153640985488892
6,34,260,0.7447708249092102
6,34,282,0.6700742840766907
6,34,353,0.712019681930542
6,34,484,0.7096769213676453
6,34,1030,0.6876547336578369
6,34,1673,0.7355591654777527
6,34,1927,0.7489768266677856
6,34,1949,0.7440008521080017
6,34,2008,0.7309824228286743
7,23,263,0.7412245273590088
7,28,264,0.7072728276252747
7,31,222,0.7333895564079285
7,31,576,0.7337803244590759
7,31,646,0.7230668663978577
7,31,826,0.7242862582206726
7,31,1002,0.7313557863235474
7,31,1126,0.7272483706474304
7,31,1144,0.7361423373222351
7,31,1247,0.7369638681411743
7,31,1264,0.7327384352684021
7,31,1452,0.7307681441307068
7,31,1560,0.7334147095680237
7,31,1663,0.7367724180221558
7,31,1721,0.7301523089408875
7,31,1806,0.7173007726669312
7,31,1808,0.7371531128883362
7,31,1810,0.7355751395225525
7,31,1877,0.740319013595581
7,31,1906,0.7421634793281555
7,31,1913,0.7421365976333618
7,31,1945,0.7336248159408569
7,34,31,0.690761923789978
7,34,247,0.681689441204071
7,34,484,0.6929337382316589
7,34,789,0.7156990170478821
7,34,1299,0.6976686120033264
7,34,1927,0.7211304903030396
8,1,1004,0.7384746074676514
8,3,85,0.7381348609924316
8,3,86,0.7456031441688538
8,3,764,0.7446203231811523
8,3,875,0.7394123673439026
