head,relation,tail,confidence_score
0,1,3,0.6329664587974548
0,1,9,0.6274933218955994
0,1,11,0.6493608951568604
0,1,12,0.6473854184150696
0,1,18,0.6314698457717896
0,1,28,0.5654747486114502
0,1,53,0.6414627432823181
0,1,57,0.6508253812789917
0,1,59,0.5658909678459167
0,1,77,0.6435904502868652
0,1,83,0.633959174156189
0,1,89,0.5730100870132446
0,1,98,0.5706050992012024
0,1,100,0.6438248157501221
0,1,102,0.5656521916389465
0,1,111,0.6368532180786133
0,1,119,0.6392982602119446
0,1,122,0.6488090753555298
0,1,132,0.6391862630844116
0,4,34,0.6048086881637573
0,4,101,0.6073235273361206
0,7,7,0.695665180683136
0,8,7,0.5802984237670898
0,8,37,0.5783452987670898
0,25,8,0.539617121219635
0,25,46,0.3605863153934479
0,25,109,0.4296720325946808
0,26,16,0.4998043477535248
0,26,96,0.4997882544994354
0,27,12,0.5557985901832581
0,27,29,0.5514025092124939
0,27,50,0.5500155091285706
0,27,57,0.5647726058959961
0,27,86,0.5483869910240173
0,27,92,0.5518733263015747
0,27,105,0.5498841404914856
0,27,122,0.5730381608009338
0,27,133,0.5557864904403687
0,29,14,0.6688691973686218
0,29,29,0.6726475358009338
0,29,40,0.6736204624176025
0,29,50,0.6710166335105896
0,29,86,0.6753222346305847
0,29,87,0.6676464676856995
0,29,89,0.6672808527946472
0,29,92,0.6731918454170227
0,29,98,0.667778730392456
0,29,102,0.6695389151573181
0,33,51,0.6599418520927429
0,33,62,0.6582027673721313
0,33,106,0.6560405492782593
0,33,112,0.6552652716636658
0,34,9,0.6835073828697205
0,34,11,0.6802375912666321
0,34,12,0.6743972301483154
0,34,18,0.6812205910682678
0,34,53,0.6817135810852051
0,34,57,0.6771472096443176
0,34,68,0.6857537627220154
0,34,77,0.6813092231750488
0,34,83,0.6794906854629517
0,34,100,0.6779874563217163
0,34,119,0.686333179473877
0,34,132,0.6803389191627502
0,34,133,0.6780577301979065
0,42,7,0.684706449508667
0,42,13,0.5518752932548523
0,42,14,0.6760715842247009
0,42,28,0.6754494309425354
0,42,29,0.674991250038147
0,42,37,0.6833772659301758
0,42,40,0.6764657497406006
0,42,47,0.6666147708892822
0,42,50,0.6745883226394653
0,42,65,0.5467265248298645
0,42,73,0.5715997815132141
0,42,79,0.5194896459579468
0,42,86,0.6785370111465454
0,42,87,0.673097550868988
0,42,89,0.6718255877494812
0,42,91,0.6659533381462097
0,42,92,0.6769727468490601
0,42,98,0.6732152700424194
0,42,102,0.6745553612709045
0,42,105,0.675180196762085
0,42,108,0.6811830997467041
0,42,130,0.5320389866828918
1,25,49,0.6611905694007874
1,26,16,0.49997520446777344
1,26,96,0.4999516010284424
2,20,73,0.6426199674606323
2,23,62,0.6761256456375122
2,23,106,0.6764382123947144
2,25,36,0.6560620069503784
2,25,46,0.5962677001953125
2,26,96,0.4999053180217743
2,35,1,0.7105409502983093
2,35,13,0.701310932636261
2,35,39,0.7205368280410767
2,35,42,0.7106704711914062
2,35,61,0.7073490023612976
2,35,65,0.7206457853317261
2,35,73,0.701757550239563
2,35,79,0.7229918241500854
2,35,97,0.7132520079612732
2,35,120,0.7136642932891846
2,35,130,0.6981316804885864
2,40,33,0.6994791626930237
2,40,35,0.6897962093353271
2,40,41,0.6605430841445923
2,40,76,0.6949794888496399
2,40,84,0.6787763237953186
2,40,85,0.6515020728111267
2,45,33,0.6917399168014526
2,45,35,0.6760397553443909
2,45,41,0.6614181995391846
2,45,76,0.6911236643791199
2,45,84,0.6782961487770081
2,45,85,0.6516438722610474
2,45,118,0.6880031228065491
2,45,121,0.6760768294334412
3,23,6,0.7260262370109558
3,23,9,0.7256457805633545
3,23,11,0.7244836688041687
3,23,12,0.7191953659057617
3,23,18,0.7226746082305908
3,23,53,0.7224029302597046
3,23,57,0.7177137136459351
3,23,77,0.7197662591934204
3,23,83,0.7251349687576294
3,23,100,0.7218560576438904
3,23,119,0.7259301543235779
3,23,122,0.7199779152870178
3,23,132,0.7214647531509399
3,25,46,0.5625671148300171
3,25,111,0.719987690448761
3,26,96,0.4999610185623169
3,27,15,0.5825968980789185
3,27,48,0.5840886831283569
3,27,71,0.573218584060669
3,27,117,0.5790804624557495
3,27,134,0.5785267949104309
4,1,28,0.6410160064697266
4,1,29,0.6345097422599792
4,1,40,0.6344746947288513
4,1,50,0.632358193397522
4,1,59,0.6396342515945435
4,1,86,0.6351286768913269
4,1,89,0.6383945941925049
4,1,91,0.6435324549674988
4,1,92,0.6370059847831726
4,1,98,0.639759361743927
4,1,102,0.6416225433349609
4,1,110,0.6396811008453369
4,6,0,0.7012774348258972
4,6,7,0.7017399668693542
4,6,37,0.7009350061416626
4,6,40,0.690617024898529
4,6,50,0.6881541013717651
4,6,74,0.6976497769355774
4,6,86,0.6922825574874878
4,6,92,0.6916887760162354
4,6,105,0.6891266703605652
4,23,17,0.71482914686203
4,23,24,0.7155076265335083
4,23,30,0.7132166624069214
4,23,44,0.7150905728340149
4,23,48,0.7118955850601196
4,23,64,0.7137587070465088
4,23,67,0.7120908498764038
4,23,71,0.7109712958335876
4,23,72,0.7165979743003845
4,23,75,0.7142629027366638
4,23,81,0.7166737914085388
4,23,107,0.7071364521980286
4,23,117,0.7124285101890564
4,23,127,0.7170296907424927
4,23,134,0.7131534814834595
4,25,30,0.7304037809371948
4,25,46,0.5767008662223816
4,25,99,0.7303794622421265
4,25,109,0.680126428604126
4,25,128,0.7200890183448792
4,26,16,0.500096321105957
4,26,96,0.5001171827316284
5,25,36,0.6885515451431274
5,25,90,0.7036208510398865
5,25,126,0.7072625756263733
5,26,16,0.5002231001853943
5,26,96,0.5002317428588867
5,41,4,0.5268188118934631
6,20,13,0.6386755704879761
6,23,18,0.7271533012390137
6,23,53,0.7284218072891235
6,23,68,0.729515016078949
6,23,83,0.7296996116638184
6,23,100,0.7268677949905396
6,23,119,0.7308608889579773
6,25,9,0.7293394207954407
6,25,46,0.5669331550598145
6,25,100,0.7276641130447388
6,25,109,0.6022780537605286
6,25,132,0.7275106310844421
6,26,16,0.49993789196014404
6,26,96,0.4999735951423645
7,1,3,0.6350954174995422
7,1,6,0.6363415122032166
7,1,9,0.6281442642211914
7,1,11,0.6513986587524414
7,1,12,0.649088978767395
7,1,18,0.63164222240448
7,1,28,0.5727366209030151
7,1,53,0.642420768737793
7,1,57,0.6520167589187622
7,1,59,0.5732556581497192
7,1,68,0.6372843384742737
7,1,77,0.644488513469696
7,1,83,0.6350380182266235
7,1,87,0.5693390369415283
7,1,89,0.5802120566368103
7,1,98,0.5780332684516907
7,1,100,0.6453156471252441
7,1,110,0.5773788690567017
7,1,122,0.6498608589172363
7,1,133,0.6463610529899597
7,4,34,0.6000121831893921
7,4,101,0.6028171181678772
7,8,0,0.5802984237670898
7,8,37,0.5809223651885986
7,25,8,0.5344429612159729
7,25,46,0.35935506224632263
7,25,109,0.4324313700199127
7,26,96,0.49979838728904724
7,27,29,0.5494343042373657
7,27,40,0.5479262471199036
7,27,50,0.5479185581207275
7,27,57,0.5582244992256165
7,27,86,0.5466512441635132
7,27,92,0.5500438809394836
7,27,105,0.5478546023368835
7,27,122,0.5657708644866943
7,29,28,0.6728174686431885
7,29,29,0.6740012764930725
7,29,50,0.6724159121513367
7,29,59,0.6735888123512268
7,29,86,0.6766486763954163
7,29,89,0.6694334149360657
7,29,92,0.6744840145111084
7,29,102,0.6715468764305115
7,29,105,0.6733361482620239
7,29,110,0.6695941090583801
7,33,2,0.657499372959137
7,33,51,0.6608694791793823
7,33,62,0.6593994498252869
7,33,106,0.657256007194519
7,33,112,0.6567148566246033
7,33,113,0.6603866815567017
7,34,3,0.6732053160667419
7,34,6,0.6793487668037415
7,34,11,0.6775445938110352
7,34,18,0.6788740158081055
7,34,53,0.6790335774421692
7,34,57,0.6738573312759399
7,34,68,0.6830781102180481
7,34,77,0.6785531640052795
7,34,100,0.6754056811332703
7,34,111,0.6746307015419006
7,34,119,0.6838028430938721
7,34,122,0.67722487449646
7,34,133,0.6750702857971191
7,42,0,0.684706449508667
7,42,14,0.679926335811615
7,42,37,0.6849550604820251
7,42,39,0.5142017602920532
7,42,40,0.67910236120224
7,42,47,0.6691873669624329
7,42,50,0.6772953867912292
7,42,59,0.6801132559776306
7,42,69,0.666753888130188
7,42,79,0.5168697834014893
7,42,86,0.6812956929206848
7,42,87,0.6770516633987427
7,42,89,0.6757444143295288
7,42,91,0.6706600189208984
7,42,92,0.679607093334198
7,42,98,0.6772062182426453
7,42,108,0.683936595916748
7,42,110,0.6763662695884705
7,42,130,0.529966413974762
8,25,46,0.6044691801071167
8,25,109,0.5752003192901611
8,26,96,0.5000613927841187
8,27,12,0.577275812625885
8,27,57,0.567790150642395
8,27,122,0.5702401995658875
8,27,133,0.5709893107414246
