head,relation,tail,confidence_score
0,0,15,0.7418743968009949
0,0,20,0.7514963150024414
0,1,4521,0.7503337860107422
0,1,18583,0.741134524345398
0,1,18864,0.7481791377067566
0,1,20627,0.7541617155075073
0,1,21500,0.7490973472595215
0,10,3,0.7441419363021851
0,10,5,0.7491179704666138
1,3,0,0.5000013709068298
2,1,3761,0.7431234121322632
2,3,0,0.5000025629997253
3,1,4521,0.7493628263473511
3,1,16759,0.7458083629608154
3,3,11889,0.49999940395355225
4,3,1,0.5000015497207642
5,1,16759,0.7480543851852417
5,3,0,0.5000131130218506
5,10,0,0.7491179704666138
6,1,2901,0.7485297918319702
6,3,1,0.4999978542327881
7,1,38706,0.7329003810882568
7,3,0,0.5000030398368835
8,1,4527,0.7383916974067688
8,3,0,0.5000004768371582
9,1,4547,0.7490280866622925
9,3,20,0.5000133514404297
10,8,12,0.7481186985969543
11,1,666,0.7407158017158508
11,1,28675,0.7483058571815491
11,3,615,0.5000014305114746
12,1,273,0.7363344430923462
12,1,2093,0.7430236339569092
12,1,2096,0.7514923810958862
12,1,7960,0.7430640459060669
12,1,15082,0.7277780175209045
12,2,18226,0.49999725818634033
12,2,18716,0.4999887943267822
12,3,6,0.49999868869781494
12,8,10,0.7481186985969543
13,1,39055,0.7441275715827942
14,1,24234,0.739301860332489
14,3,0,0.5000033378601074
15,1,4537,0.7511863708496094
15,1,39836,0.7366529703140259
15,3,0,0.5000091791152954
16,3,12,0.5000002980232239
17,1,14994,0.744253933429718
17,2,26,0.49999403953552246
17,2,20656,0.4999988079071045
18,1,6897,0.7539886236190796
18,1,39836,0.7444502711296082
18,1,40176,0.7489697337150574
18,3,615,0.5000110268592834
19,1,31769,0.7432672381401062
19,1,39001,0.7426105737686157
19,3,46,0.5000007748603821
20,1,4547,0.7453039288520813
20,1,18583,0.742714524269104
20,3,0,0.5000147223472595
21,1,4529,0.7397505044937134
21,1,4532,0.7506161332130432
21,1,4539,0.7585693597793579
21,1,4549,0.7483043074607849
21,3,30,0.5000112652778625
22,0,24,0.754172146320343
22,0,12435,0.7541280388832092
22,1,39054,0.7373418807983398
22,3,24,0.5000118017196655
23,1,3562,0.7485285401344299
23,1,3566,0.7485293745994568
24,1,673,0.7505401372909546
24,1,37707,0.7457190752029419
25,1,8420,0.7488716244697571
25,1,15889,0.7410829067230225
25,1,20155,0.7469877600669861
25,1,20307,0.7453140020370483
26,1,1817,0.750451922416687
26,1,15483,0.750967800617218
26,2,21061,0.5000012516975403
26,2,21065,0.5000056028366089
26,2,21076,0.5000052452087402
26,3,16,0.499997615814209
26,9,22353,0.4999937415122986
27,1,4532,0.7372251152992249
27,3,15,0.49999749660491943
28,3,0,0.5000017881393433
29,1,4532,0.7497938871383667
29,1,4539,0.7551689147949219
30,1,4539,0.7579039931297302
30,3,15,0.4999966621398926
31,1,4552,0.7366712093353271
31,3,0,0.4999980926513672
32,1,4192,0.7565772533416748
32,1,9077,0.7520341277122498
32,3,1,0.5000012516975403
